x,y
8.103118843211355e-17,1.1967574273312018
1.9722603008300002e-14,4.67528518386e-05
2.020142857972e-13,6.524981909193749e-07
2.924487255883e-13,3.427906395006847e-07
3.5141138555890004e-13,2.5414145273000534e-07
4.1257671361210007e-13,2.110852162028038e-07
4.955972350365999e-13,2.09874562922698e-07
5.552919830203001e-13,2.934060459464236e-07
5.746776690637e-13,3.842807016479688e-07
5.870159983704e-13,6.310233333048391e-07
5.897079644628e-13,1.0367388037e-06
6.521570895532001e-13,5.746401080046137e-07
6.921240566548001e-13,3.651800944639551e-07
7.288015507583e-13,2.657961307147977e-07
7.782833352452001e-13,2.023049856108599e-07
8.176539647454001e-13,3.632755556889856e-07
8.211352009608001e-13,2.531136371088362e-07
8.249008021104e-13,4.158526563305126e-07
8.373955011956001e-13,5.7015055808649e-07
9.036513637933e-13,3.6213760349880185e-07
9.515382523481e-13,2.635816553407779e-07
1.0318712805135001e-12,2.051009882330371e-07
1.0554043293453001e-12,3.292629490471432e-07
1.0640626158029e-12,6.778865766181513e-07
1.2206154358564e-12,1.9946885712703227e-07
1.2464146391781e-12,4.392657841370226e-07
1.3419591574851002e-12,2.1767045129728195e-07
1.3901703262473002e-12,3.7377710367974937e-07
1.4792282737584e-12,2.2702850568162734e-07
1.5765656037329002e-12,3.178856481194657e-07
1.6348072712638003e-12,2.2631734419214985e-07
1.6918796970707e-12,2.964130733595884e-07
1.747514554902e-12,2.258444745730075e-07
1.8156281619885e-12,2.763909304438203e-07
1.9262679672456003e-12,2.35553945302095e-07
2.0144730536327e-12,2.574518620405362e-07
2.1895469577623004e-12,2.5677963477561224e-07
1e-09,2.5677963477561224e-07
1e-09,1.0
