x,y
1.3000000000000002e-15,1.0
5.76663035451e-14,0.000692512140558
6.20886410728e-14,0.0005631468689624
6.84675042524e-14,0.0004954845460279
7.49896816663e-14,0.0003991598153135
8.493673047170001e-14,0.0003123663073615
9.61989309454e-14,0.0002463655523227
1.0793742103770001e-13,0.000193781986529
1.222552997789e-13,0.0001515459692979
1.387690427681e-13,0.0001174332692058
1.5750926022610002e-13,9.14202919852e-05
1.7839681415670002e-13,7.19202271454e-05
2.0016694440810003e-13,5.64902526811e-05
2.2671905219870001e-13,4.4177842594e-05
2.567830222632e-13,3.47928702284e-05
2.881130213693e-13,2.74245877568e-05
3.229215428075e-13,2.16970267891e-05
3.7334705352070004e-13,1.64215476573e-05
4.204009383247e-13,1.3113533616e-05
4.734079654595e-13,1.03834887513e-05
5.331875779454001e-13,7.983664807e-06
5.957346510241e-13,6.3199124163e-06
6.708654816413e-13,4.9825614954e-06
7.614889414756001e-13,3.8559079712e-06
8.641727508583001e-13,3.0962654215e-06
9.730866546543e-13,2.472542877e-06
1.0958047303102002e-12,1.9500650001e-06
1.2536171348866e-12,1.506738273e-06
1.4175072567867e-12,1.1509916933e-06
1.6669911971411e-12,8.61909557563971e-07
1.8627300879426e-12,6.70301052486717e-07
2.1097122507976e-12,5.289734817918728e-07
2.3620978558141004e-12,4.1954699022034933e-07
2.6445661372547003e-12,3.352069428409435e-07
2.9889292819757004e-12,2.651213156695896e-07
3.3536208217622e-12,2.0882814000419125e-07
3.7984210298842e-12,1.6374405618239944e-07
4.3020012761165e-12,1.295270659050097e-07
4.8267516902709e-12,1.0260032016184273e-07
5.4648030988097e-12,8.61689233185885e-08
6.2010794290297e-12,7.044243874350043e-08
7.196954757631201e-12,5.6203229272225385e-08
8.2466264593882e-12,4.911738616842837e-08
9.083808999891301e-12,4.6909793008418414e-08
9.84581290536e-12,4.9348463808191045e-08
1.0860095044474802e-11,5.0600648138236615e-08
1.15522890566921e-11,4.6446936062651326e-08
1.19951011189483e-11,4.0886674983165994e-08
1.2410594695214e-11,3.642201490971307e-08
1.3020155392613301e-11,3.3362675533879935e-08
1.46157668992807e-11,3.299094518044741e-08
1.59025241786068e-11,2.7629442537625345e-08
1.8162213812846904e-11,2.6612469227543547e-08
1.93740237040222e-11,2.2965477080705588e-08
2.12746368577951e-11,2.2061672251641012e-08
2.32666704465631e-11,1.9930453319261123e-08
2.4920429750193903e-11,1.8289072628971984e-08
2.7667172313282403e-11,1.6696625002611925e-08
3.29004938442021e-11,1.3947312508443621e-08
3.91241392345406e-11,1.1628380983808862e-08
4.65235625772762e-11,9.750958943672542e-09
5.53212083688689e-11,8.208081128569568e-09
6.57832140792588e-11,6.896088628532282e-09
7.822415638792801e-11,5.788252516253607e-09
9.301844094132771e-11,4.853729226810311e-09
1.106083083150639e-10,4.08573182390645e-09
1.3152802127240321e-10,3.4227988210923995e-09
1.5640178940221312e-10,2.875693314693452e-09
1.8597750261305073e-10,2.4206772035693517e-09
2.211484208144085e-10,2.033752380782223e-09
2.629749486302781e-10,1.7037646011429975e-09
3.1271055972665394e-10,1.428688886145038e-09
3.718423682518712e-10,1.2037839208062935e-09
4.4217013772691614e-10,1.008463198900372e-09
5.25784891968485e-10,8.48895764977286e-10
6.252317268076245e-10,7.104758562769591e-10
7.434514216617873e-10,5.997818428876067e-10
8.840724758237224e-10,5.015008947789936e-10
1.051262809570499e-09,4.213402089371032e-10
1.2606719787567065e-09,3.5311131971780363e-10
1.4689922795627368e-09,3.021567985673876e-10
1.7035947685891031e-09,2.4426806022023954e-10
2.004883366599293e-09,2.20182189373769e-10
2.384073548432042e-09,1.8445638889081739e-10
2.7404413345775055e-09,1.480720940189602e-10
2.979315076634259e-09,1.1900376679418295e-10
3.250535837998069e-09,9.382079111089502e-11
3.4269465360333066e-09,7.165743694862896e-11
