x,y
3.1762845000282275e-22,1.2359228012845686e-09
4.09738999628491e-22,1.1903274884015762e-09
5.281477846816355e-22,1.190839753683071e-09
6.807750365892238e-22,1.1913522394213064e-09
8.77493807536287e-22,1.1928952621352603e-09
1.130855938733311e-21,1.204805969531156e-09
1.4573981952269913e-21,1.215784607875703e-09
1.878265118369376e-21,1.2258036326683367e-09
2.420325557192621e-21,1.2444782259220383e-09
3.1182681928206198e-21,1.274401780315927e-09
4.017331775119089e-21,1.3073021348797866e-09
5.175246599657083e-21,1.3456950002273323e-09
6.667144081387395e-21,1.382823570331101e-09
8.590646490440457e-21,1.4087510065428963e-09
1.107145027356335e-20,1.4203602267697059e-09
1.427373437121647e-20,1.4075292481551723e-09
1.8406167317709248e-20,1.380426065481274e-09
2.374343512600852e-20,1.3306490750950452e-09
2.824116610744436e-20,1.30597562250072e-09
4.098378017161135e-20,1.1933369642138332e-09
5.224074113167058e-20,1.1017483108307035e-09
6.745260974351098e-20,1.014480337012769e-09
8.712031780565702e-20,9.205032734837143e-10
1.1254070688344438e-19,8.287616355022733e-10
1.45409400814282e-19,7.384663963757343e-10
1.8791114828250685e-19,6.523477484472076e-10
2.429264257816246e-19,5.659095113888595e-10
3.141324470439959e-19,4.846026844431261e-10
3.9694468424032e-19,4.148816797849036e-10
4.55551414236685e-19,3.2522674315207226e-10
4.641928261634328e-19,2.5102091662524366e-10
4.798777651630223e-19,1.8475823417895744e-10
4.944299231313226e-19,1.3279295157956342e-10
5.094731887479141e-19,9.499096013450232e-11
5.249228195945417e-19,6.827370929199897e-11
5.408938460918063e-19,4.8838324025843776e-11
5.57296299516035e-19,3.510200899251457e-11
5.742523045403034e-19,2.5109567165928263e-11
5.853361322078902e-19,1.7373615713211138e-11
6.144261582442383e-19,1.1711448332976418e-11
6.262751872895457e-19,8.904271007428599e-12
6.472680340260584e-19,6.637372254870575e-12
6.669288624976258e-19,4.75921596594371e-12
6.871868905153848e-19,3.412515637325088e-12
6.96177318524832e-19,2.4864694397883694e-12
7.542815813702914e-19,1.496346981833589e-12
7.673755442626112e-19,1.1358753369164577e-12
8.112492636410446e-19,6.989504387923906e-13
8.289513875206617e-19,4.815574437000696e-13
9.761822307371762e-19,5.008900620479124e-13
1.2579048497592621e-18,5.085209075799999e-13
1.6204705413497547e-18,5.234551559149694e-13
2.084756677980254e-18,5.74903783194539e-13
2.6811610254996982e-18,6.418609019302982e-13
3.4483065316443813e-18,7.153789283471535e-13
4.434556822889192e-18,8.007698257470997e-13
5.70308739254468e-18,8.948056594534072e-13
7.334097251667111e-18,1.0024796036442788e-12
9.431051963068997e-18,1.126025352893644e-12
1.212778062322477e-17,1.2637044817161297e-12
1.5594506693088657e-17,1.423127955967803e-12
2.0051839888986645e-17,1.6040490383468129e-12
2.5783199869461226e-17,1.807970468594692e-12
3.31515592048222e-17,2.041340995314757e-12
4.2624900839031166e-17,2.3068271238793453e-12
5.4805330883892926e-17,2.6068409891728698e-12
7.046266453617183e-17,2.9535194391203032e-12
9.059797369263282e-17,3.3376387231262424e-12
1.1647676472965223e-16,3.788045193215127e-12
1.4975833398636567e-16,4.284399011504317e-12
1.9254278879426529e-16,4.854172470811461e-12
2.475459321763542e-16,5.504473209312748e-12
3.1826166495665344e-16,6.2418930300135376e-12
4.0917128232237837e-16,7.0842217658473504e-12
5.260580629197997e-16,8.033276352131405e-12
6.762994793793058e-16,9.133117970781104e-12
8.695423807724204e-16,1.0329845503441568e-11
1.1180414325e-15,1.1663208812162446e-11
1.3733726792000002e-15,1.2864001896083156e-11
2.5442278126e-15,1.7698357687527098e-11
3.0542791430000003e-15,1.9422157743085138e-11
7.9684082131e-15,3.213408612354629e-11
1.13147910031e-14,4.05461096602194e-11
1.4244077001e-14,4.660029057598144e-11
1.91789470546e-14,6.082229068000375e-11
2.7164501752800002e-14,8.646918736482262e-11
3.51675496968e-14,1.1941139366716808e-10
3.9765123207e-14,1.4549988926515858e-10
4.44441361092e-14,1.7801632738349872e-10
4.9656227143e-14,2.215579282137905e-10
5.47766010068e-14,2.9248221405074697e-10
5.912966615350001e-14,3.6055664443560277e-10
6.310872861170001e-14,4.4026191216775203e-10
6.73336059961e-14,5.46170979741389e-10
7.183195577240001e-14,6.818645040013071e-10
7.6630826372e-14,8.512704245785818e-10
8.17236518743e-14,1.0797343058398663e-09
8.71833560694e-14,1.3479890441145499e-09
9.69641000031e-14,1.7371877330085422e-09
1.1132083538120001e-13,2.134961839218931e-09
1.4320808106860001e-13,2.3508861755373993e-09
1.7012268579270002e-13,2.452220119755455e-09
5.882470608918001e-13,3.4291366664470474e-09
6.821141146807999e-13,3.544155053225544e-09
2.6171963736323e-12,4.912650785767642e-09
3.3263055900414002e-12,5.2291264061117255e-09
4.2825326594113e-12,5.538391039357e-09
5.5136503494544e-12,5.865946416781751e-09
7.095780363025101e-12,6.3375836618062354e-09
8.698267609918002e-12,7.7289398488566e-09
9.7282992833269e-12,9.152186583590971e-09
1.1442114203723001e-11,1.2849290470092176e-08
1.46436560790651e-11,1.5093133887612153e-08
1.94816218412817e-11,1.4241830867468648e-08
2.5273814590712302e-11,1.2785285294061116e-08
3.13981803158004e-11,1.1839820843107536e-08
4.05404109123413e-11,1.0909034929072096e-08
5.0947563743918e-11,9.62799368499736e-09
6.61503690662184e-11,8.563736386834536e-09
8.54672390458954e-11,7.643898697546562e-09
1.1042098950880831e-10,6.83466274529939e-09
1.42665524610854e-10,6.100546221539531e-09
1.8431937865530352e-10,5.454700230357073e-09
2.381390842692653e-10,4.87301544594891e-09
3.0766822023598063e-10,4.357124347603592e-09
4.0079935730000824e-10,4.012009522626548e-09
5.137097700494539e-10,3.432612267800593e-09
6.23608408154615e-10,3.067827555599947e-09
7.993502265277991e-10,2.8750310057607927e-09
1.032680313086893e-09,2.577332794212242e-09
1.33416682133155e-09,2.306470653013087e-09
1.7235790636300146e-09,2.0694320320200856e-09
2.226651675851729e-09,1.8567541405984077e-09
2.8766617639468156e-09,1.6630568724851851e-09
3.716292378291351e-09,1.492142619935795e-09
4.8005648491903735e-09,1.3445900825574122e-09
6.202068795419585e-09,1.203281769709923e-09
8.012023418431988e-09,1.0814865053244775e-09
1.03494424670735e-08,9.753847024511972e-10
1.3369253010442426e-08,8.781733259763944e-10
1.726958442745066e-08,7.9201804557059e-10
2.2308587571777708e-08,7.130818430555057e-10
2.8816870787550635e-08,6.431232547865837e-10
3.7224535339164855e-08,5.795271435147998e-10
4.807925180258576e-08,5.253880839484103e-10
6.210252819014135e-08,4.750735532746385e-10
8.021454770988173e-08,4.2994881597680347e-10
1.0360520023781957e-07,3.8978326925625845e-10
1.3381183510731356e-07,3.5398117312953056e-10
1.7281922605573607e-07,3.2202357591903074e-10
2.231976332329011e-07,2.9295112655534936e-10
2.8824643828119583e-07,2.67195092437531e-10
3.7224647395850495e-07,2.4391418000379246e-10
4.806999434811279e-07,2.2323969533666355e-10
6.207401372768184e-07,2.0449423086838158e-10
8.015206183199426e-07,1.879713961068765e-10
1.0349136765239457e-06,1.7308243942528383e-10
1.3362204398835557e-06,1.5964847770362982e-10
1.7250662005712555e-06,1.4802264398143067e-10
2.227028115124027e-06,1.3736206141934952e-10
2.874898186734929e-06,1.2780011447196515e-10
3.710581907561807e-06,1.1993566700446139e-10
4.7895251990829526e-06,1.1216681782916916e-10
6.18065924979312e-06,1.0617791181139811e-10
7.975711159963479e-06,1.0059565609743047e-10
1.03299585421325e-05,9.612027330450272e-11
1.2641544099922193e-05,9.217052282621344e-11
1.4564063433230665e-05,9.07797272640912e-11
1.8365373551280604e-05,8.595413139696453e-11
2.1426911412021562e-05,6.713164912490013e-11
2.3638779795856664e-05,5.262213262215567e-11
2.605313278217733e-05,4.14005411149719e-11
2.871688435381332e-05,3.2417507673822734e-11
