x,y
1.0000000000000002e-26,2.0
1.10975249641207e-26,2.0
1.2315506032928214e-26,2.0
1.3667163564620103e-26,2.0
1.5167168884709243e-26,2.0
1.683180353330955e-26,2.0
1.8679135990207772e-26,2.0
2.0729217795953787e-26,2.0
2.3004301197729217e-26,2.0
2.5529080682395172e-26,2.0
2.8330961018393184e-26,2.0
3.144035471591513e-26,2.0
3.489101213406781e-26,2.0
3.8720387818125577e-26,2.0
4.297004704320836e-26,2.0
4.7686116977144554e-26,2.0
5.291978735958459e-26,2.0
5.872786613189489e-26,2.0
6.51733960488242e-26,2.0
7.232633896483521e-26,2.0
8.026433522257208e-26,2.0
8.907354638610458e-26,2.0
9.884959046625587e-26,2.0
1.0969857978923818e-25,2.0
1.2173827277396619e-25,2.0
1.3509935211980249e-25,2.0
1.4992684327860468e-25,2.0
1.6638168860761272e-25,2.0
1.8464249428955464e-25,2.0
2.049074689815846e-25,2.0
2.273965752357932e-25,2.0
2.5235391704347657e-25,2.0
2.8005038941836247e-25,2.0
3.107866187782014e-25,2.0
3.448962260405753e-25,2.0
3.8274944785163154e-25,2.0
4.247571552536894e-25,2.0
4.713753134116729e-25,2.0
5.231099308056258e-25,2.0
5.805225516094908e-25,2.0
6.44236350872137e-25,2.0
7.149428986597592e-25,2.0
7.934096665797491e-25,2.0
8.804883581643483e-25,2.0
9.7712415353465e-25,2.0
1.0843659686896084e-24,2.0
1.2033778407775906e-24,2.0
1.3354515629298973e-24,2.0
1.4820207057988602e-24,2.0
1.644676177994663e-24,2.0
1.825183494319046e-24,2.0
2.0255019392306667e-24,2.0
2.2478058335487296e-24,2.0
2.4945081352303167e-24,2.0
2.768286630392061e-24,2.0
3.0721129988617596e-24,2.0
3.409285069746822e-24,2.0
3.783462617131933e-24,2.0
4.198707084443906e-24,2.0
4.659525668664688e-24,2.0
5.170920242896757e-24,2.0
5.7384416483024046e-24,2.0
6.368249944718587e-24,2.0
7.067181273927477e-24,2.0
7.842822061337682e-24,2.0
8.703591361485185e-24,2.0
9.658832241158708e-24,4.807543060531183e-12
1.0718913192051264e-23,1.7259299331405997e-12
1.1895340673703208e-23,8.864203728046292e-13
1.3200884008314169e-23,5.18013432417156e-13
1.464971398307288e-23,3.313660273501645e-13
1.6257556664437935e-23,2.268918915201147e-13
1.804186409392068e-23,1.6391674171375518e-13
2.0022003718155844e-23,1.2345873245269237e-13
2.221946860939528e-23,9.612178909096583e-14
2.4658110758226042e-23,7.682581223731224e-14
2.7364399970746664e-23,6.363157359726055e-14
3.036771118035461e-23,5.470403446188905e-14
3.370064329271925e-23,4.739769618665194e-14
3.739937302478801e-23,4.1197581322126344e-14
4.150404757850472e-23,3.590188529562831e-14
4.605922041145113e-23,3.136876318895232e-14
5.1114334834401654e-23,2.7479946596156667e-14
5.672426068491988e-23,2.4136630727283356e-14
6.294988990221888e-23,2.1256109644647548e-14
6.985879746785235e-23,1.876901843811648e-14
7.752597488629464e-23,1.661706868738417e-14
