x,y
1.2892682675587042e-09,1.0
1.2892682675587042e-09,5.049942310064701e-11
1.3136912309105643e-09,4.092876733852651e-11
1.3421659148043344e-09,3.2329289560499085e-11
1.377458016861804e-09,2.5115141059785767e-11
1.4271058553720783e-09,2.1017758439206003e-11
1.4931477154035548e-09,1.727759852864268e-11
1.5655703701327708e-09,1.4616209163174907e-11
1.6414559215229339e-09,1.2878265648949938e-11
1.7209856315307288e-09,1.1652535198108187e-11
1.8043596673730025e-09,1.061374308843461e-11
1.8917903864375792e-09,9.54788434333048e-12
1.983455125534994e-09,8.603338369073107e-12
2.079579426368501e-09,7.662631264961196e-12
2.180343288431139e-09,6.904588199787933e-12
2.2859711426953443e-09,6.289062769437853e-12
2.3967161927954806e-09,5.728409772380649e-12
2.5128450304070436e-09,5.166001992061122e-12
2.634636613703428e-09,4.574472561760303e-12
2.7622558244496964e-09,4.201414732753676e-12
2.8960029442701323e-09,3.956117838803517e-12
3.0298140871849387e-09,3.563168616538188e-12
3.1294975528081926e-09,2.8646139776404523e-12
3.2116910082263687e-09,2.3166500971334083e-12
3.303122813563565e-09,1.877562987522955e-12
3.389880122499599e-09,1.516165371599059e-12
3.5164641275611325e-09,1.225861434661081e-12
3.68679819725513e-09,1.125889864320816e-12
3.865162713148251e-09,1.116166868105143e-12
4.0520358375290135e-09,1.151523924577316e-12
4.2478965312722326e-09,1.2058916472048686e-12
4.453602510112255e-09,1.127031905283537e-12
4.669547667188141e-09,9.726193203974533e-13
4.895975654816466e-09,8.365791222214472e-13
5.1331668996200385e-09,7.613678459412549e-13
5.38154899656473e-09,7.466884885482852e-13
5.642107066536331e-09,7.05432839135145e-13
5.91534287513914e-09,6.571144916091027e-13
6.201968516146339e-09,5.916164776699404e-13
6.447356028126657e-09,4.817192289693794e-13
6.602194058567428e-09,4.143439809582724e-13
6.746713362238836e-09,3.250152847294327e-13
6.953823803597756e-09,2.5704659027707897e-13
7.2133571093697125e-09,2.1308891428714626e-13
7.514831997862531e-09,1.750009409173441e-13
7.862610771993544e-09,1.4345351586655344e-13
8.244019652885838e-09,1.204527795820557e-13
8.64381788070652e-09,1.0291906985487515e-13
9.06270687966839e-09,9.189432449036533e-14
9.501713167339871e-09,8.419015378941558e-14
9.962096467028089e-09,7.598754842083779e-14
1.0445084309252123e-08,6.60137217383961e-14
1.0951644727855931e-08,5.6264094089520415e-14
1.143360878398058e-08,4.7712463541701056e-14
1.2196863588978016e-08,3.6253637688725923e-14
1.2734029272850769e-08,2.9471323294575096e-14
1.323784964417171e-08,2.4033520349550196e-14
1.365524346805523e-08,2.0369570715024822e-14
1.415331423426487e-08,1.5975805623336373e-14
1.4744829720763081e-08,1.3129580212792342e-14
1.5361136473925424e-08,1.072492429975514e-14
1.6071857942489743e-08,8.921714880686931e-15
1.6850738884057865e-08,7.952797077313889e-15
1.766609629295291e-08,7.805944576097925e-15
1.8519184900934287e-08,8.67814128664232e-15
1.941207331745509e-08,1.0623361753374784e-14
2.03479360119773e-08,1.3069562572412931e-14
2.1329432457965053e-08,1.5566653354286672e-14
2.2358895552189875e-08,1.7860793496715456e-14
2.3438510379187797e-08,1.9955647782165283e-14
2.4570986028414307e-08,2.1424973315164033e-14
2.5593289326423945e-08,2.2405284663131692e-14
2.729626338165312e-08,2.231763657547466e-14
2.9238718628820833e-08,2.1357128862071536e-14
2.9238718628820833e-08,1.0
