x,y
3e-17,1.0
4.9217917630000005e-15,0.0001
3.10648334884e-14,2.1181994494e-06
3.3116681241100006e-14,2.1181994494e-06
3.5023694431600003e-14,2.1590074634e-06
3.67471839899e-14,2.2862094843e-06
3.76417239852e-14,2.4209058537e-06
3.8559743061500004e-14,2.6632648952e-06
3.91847376038e-14,2.8745080943e-06
3.98216213049e-14,3.2232002852e-06
4.08027160503e-14,4.374052364e-06
4.2114736262400004e-14,3.2852966106e-06
4.31227923722e-14,2.4675456354e-06
4.38023944157e-14,1.8183124329e-06
4.48419319761e-14,1.1502003109e-06
4.5911209962600004e-14,8.004144439361878e-07
4.6634756616e-14,5.898182850333719e-07
4.81289922132e-14,4.026914193876321e-07
4.9278828456500006e-14,2.911309635722651e-07
5.08611532313e-14,2.104768909141517e-07
5.2079713330600005e-14,1.6113219395847909e-07
5.31194075758e-14,1.3314025740840058e-07
5.31194075758e-14,1.0
