x,y
1.0000000000000003e-23,1.0
1.0097197246022176e-23,1.0
1.019533922250778e-23,1.0
1.0294435111976745e-23,1.0
1.0394494186200557e-23,1.0
1.0495525807069732e-23,1.0
1.059753942746992e-23,1.0
1.0700544592166069e-23,1.0
1.0804550938695673e-23,1.0
1.0909568198270424e-23,1.0
1.1015606196686723e-23,1.0
1.1122674855245e-23,1.0
1.1230784191677993e-23,1.0
1.1339944321088043e-23,1.0
1.1450165456893497e-23,1.0
1.156145791178428e-23,1.0
1.1673832098686953e-23,1.0
1.1787298531738718e-23,1.0
1.1901867827271342e-23,1.0
1.2017550704804413e-23,1.0
1.2134357988048298e-23,1.0
1.2252300605916848e-23,1.0
1.237138959354994e-23,1.0
1.2491636093345989e-23,1.0
1.261305135600438e-23,1.0
1.2735646741578369e-23,1.0
1.285943372053764e-23,1.0
1.2984423874841735e-23,1.0
1.3110628899023657e-23,1.0
1.3238060601284043e-23,1.0
1.336673090459599e-23,1.0
1.3496651847820613e-23,1.0
1.362783558683344e-23,1.0
1.3760294395661762e-23,1.0
1.3894040667632976e-23,1.0
1.402908691653438e-23,1.0
1.416544577778367e-23,1.0
1.430313000961137e-23,1.0
1.4442152494254505e-23,1.0
1.4582526239161893e-23,1.0
1.4724264378211158e-23,1.0
1.486738017293761e-23,1.0
1.5011887013775033e-23,1.0
1.515779842130847e-23,1.0
1.5305128047539516e-23,1.0
1.5453889677163279e-23,1.0
1.5604097228858355e-23,1.0
1.575576475658909e-23,1.0
1.590890645092046e-23,1.0
1.6063536640345848e-23,1.0
1.6219669792627644e-23,1.0
1.6377320516150892e-23,1.0
1.6536503561290125e-23,1.0
1.6697233821789388e-23,1.0
1.685952633615601e-23,1.0
1.7023396289067282e-23,1.0
1.718885901279143e-23,1.0
1.7355929988622107e-23,1.0
1.7524624848326883e-23,1.0
1.76949593756098e-23,1.0
1.7866949507588157e-23,1.0
1.804061133628364e-23,1.0
1.821596111012796e-23,1.0
1.839301523548304e-23,1.0
1.8571790278176322e-23,1.0
1.8752302965050334e-23,1.0
1.8934570185527974e-23,1.0
1.9118608993192664e-23,1.0
1.9304436607383977e-23,1.0
1.949207041480872e-23,1.0
1.968152797116769e-23,1.0
1.987282700279828e-23,1.0
2.006598540833291e-23,1.0
2.0261021260374025e-23,1.0
2.0457952807184538e-23,1.0
2.065679847439553e-23,1.0
2.0857576866730168e-23,1.0
2.1060306769744364e-23,1.0
2.12650071515845e-23,1.0
2.1471697164762088e-23,1.0
