x,y
1.3459221706000001e-15,0.0009784392217692
1.8351126608e-15,0.000390130430195
2.2564441458e-15,0.0002261018653817
2.9870620891e-15,0.0001071169648708
3.6728746458000004e-15,6.45119142746e-05
4.8621210645e-15,3.16004224653e-05
5.804495814000001e-15,1.91880517023e-05
7.914204841e-15,8.1058115235e-06
9.9583459028e-15,4.2958079147e-06
1.2623300145700001e-14,2.4214582864e-06
1.52096376723e-14,1.6425519261e-06
2.1085051158e-14,7.753055210805974e-07
3.92477780241e-14,1.8765142346235573e-07
7.00995853104e-14,4.435845798293129e-08
9.45256260451e-14,2.0286681821897585e-08
1.153733858748e-13,1.3524291253555686e-08
1.573071354098e-13,6.1220083982522025e-09
1.9200144546870003e-13,4.098956220706263e-09
2.617865216679e-13,1.847467572928327e-09
3.16005533535e-13,1.2337377402725192e-09
4.356584508926e-13,5.575190707017206e-10
5.25888347254e-13,3.772685295622444e-10
7.250116798407e-13,1.7340980973598127e-10
8.751699714998e-13,1.186083015435079e-10
1.2065459417314e-12,5.622672177065169e-11
1.4726513468908e-12,3.8948840355108367e-11
2.0079029758919003e-12,1.922167229079732e-11
2.4507488025114003e-12,1.353248075035464e-11
3.4163230038905005e-12,6.902040435776676e-12
4.1697978494493e-12,5.079153398646648e-12
5.9428185316741e-12,2.7864199720901484e-12
7.2535155208749006e-12,2.1467992426727825e-12
1.0337749697610401e-11,1.4112318862476505e-12
1.27582397545226e-11,1.2247478157417812e-12
1.8797246635818303e-11,1.0273597736388277e-12
2.2943005830638e-11,1.0157771060583824e-12
3.41792451377942e-11,1.0157771060583824e-12
4.17175257459764e-11,1.0157771060583824e-12
6.214850615213881e-11,1.0157771060583824e-12
7.58554466321119e-11,1.0157771060583824e-12
1.1300532827366322e-10,1.0157771060583824e-12
1.379288124323185e-10,1.0157771060583824e-12
2.0547886037641912e-10,1.0157771060583824e-12
2.507975121582911e-10,1.0157771060583824e-12
3.736245246714804e-10,1.0157771060583824e-12
4.560279393085679e-10,1.0157771060583824e-12
6.79365678689591e-10,1.0157771060583824e-12
8.292007350486146e-10,1.0157771060583824e-12
1.2082435574614606e-09,1.0157771060583824e-12
1.4911427959523796e-09,1.0105121144662708e-12
2.1969628603980854e-09,1.011945308890108e-12
2.71136173003102e-09,1.0157771060583824e-12
3.994762297851106e-09,1.0157771060583824e-12
4.930099552525738e-09,1.0105121144662708e-12
7.263721250818534e-09,1.0157771060583824e-12
8.865745193346698e-09,1.0157771060583824e-12
1.3207706110066805e-08,1.0157771060583824e-12
1.6120684276983474e-08,1.0157771060583824e-12
2.401572068452366e-08,1.0157771060583824e-12
2.931242167361256e-08,1.0157771060583824e-12
4.366805523916523e-08,1.0157771060583824e-12
5.329910626675021e-08,1.0157771060583824e-12
7.940211636453786e-08,1.0157771060583824e-12
9.691436485412061e-08,1.0157771060583824e-12
1.4121569363249047e-07,1.011945308890108e-12
1.7428006376290835e-07,1.0699595996267509e-12
2.427884187512903e-07,1.6837705371756445e-12
2.8037590471436847e-07,4.089276982700965e-12
2.80556643871685e-07,1.086282946854891e-11
