x,y
1.99231548924028e-09,7.596669494812022e-12
2.127572995655782e-09,7.078181013602589e-12
2.2226239589421173e-09,6.3536094298423465e-12
2.3315437741993685e-09,5.662337146993631e-12
2.441811352994447e-09,4.789766824618845e-12
2.5591064615572298e-09,4.357140134807859e-12
2.6455995498787613e-09,3.728155939724138e-12
2.780476014075305e-09,3.547286485449673e-12
2.9240944392106686e-09,3.262690531066469e-12
3.065905119306979e-09,2.949283144487356e-12
3.212501248201204e-09,2.395122177983852e-12
3.320428055537448e-09,1.846388269339567e-12
3.4176280640425416e-09,1.4161158829250105e-12
3.5679524456155364e-09,1.2269394673079598e-12
3.6722022106425977e-09,1.1734630153198737e-12
3.79617106285096e-09,1.1570008520204376e-12
3.964633609211986e-09,1.1528078182207138e-12
4.180267616163571e-09,1.215339742679781e-12
4.393312951046526e-09,1.182062095500755e-12
4.559665340097542e-09,1.0691862810011266e-12
4.91620178280868e-09,8.29655593020583e-13
4.962458726062249e-09,1.3271196329917892e-13
4.979099169122282e-09,1.058776881061758e-13
4.980079492707995e-09,7.488099666494233e-14
5.095875135952558e-09,7.091233350860324e-14
5.325647743576332e-09,6.998118386433792e-14
5.610837140345307e-09,6.746939642573833e-14
5.903905767682642e-09,6.415825934668433e-14
6.5102944222182065e-09,6.136310457922083e-14
6.84329969393355e-09,5.825394156012221e-14
7.166441925128389e-09,5.56439906156376e-14
7.591131332140055e-09,5.2354813762852215e-14
8.050808221296957e-09,4.8836187264614273e-14
8.461272499379118e-09,4.6298480794911877e-14
8.75967881186808e-09,3.9590498007418855e-14
8.773998486838821e-09,3.1773573209942134e-14
8.79169608473943e-09,2.5032164554354523e-14
8.822544287167817e-09,1.931112126877928e-14
8.914631741663136e-09,1.4509822588631975e-14
8.944166325671258e-09,1.0563282618514428e-14
9.260357309497997e-09,1.004955396833188e-14
9.602850243040709e-09,9.539880134434486e-15
1.0092398282854829e-08,9.100479840515928e-15
1.0607091229780811e-08,8.473809437397981e-15
1.1148061719333131e-08,7.862144733201166e-15
1.1716595257117663e-08,7.317523735850412e-15
1.2356306981960261e-08,6.719813571472317e-15
1.2942216839638287e-08,6.2770451284296215e-15
1.3602265588000586e-08,5.8327759552785705e-15
1.4295965514469821e-08,5.425691415598096e-15
1.502452251321288e-08,5.291544141128484e-15
1.5793992219243632e-08,5.417173405763017e-15
1.6298304879820245e-08,5.933217561003376e-15
1.6774436830043053e-08,6.724127076777439e-15
1.716416348282347e-08,7.773361308254352e-15
1.7553740341664976e-08,9.311994699863552e-15
1.7948998668768693e-08,1.1317119076704454e-14
1.8176988940867066e-08,1.295047117788204e-14
1.837745268587011e-08,1.4953210646710377e-14
1.8539736357317432e-08,1.7612207008695857e-14
1.8667642054444853e-08,1.9004981209152507e-14
1.882154257567186e-08,2.1990767885742267e-14
1.8876664737739257e-08,2.3875356594877927e-14
1.892155424859205e-08,2.683104994208377e-14
1.896331334528012e-08,2.9397538043727356e-14
1.9102322825916172e-08,3.3290664390720045e-14
1.9534018000353005e-08,7.157775603052799e-14
