x,y
1.9634626271827004e-13,3.562911195856416e-06
2.153211616174841e-13,3.0394333423705486e-06
2.3329000946428443e-13,2.6095299674372216e-06
2.5192004058281593e-13,2.2631678552429233e-06
2.7203444038678606e-13,1.9619297685099598e-06
2.937585172186924e-13,1.701523432090166e-06
3.323171371011612e-13,1.3621157540011151e-06
3.7593858173165343e-13,1.0786894450275911e-06
4.1154163824352937e-13,9.175417792060973e-07
4.457615100296097e-13,7.841228882038957e-07
4.859862710710789e-13,6.694330259738716e-07
5.255264232761637e-13,5.775457484258629e-07
5.674620416356722e-13,4.999146095042046e-07
6.127783220822058e-13,4.3356109671633897e-07
6.626395781844606e-13,3.7415236501824133e-07
7.224282306568756e-13,3.1932218558595644e-07
7.88775154059586e-13,2.7191118281012333e-07
8.599634946468385e-13,2.32239610276137e-07
9.312785281585593e-13,1.997148730953329e-07
1.0153818482057163e-12,1.7089103958573766e-07
1.1110317820056256e-12,1.4613113978419925e-07
1.226907452932718e-12,1.2482154301448306e-07
1.2987086579378292e-12,1.0805044680267061e-07
1.4246679378594013e-12,9.245319783425808e-08
1.5616745572096252e-12,7.838869439166439e-08
1.7212281424342756e-12,6.650761143412153e-08
1.9053130622439644e-12,5.614325573503115e-08
2.1198690871392473e-12,4.777757457690146e-08
2.401167681257529e-12,4.1008913151620686e-08
2.7294046132406985e-12,3.5860745474045345e-08
3.0629385811267885e-12,3.32267204650148e-08
3.3025992596417098e-12,3.3471951371905483e-08
3.4650113677530315e-12,3.4502443982696986e-08
3.588462548435591e-12,3.5989240940351284e-08
3.666184593490189e-12,4.0011099694133655e-08
4.028715935880481e-12,3.843489304661368e-08
4.174823343500207e-12,3.4026998670110684e-08
4.285286007993559e-12,3.006171273879247e-08
4.4268149722925646e-12,2.6494267256987402e-08
4.601034050753857e-12,2.385552244222365e-08
4.7537827156725845e-12,2.107591151121255e-08
5.131825409318461e-12,1.896105549679936e-08
5.642572496622643e-12,1.8809535471167138e-08
6.086675286170561e-12,1.9682515224320496e-08
6.397152889722084e-12,1.713466853270064e-08
6.655178150594498e-12,1.523194591605596e-08
7.0516596191904214e-12,1.3604239403897517e-08
7.94108073248185e-12,1.3576090763333055e-08
8.338585018610217e-12,1.2200631902204064e-08
8.840603215448993e-12,1.0816764547798052e-08
9.554169558462368e-12,1.0763538031325508e-08
1.0311954575191866e-11,9.483586467360808e-09
1.1336748100851521e-11,9.03734750946731e-09
1.267741972133272e-11,7.869819397107489e-09
1.4410703279466536e-11,7.238231184235193e-09
1.666763701800673e-11,6.2165043860222966e-09
1.9034347560537737e-11,5.6689642518615695e-09
2.155521000799029e-11,5.1435162841119144e-09
2.4409929313880705e-11,4.666771316512884e-09
2.7642720664181905e-11,4.234215139534198e-09
3.130340712582925e-11,3.8406950070486515e-09
3.5448873126122154e-11,3.4837479086599133e-09
4.014331733477763e-11,3.159974814146616e-09
4.546016008761592e-11,2.8678704066191787e-09
5.1480384891055385e-11,2.6013358293307156e-09
5.829878280866361e-11,2.3608713617644703e-09
6.601868553231367e-11,2.1408671764170983e-09
7.47614468284927e-11,1.9418989362274157e-09
8.466267003710356e-11,1.7619071768366655e-09
9.58683547801591e-11,1.5946446498221936e-09
1.0855031224138358e-10,1.4400872687248132e-09
1.2291574360208156e-10,1.3026588829679942e-09
1.391822806705178e-10,1.1783453699150051e-09
1.5759901788130425e-10,1.065308746843436e-09
1.7845408904195438e-10,9.633805781201987e-10
