x,y
1.1722452207413475e-08,3.537334903004145e-14
1.1822395111737528e-08,3.0148814053597244e-14
1.1872685645044316e-08,2.5882239455806308e-14
1.1934442462978456e-08,2.2062082823840118e-14
1.2036192746974842e-08,1.8795757333115686e-14
1.2178953312790061e-08,1.6121806724494786e-14
1.2178953312790061e-08,1.3911234142786796e-14
1.2242303208917421e-08,1.1912500343137126e-14
1.2346678242115773e-08,1.016405231421412e-14
1.2459420008679589e-08,8.488228800987965e-15
1.2631765674867712e-08,7.220156737548231e-15
1.2979634318378708e-08,6.055285976373021e-15
1.325805920853824e-08,5.089794975765252e-15
1.3594816811181128e-08,4.347337965259282e-15
1.4259459358778905e-08,3.732378971152702e-15
1.512266864687465e-08,3.201367585944455e-15
1.6075882682955916e-08,2.8964114116393577e-15
1.761953390931371e-08,2.7719214428777906e-15
1.934422803853952e-08,2.9136183991126318e-15
2.1315156858500615e-08,3.231242510974451e-15
2.286331464534032e-08,3.7097676005745905e-15
2.40822468578114e-08,4.301241163666633e-15
2.550179151836202e-08,5.064678351261481e-15
2.7166354111336724e-08,5.993012662665884e-15
2.858599744221967e-08,6.9660470895116046e-15
3.007982765805082e-08,8.092517065457207e-15
3.152981541023611e-08,9.393627563017584e-15
3.316468146955491e-08,1.0964018047932975e-14
3.502335189680272e-08,1.2946063693088231e-14
3.619110173132357e-08,1.4819426825621233e-14
3.858076977451595e-08,1.7657819318566932e-14
3.953636220265785e-08,1.3153979544748502e-14
3.9665087408708726e-08,1.0963001596375623e-14
4.017242290448899e-08,9.001008107558906e-15
4.058576457103253e-08,7.311781638819894e-15
4.083262520400036e-08,5.9764253420537055e-15
4.1342429362462175e-08,4.982651100567741e-15
4.206047882606485e-08,4.4543491286107154e-15
4.4259727350320746e-08,4.799558225500089e-15
4.6868077668097324e-08,5.0976227730387416e-15
4.947097612944824e-08,5.626571973857526e-15
5.208138431920695e-08,6.250914126242756e-15
5.542928303992843e-08,5.543435853813238e-15
5.90767791749325e-08,4.775387344985482e-15
6.18163012486368e-08,4.082624718350707e-15
6.354281119992384e-08,3.404656693969377e-15
6.624700322087768e-08,2.9543268948479177e-15
7.207304462292265e-08,2.7542517100009536e-15
7.593497146500288e-08,2.36287553436717e-15
8.284326501425466e-08,2.1423183407502718e-15
8.804521453460215e-08,2.024152888778319e-15
9.543489232772156e-08,2.0261835033842096e-15
1.0430670697604876e-07,2.14853817729718e-15
1.1072091542468125e-07,2.4961865736730297e-15
1.1646195337017308e-07,2.922282078965999e-15
1.2143985283736565e-07,3.4377574459386137e-15
1.2533138850135915e-07,4.134453934729676e-15
1.2999119797859642e-07,4.89236439167062e-15
1.3289239952652697e-07,5.865106203411495e-15
1.3655214907746998e-07,6.827952806030045e-15
1.408298236188954e-07,7.97178297914857e-15
1.4491306144918777e-07,9.290326391134461e-15
1.4979138178182234e-07,1.0800659138631464e-14
1.5352500624187435e-07,1.2570644180614304e-14
1.5775296114865644e-07,1.4556681084163382e-14
1.6269477883734938e-07,1.6926632971481852e-14
1.6783889503366886e-07,2.0048543536487235e-14
1.7437495419197334e-07,2.3391897007934367e-14
1.8400731967851226e-07,2.6806359118209813e-14
1.9974507878709018e-07,3.0952447848318265e-14
2.1929719443889772e-07,3.4148723713174814e-14
2.4076317564765857e-07,3.692072500461626e-14
2.6626086289771967e-07,4.0435655217246035e-14
2.8463009416130567e-07,4.6500816500115084e-14
3.0666875520355193e-07,5.648378594374874e-14
3.238555973802516e-07,6.66515519524149e-14
3.4162298823864115e-07,7.834790638897715e-14
3.649665034876718e-07,8.99691711088614e-14
3.79984823572617e-07,1.0486947248253851e-13
3.9227668551598956e-07,1.2485581583806837e-13
4.018268879602959e-07,1.4081017270204496e-13
