x,y
0.001012058,7.93E-07
0.001067081,7.86E-07
0.001119939,7.73E-07
0.001197673,7.49E-07
0.001280804,7.28E-07
0.001369704,7.06E-07
0.001464775,6.84E-07
0.001566444,6.60E-07
0.001675171,6.41E-07
0.001791445,6.23E-07
0.001915789,6.04E-07
0.002048764,5.88E-07
0.002190969,5.71E-07
0.002343044,5.54E-07
0.002505675,5.38E-07
0.002679593,5.21E-07
0.002865583,5.03E-07
0.003064482,4.87E-07
0.003277188,4.74E-07
0.003504657,4.60E-07
0.003747916,4.47E-07
0.004008058,4.34E-07
0.004286259,4.22E-07
0.004583769,4.10E-07
0.004901928,3.98E-07
0.005242168,3.85E-07
0.005606026,3.73E-07
0.00599514,3.61E-07
0.006411262,3.51E-07
0.00685627,3.42E-07
0.007332163,3.32E-07
0.007841091,3.23E-07
0.00838534,3.13E-07
0.008967367,3.05E-07
0.009589789,2.94E-07
0.010255413,2.85E-07
0.010967243,2.77E-07
0.01172848,2.69E-07
0.012542554,2.62E-07
0.013413134,2.54E-07
0.014520228,2.45E-07
0.0153797,2.39E-07
0.016475419,2.33E-07
0.017742872,2.25E-07
0.018991113,2.18E-07
0.020309286,2.12E-07
0.021718946,2.05E-07
0.02322645,1.98E-07
0.024838599,1.93E-07
0.026562643,1.87E-07
0.028406354,1.81E-07
0.030378043,1.76E-07
0.032486582,1.71E-07
0.034741479,1.66E-07
0.037152883,1.61E-07
0.039731666,1.57E-07
0.042489437,1.52E-07
0.045438628,1.47E-07
0.048592528,1.43E-07
0.051965346,1.40E-07
0.055572288,1.36E-07
0.059429575,1.33E-07
0.063554581,1.29E-07
0.067965906,1.25E-07
0.072861024,1.22E-07
0.077893223,1.19E-07
0.083123582,1.16E-07
0.087361997,1.14E-07
0.092426136,1.11E-07
0.098632419,1.09E-07
0.105032734,1.06E-07
0.112085528,1.04E-07
0.120119566,1.02E-07
0.128413585,9.90E-08
0.13708289,9.74E-08
0.146597996,9.59E-08
0.156773512,9.41E-08
0.167655398,9.27E-08
0.179292598,9.14E-08
0.191737608,9.03E-08
0.205046542,8.97E-08
0.219279389,8.96E-08
0.23450007,8.90E-08
0.250777578,8.97E-08
0.268185092,9.08E-08
0.286801137,9.27E-08
0.30670971,9.56E-08
0.328000681,1.00E-07
0.350770305,1.07E-07
0.37512159,1.18E-07
0.395091471,1.30E-07
0.408577533,1.45E-07
0.421236429,1.58E-07
0.426120547,1.70E-07
0.424357068,1.79E-07
0.416523792,1.93E-07
0.406106587,2.11E-07
0.398403485,2.35E-07
0.390619136,2.54E-07
0.377701553,2.84E-07
0.364979044,3.16E-07
0.351401994,3.55E-07
0.33690467,3.96E-07
0.324821218,4.36E-07
0.31404601,4.83E-07
0.299120668,5.44E-07
0.282061709,6.12E-07
0.264934752,6.76E-07
0.244323713,7.62E-07
0.228467583,8.51E-07
0.21228713,9.29E-07
0.197670767,1.02E-06
0.183671474,1.12E-06
0.17331453,1.19E-06
0.162630279,1.28E-06
0.15210103,1.38E-06
0.142591603,1.50E-06
0.133512072,1.60E-06
0.124246403,1.74E-06
0.116413812,1.89E-06
0.10931773,1.99E-06
0.101948685,2.17E-06
0.095463644,2.31E-06
0.088918492,2.48E-06
0.083147585,2.67E-06
0.077751206,2.87E-06
0.072853001,3.06E-06
0.067986349,3.29E-06
0.063573934,3.53E-06
0.059447856,3.76E-06
0.055589628,4.05E-06
0.051981759,4.32E-06
0.048608053,4.62E-06
0.045453307,4.94E-06
0.0425033,5.27E-06
0.039744784,5.67E-06
0.037165278,6.06E-06
0.034753178,6.47E-06
0.032497643,6.93E-06
0.030388485,7.39E-06
0.028416226,7.92E-06
0.026571968,8.49E-06
0.02484739,9.03E-06
0.023234758,9.68E-06
0.021726783,1.04E-05
0.020316675,1.11E-05
0.018998087,1.18E-05
0.017765074,1.26E-05
0.016612087,1.35E-05
0.015533936,1.44E-05
0.014525754,1.54E-05
0.013583006,1.64E-05
0.012701447,1.76E-05
0.011877098,1.87E-05
0.011106252,2.00E-05
0.010385436,2.14E-05
0.009711402,2.28E-05
0.009081117,2.44E-05
0.008491736,2.61E-05
0.007940607,2.79E-05
0.007425244,2.96E-05
0.006943329,3.15E-05
0.006492695,3.37E-05
0.006071308,3.60E-05
0.005677268,3.84E-05
0.005308805,4.12E-05
0.004964253,4.39E-05
0.004642064,4.69E-05
0.004340784,4.99E-05
0.004059059,5.32E-05
0.003795618,5.68E-05
0.003550945,6.12E-05
0.00331555,6.51E-05
0.003103517,6.92E-05
0.002909972,7.36E-05
0.002722468,7.83E-05
0.002537615,8.41E-05
0.002379443,8.99E-05
0.002218913,9.62E-05
0.0020749,0.000102119
0.001940235,0.000108846
0.00181431,0.000116122
0.001696558,0.00012428
0.001586448,0.000131865
0.001483484,0.000140873
0.001387203,0.000150495
0.001297172,0.000161215
0.001212983,0.000172071
0.001134257,0.000182489
0.001073891,0.000192535
0.001025334,0.000204454
0.001012058,7.93E-07
