x,y
47734.33673,0.819913635
47187.69651,0.529941651
47184.3643,0.366310966
47181.03233,0.253204714
47177.70059,0.175022408
47174.36909,0.12098054
47171.03783,0.083625242
47167.7068,0.057804181
47164.376,0.039955919
47161.04544,0.027618684
47157.71512,0.019090832
47154.38503,0.013196134
47151.05517,0.009121549
47147.72555,0.006305078
47144.39617,0.004358252
47141.06702,0.003012549
47137.7381,0.002082361
47134.40943,0.001439388
47131.08098,0.000994947
47127.75277,0.000687736
47124.4248,0.000475383
47121.09706,0.000328598
47117.76956,0.000227137
47112.92997,0.000132742
51919.83164,0.00010853
58879.50849,0.000117142
66772.26222,0.000127989
75721.53107,0.000126058
85869.06356,0.000115564
97375.20026,9.89119E-05
110419.54,7.14684E-05
121543.1624,5.05856E-05
128098.5854,3.55922E-05
131266.0587,2.39111E-05
135098.9881,1.6021E-05
138741.7159,1.089E-05
143573.1066,7.44618E-06
146121.07,4.89853E-06
148559.5965,3.20566E-06
151599.5999,2.21056E-06
153721.3511,1.48111E-06
159061.8691,6.71E-07
159681.184,9.91E-07
161920.8945,1.48E-07
162537.7037,9.58E-08
162705.8437,2.15E-07
162717.3341,3.11E-07
163238.128,4.65E-07
163701.4928,5.76E-08
165778.0614,3.42E-08
174254.6197,1.81E-07
175263.5609,2.43E-07
176278.5326,3.28E-07
176307.3174,7.70E-07
177978.5332,4.71E-07
179376.8776,1.36197E-06
184129.4504,2.35988E-06
187211.1015,3.61502E-06
194537.6357,5.87392E-06
205300.4011,9.52323E-06
214925.4015,1.44229E-05
220486.1972,2.15412E-05
230821.4958,3.1427E-05
245821.5338,4.58636E-05
262394.3358,6.50921E-05
290192.9566,9.65742E-05
327226.5399,0.000122912
371095.2342,0.000142529
420844.0776,0.000163271
477255.5414,0.000173823
541225.2854,0.00017922
613774.6942,0.00019344
696052.7604,0.000214603
789359.4904,0.000236633
895171.7515,0.000257365
1015166.48,0.000277786
1151248.446,0.000303047
1305580.814,0.000342415
1480600.283,0.000383956
1679096.174,0.000450017
1904219.425,0.00055131
2159523.346,0.000671292
2449055.134,0.000814895
2777400.999,0.000981699
3149810.614,0.001268645
3572194.626,0.001737342
4051214.856,0.002364719
4594468.873,0.003213742
5180919.887,0.004608602
5775801.41,0.006583561
6494463.45,0.009547169
7154931.357,0.013645141
7844074.205,0.020039329
8451656.725,0.032143646
9189440.502,0.049223704
9877006.338,0.074462177
10120030.02,0.121276562
10120744.71,0.175450662
10124191.29,0.260802536
10125131.67,0.423883835
10125978.09,0.65627883
10126589.43,0.899903984
