x,y
2.051136718199463e-24,1.0
2.051136718199463e-24,2.02040916801e-05
2.1588964188594576e-24,1.60332262286e-05
2.272317445253274e-24,1.32232714141e-05
2.4328682930187562e-24,1.02932447931e-05
2.6047628792095457e-24,8.3272593731e-06
2.9353168425787672e-24,6.3583917265e-06
3.307819316336872e-24,5.244031261e-06
3.9234287321496696e-24,4.1614708985e-06
4.733715536999517e-24,3.3023906947e-06
5.614694689023872e-24,2.6716418796e-06
6.774270491305327e-24,2.2034146585e-06
7.633950263966889e-24,1.9628496248e-06
9.21055317689484e-24,1.6824471182e-06
1.1112764282056577e-23,1.4145803307e-06
1.4112231344927746e-23,1.1666634888e-06
1.7319863875976377e-23,9.809159563416193e-07
2.1256573631084323e-23,8.571451918411147e-07
2.653716027540896e-23,7.346978798963353e-07
3.1475920277743926e-23,6.54484825323274e-07
3.797649021611693e-23,5.830292944888814e-07
4.822679596143158e-23,4.997407564736559e-07
5.720215611538878e-23,4.5384103992113356e-07
7.020389144109259e-23,4.121570771415584e-07
8.915275553271593e-23,3.671584742789858e-07
1.21215442571228e-22,3.1470812087195414e-07
1.648090788662919e-22,2.803488279369449e-07
2.0929300664291106e-22,2.595529333380157e-07
2.6578367484940976e-22,2.449747588984613e-07
3.375218453284563e-22,2.357137608945747e-07
4.1423870353134248e-22,2.3121538919078338e-07
5.083928814632502e-22,2.2680286460897887e-07
6.456141582079936e-22,2.2680286460897887e-07
8.059984967372562e-22,2.3121538919078438e-07
9.89197519976055e-22,2.3571376089457565e-07
1.1934917107329352e-21,2.449747588984613e-07
1.4647658093013254e-21,2.697505526387484e-07
1.797699017767429e-21,3.0281093076017574e-07
2.206306112526928e-21,3.601516059263056e-07
2.6169158487748832e-21,4.538410399211316e-07
2.8500452282814787e-21,5.60988521158815e-07
3.157374851964899e-21,8.247417722138225e-07
3.2117264214178772e-21,1.1225590746e-06
3.2670136077172883e-21,1.3611036963e-06
3.3232525167252472e-21,1.7825676681e-06
3.380459531552825e-21,2.1613645969e-06
3.933782819425621e-21,2.7462902733e-06
5.976502503860543e-21,2.4749668913e-06
8.244563449874424e-21,2.2461815282e-06
1.0983780103047585e-20,2.0937258782e-06
1.3794963600448287e-20,1.9598656094e-06
1.8427612102933365e-20,1.7920814868e-06
2.6251956542046332e-20,1.5117750706e-06
3.228566664294574e-20,1.3579557954e-06
3.9055100130599347e-20,1.1954559489e-06
6.462182837034799e-20,8.186634721846967e-07
8.632324238625823e-20,6.380332397545174e-07
1.1166168871557288e-19,5.083299590622021e-07
1.49160109878232e-19,3.921088038229744e-07
1.9372053006253156e-19,3.0645413548126725e-07
2.3173532309677666e-19,2.599781894730584e-07
2.748664646066989e-19,2.2096441781864122e-07
3.165509034319583e-19,1.9361334443605598e-07
3.520699546201788e-19,1.724529932080676e-07
4.453511671334576e-19,1.365612977737353e-07
5.06513258987691e-19,1.2038879862232372e-07
5.949097652753026e-19,1.0184424850756458e-07
7.451702176076751e-19,7.85592620435429e-08
8.66655563191327e-19,6.303072456472635e-08
9.95414567116832e-19,4.84151949551706e-08
1.1691339485537184e-18,4.375479375074189e-08
1.329696406291517e-18,4.5256155261195154e-08
1.6655469758003787e-18,4.242234070685494e-08
2.154434690031878e-18,4.02156973981074e-08
2.613157995727103e-18,3.908247799038759e-08
3.7227020928234354e-18,3.7732847183421245e-08
4.709034952209068e-18,3.685908640653751e-08
6.03169151355499e-18,3.6344572129178495e-08
6.802057126627543e-18,3.701485635825152e-08
8.057264575365348e-18,3.8231169414637673e-08
9.463415403718181e-18,3.4551072945922184e-08
1.0806439707198053e-17,3.4148688843242955e-08
1.2241210081844059e-17,3.3798469062733e-08
1.8008976109923785e-17,3.3015814723340616e-08
2.38640698194831e-17,3.2631310340438446e-08
3.11181644838018e-17,3.246355012894068e-08
4.727708582044716e-17,3.229665238628857e-08
7.182694997442361e-17,3.192052341598596e-08
1.0567009449961394e-16,3.154877486878742e-08
1.4274207546594267e-16,3.1593155101617395e-08
2.1445556743595808e-16,3.1269144188750545e-08
2.686220855350692e-16,3.0904981647528294e-08
3.588312182542035e-16,3.0545060167578235e-08
4.793345377291631e-16,3.0231798234838784e-08
6.828594710632504e-16,2.987971669386472e-08
9.72800873957162e-16,2.9187806954199752e-08
1.2185078834000001e-15,2.9187806954199752e-08
1.5262748027e-15,2.8847883805392692e-08
2.3188329399e-15,2.86995744963896e-08
2.8163327497e-15,2.8552027657565797e-08
3.6381302514e-15,2.8552027657565797e-08
4.7060299916000005e-15,2.8552027657565797e-08
7.8742207312e-15,2.9228865970716592e-08
1.0518555137300001e-14,2.9531735518027127e-08
1.51124811754e-14,3.0545060167578235e-08
1.9383185395400003e-14,3.17564174176819e-08
2.65485500633e-14,3.4551072945922184e-08
3.34926954022e-14,3.739840434811263e-08
3.9057593215500004e-14,4.04993550774248e-08
4.4660376241600003e-14,4.447829676127631e-08
4.9760416840100004e-14,4.848330148651925e-08
6.17190399153e-14,6.131204298578705e-08
7.158892876700001e-14,7.506852376166477e-08
8.90318409853e-14,1.125335582600767e-07
1.1028040101220001e-13,1.996945904454089e-07
1.19623523135e-13,2.615666785272672e-07
1.272888665074e-13,3.2025395772304705e-07
1.335821727165e-13,3.7910069337762113e-07
1.39499280351e-13,4.350945452264096e-07
1.471176132875e-13,5.312203764625499e-07
1.0138834266342e-12,5.250337484859782e-07
