x,y
1.0000000000000003e-15,1.0
1.0092715146305716e-15,1.0
1.0186289902446864e-15,1.0
1.0280732238308647e-15,1.0
1.037605019766912e-15,1.0
1.0472251898884353e-15,1.0
1.0569345535579873e-15,1.0
1.066733937734857e-15,1.0
1.0766241770454932e-15,1.0
1.086606113854598e-15,1.0
1.0966805983368676e-15,1.0
1.106848488549412e-15,1.0
1.117110650504824e-15,1.0
1.1274679582449471e-15,1.0
1.137921293915314e-15,1.0
1.1484715478402888e-15,1.0
1.1591196185988859e-15,1.0
1.169866413101308e-15,1.0
1.1807128466661891e-15,1.0
1.1916598430985588e-15,1.0
1.2027083347685122e-15,1.0
1.2138592626906287e-15,1.0
1.2251135766041175e-15,1.0
1.2364722350537149e-15,1.0
1.2479362054713115e-15,1.0
1.2595064642583588e-15,1.0
1.2711839968690278e-15,1.0
1.2829697978941477e-15,1.0
1.2948648711459049e-15,1.0
1.3068702297433477e-15,1.0
1.3189868961986691e-15,1.0
1.3312159025043077e-15,1.0
1.343558290220826e-15,1.0
1.356015110565635e-15,1.0
1.3685874245025176e-15,1.0
1.3812763028320092e-15,1.0
1.3940828262825784e-15,1.0
1.4070080856026865e-15,1.0
1.4200531816536817e-15,1.0
1.4332192255035739e-15,1.0
1.4465073385216472e-15,1.0
1.4599186524739801e-15,1.0
1.4734543096198344e-15,1.0
1.4871154628089538e-15,1.0
1.5009032755797366e-15,1.0
1.5148189222583475e-15,1.0
1.5288635880587298e-15,1.0
1.5430384691835645e-15,1.0
1.5573447729261353e-15,1.0
1.5717837177731612e-15,1.0
1.5863565335085897e-15,1.0
1.6010644613183177e-15,1.0
1.6159087538959192e-15,1.0
1.6308906755493342e-15,1.0
1.6460115023085496e-15,1.0
1.6612725220342928e-15,1.0
1.6766750345277009e-15,1.0
1.6922203516410356e-15,1.0
1.707909797389427e-15,1.0
1.72374470806362e-15,1.0
1.7397264323438026e-15,1.0
1.7558563314144672e-15,1.0
1.7721357790803586e-15,1.0
1.788566161883462e-15,1.0
1.8051488792211095e-15,1.0
1.8218853434651648e-15,1.0
1.8387769800823267e-15,1.0
1.855825227755519e-15,1.0
1.8730315385064387e-15,1.0
1.8903973778192202e-15,1.0
1.907924224765265e-15,1.0
1.925613572129199e-15,1.0
1.9434669265360224e-15,1.3120293807030594e-14
1.9614858085794294e-15,1.3183992364930924e-14
1.9796717529513327e-15,1.3124000797472014e-14
1.9980263085725508e-15,1.3003439220491502e-14
2.0165510387247486e-15,1.3173853749977982e-14
2.0352475211835763e-15,1.3363062039215656e-14
2.054117348353064e-15,1.3524994030263892e-14
2.073162127401232e-15,1.3638677345517928e-14
2.0923834803969793e-15,1.3753316217287422e-14
2.1117830444482427e-15,1.3674411913071893e-14
2.1313624718414376e-15,1.3548794070619567e-14
2.1511234301821672e-15,1.342433019679439e-14
2.171067602537267e-15,1.3518561472123098e-14
2.1911966875781473e-15,1.39975272088238e-14
2.211512399725489e-15,1.392109017957904e-14
2.2320164692952346e-15,1.3553356311429592e-14
2.252710642645983e-15,1.3861229592717411e-14
2.273596682327715e-15,1.422642021510954e-14
2.2946763672319363e-15,1.4200240676118096e-14
2.3159514927431544e-15,1.4069792390123983e-14
2.3374238708918172e-15,1.4152594925973144e-14
2.359095330508634e-15,1.4355845942304567e-14
2.3809677173803583e-15,1.4537625659052643e-14
2.40304289440697e-15,1.44040780387762e-14
2.4253227417603558e-15,1.427175723278846e-14
2.4478091570444403e-15,1.4181574966781242e-14
2.4705040554568253e-15,1.4133923774320095e-14
2.493409369951881e-15,1.4086432693563624e-14
2.516527051405389e-15,1.3814450885966624e-14
2.5398590687807243e-15,1.3528179788978947e-14
2.563407409296515e-15,1.3581827225491704e-14
2.587174078595924e-15,1.4313977663716006e-14
2.6111611009174624e-15,1.4406848327573766e-14
2.6353705192673927e-15,1.4108269068391669e-14
2.6598043955937586e-15,1.3838176337799205e-14
2.6844648109619648e-15,3.5020348530737446e-15
2.709353865732049e-15,3.452790448700933e-15
2.73447367973758e-15,3.728556964715459e-15
2.7598263924661807e-15,4.4529331141124895e-15
2.785414163241769e-15,4.096754123903048e-15
2.8112391714084607e-15,4.878994535473379e-15
2.8373036165162115e-15,3.4225010668417757e-15
2.863609718508116e-15,4.829989225657973e-15
2.8901597179095116e-15,4.7353471251283355e-15
2.9169558760187933e-15,4.732154017541226e-15
