x,y
1.0000000000000002e-25,1.0
1.010650325448504e-25,1.0
1.0214140803291633e-25,1.0
1.0322924727023534e-25,1.0
1.0432867234946743e-25,1.0
1.0543980666359921e-25,1.0
1.065627749197939e-25,1.0
1.076977031533854e-25,1.0
1.0884471874202535e-25,1.0
1.1000395041997838e-25,1.0
1.1117552829257224e-25,1.0
1.1235958385079751e-25,1.0
1.1355624998606656e-25,1.0
1.1476566100512987e-25,1.0
1.159879526451472e-25,1.0
1.1722326208892324e-25,1.0
1.1847172798030555e-25,1.0
1.1973349043974247e-25,1.0
1.210086910800111e-25,1.0
1.2229747302211024e-25,1.0
1.2359998091132537e-25,1.0
1.249163609334599e-25,1.0
1.2624676083124353e-25,1.0
1.2759132992091571e-25,1.0
1.2895021910898097e-25,1.0
1.30323580909147e-25,1.0
1.3171156945944388e-25,1.0
1.331143405395202e-25,1.0
1.3453205158812857e-25,1.0
1.359648617207971e-25,1.0
1.3741293174768446e-25,1.0
1.3887642419163036e-25,1.0
1.4035550330639516e-25,1.0
1.4185033509509692e-25,1.0
1.4336108732883903e-25,1.0
1.4488792956554205e-25,1.0
1.46431033168975e-25,1.0
1.4799057132798529e-25,1.0
1.4956671907593778e-25,1.0
1.5115965331036152e-25,1.0
1.5276955281279991e-25,1.0
1.5439659826887808e-25,1.0
1.5604097228858356e-25,1.0
1.57702859426758e-25,1.0
1.5938244620381268e-25,1.0
1.6107992112666133e-25,1.0
1.6279547470987965e-25,1.0
1.645292994970836e-25,1.0
1.662815900825413e-25,1.0
1.6805254313301513e-25,1.0
1.6984235740983053e-25,1.0
1.7165123379118569e-25,1.0
1.734793752946991e-25,1.0
1.753269871001908e-25,1.0
1.7719427657271354e-25,1.0
1.7908145328582444e-25,1.0
1.8098872904510962e-25,1.0
1.8291631791195116e-25,1.0
1.8486443622755474e-25,1.0
1.868333026372324e-25,1.0
1.8882313811493784e-25,1.0
1.9083416598806894e-25,1.0
1.9286661196253576e-25,1.0
1.9492070414808718e-25,1.0
1.9699667308391508e-25,1.0
1.9909475176453136e-25,1.0
2.012151756659128e-25,1.0
2.0335818277193268e-25,1.0
2.055240136010693e-25,1.0
2.077129112334035e-25,1.0
2.0992512133789554e-25,1.0
2.1216089219996e-25,1.0
2.144204747493345e-25,1.0
2.167041225882377e-25,1.0
2.1901209201983407e-25,1.0
2.213446420770031e-25,1.0
2.2370203455140584e-25,1.0
2.2608453402287077e-25,1.0
2.284924078890869e-25,1.0
2.3092592639561804e-25,1.0
2.333853626662287e-25,1.0
2.3587099273354028e-25,1.0
2.383830955700142e-25,1.0
2.4092195311925676e-25,1.0
2.4348785032766504e-25,1.0
2.4608107517641137e-25,1.0
2.48701918713758e-25,1.0
2.5135067508772593e-25,1.0
2.5402764157911144e-25,1.0
2.567331186348449e-25,1.0
2.594674099017154e-25,1.0
2.6223082226044807e-25,1.0
2.650236658601507e-25,1.0
2.678462541531169e-25,1.0
2.706989039300093e-25,1.0
2.7358193535541726e-25,1.0
2.7649567200378404e-25,1.0
2.794404408957261e-25,1.0
2.82416572534739e-25,1.0
2.8542440094428516e-25,1.0
2.884642637052849e-25,1.0
2.9153650199400933e-25,1.0
2.9464146062036407e-25,1.0
2.977794880665936e-25,1.0
3.0095093652639048e-25,1.0
3.041561619444287e-25,1.0
3.073955240563048e-25,1.0
3.106693864289166e-25,1.0
3.1397811650127167e-25,1.0
3.1732208562571857e-25,1.0
3.2070166910962928e-25,1.0
3.2411724625752534e-25,1.0
3.27569200413641e-25,1.0
3.3105791900495123e-25,1.0
3.345837935846585e-25,1.0
3.3814721987613016e-25,1.0
3.4174859781731794e-25,1.0
3.4538833160564087e-25,1.0
3.490668297433568e-25,1.0
3.527845050834012e-25,1.0
3.5654177487572744e-25,1.0
3.603390608141412e-25,1.0
3.6417678908362017e-25,1.0
3.6805539040815048e-25,1.0
3.7197530009907354e-25,1.0
3.759369581039337e-25,1.0
3.799408090558613e-25,1.0
3.8398730232347257e-25,1.0
3.880768920613108e-25,1.0
3.922100372608077e-25,1.0
3.9638720180180367e-25,1.0
4.006088545046148e-25,1.0
4.048754691826414e-25,1.0
4.0918752469555057e-25,1.0
4.135455050030261e-25,1.0
4.179498992190743e-25,1.0
4.224012016669253e-25,1.0
4.268999119345173e-25,1.0
4.314465349305576e-25,1.0
4.360415809411975e-25,1.0
4.4068556568729975e-25,1.0
4.453790103823277e-25,1.0
4.501224417908322e-25,1.0
4.549163922875781e-25,1.0
4.597613999173001e-25,1.0
4.646580084550792e-25,1.0
4.6960676746737775e-25,1.0
4.7460823237372525e-25,1.0
4.796629645090448e-25,1.0
4.847715311866604e-25,1.0
4.89934505761966e-25,1.0
4.951524676967831e-25,1.0
5.004260026243837e-25,1.0
5.057557024152252e-25,1.0
5.111421652433844e-25,1.0
5.165859956536794e-25,1.0
5.220878046295286e-25,1.0
5.27648209661528e-25,1.0
5.33267834816744e-25,1.0
5.389473108087592e-25,1.0
5.446872750684687e-25,1.0
5.504883718156068e-25,1.0
5.563512521310601e-25,1.0
5.622765740299364e-25,1.0
5.682650025354252e-25,1.0
5.743172097534225e-25,1.0
5.804338749479709e-25,1.0
5.866156846175032e-25,1.0
5.928633325718767e-25,1.0
5.991775200102496e-25,1.0
6.055589555997863e-25,1.0
6.120083555551802e-25,1.0
6.185264437190468e-25,1.0
6.251139516431581e-25,1.0
6.317716186705582e-25,1.0
6.385001920185279e-25,1.0
6.453004268624549e-25,1.0
6.521730864205988e-25,1.0
6.591189420397335e-25,1.0
6.661387732817278e-25,1.0
6.732333680110455e-25,1.0
6.804035224831557e-25,1.0
6.876500414339072e-25,1.0
6.949737381698557e-25,1.0
7.023754346595282e-25,1.0
7.098559616256868e-25,1.0
7.174161586385581e-25,1.0
7.2505687421007455e-25,1.0
7.32778965889087e-25,1.0
7.405833003576212e-25,1.0
7.484707535281569e-25,1.0
7.56442210641919e-25,1.0
7.644985663682383e-25,1.0
7.726407249049749e-25,1.0
7.8086960007998115e-25,1.0
7.8918611545367635e-25,1.0
7.975912044226953e-25,1.0
8.060858103246615e-25,1.0
8.146708865440403e-25,1.0
8.233473966191522e-25,1.0
8.321163143503251e-25,1.0
8.409786239091657e-25,1.0
8.4993531994903e-25,1.0
8.589874077166658e-25,1.0
8.681359031650152e-25,1.0
8.773818330672502e-25,1.0
8.867262351320216e-25,1.0
8.961701581199044e-25,1.0
9.057146619611152e-25,1.0
9.15360817874483e-25,1.0
9.251097084876553e-25,1.0
9.349624279586196e-25,1.0
9.449200820984985e-25,1.0
9.549837884956749e-25,1.0
9.651546766411992e-25,1.0
9.7543388805557e-25,1.0
9.858225764168615e-25,1.0
9.96321907690184e-25,1.0
1.006933060258559e-24,1.0
1.0176572250551668e-24,1.0
1.0284956056970262e-24,1.0
1.0394494186200556e-24,1.0
