x,y
0.010471092,1.15E-07
0.013562284,1.04E-07
0.018565997,8.77E-08
0.02540025,7.64E-08
0.034750169,6.69E-08
0.04754135,6.02E-08
0.06504042,5.52E-08
0.088976365,5.78E-08
0.121713615,7.20E-08
0.166514545,6.55E-08
0.22781043,5.64E-08
0.311657097,5.46E-08
0.430300331,5.70E-08
0.577960925,4.57E-08
0.718999532,2.47E-08
0.758949413,1.37E-08
0.867156986,2.87E-08
1.132735284,4.05E-08
1.399973683,6.59E-08
1.622013152,1.36E-07
1.820108523,3.04E-07
1.682042612,6.01E-07
1.427792892,1.21E-06
1.114812515,2.22E-06
0.901549185,2.45E-06
0.814062006,2.17E-06
0.711378106,2.28E-06
0.575121912,4.36E-06
0.437473221,6.88E-06
0.330728266,9.72E-06
0.246069199,1.49E-05
0.204011111,2.34E-05
0.149281134,3.41E-05
0.11196925,4.65E-05
0.082802819,6.25E-05
0.061812695,8.61E-05
0.046129599,0.000119014
0.034470703,0.000161063
0.025699257,0.000217431
0.019069353,0.000296347
0.014261803,0.000394199
0.010565069,0.000556637
0.010471092,1.15E-07
