x,y
4.01905279629851e-17,3.4020918279671135e-07
2.584467849854685e-16,5.372281118324031e-08
6.430539683964709e-16,2.1348387606798146e-08
1.2264780886e-15,1.1057343305182418e-08
1.6778080278000002e-15,7.742636826811278e-09
2.3840732103e-15,4.7705826961439325e-09
3.832702894000001e-15,2.6826957952797275e-09
4.9527380732000005e-15,1.9131368269582795e-09
5.343613662e-15,1.6988644564620444e-09
5.4980183572e-15,3.866353752192408e-09
5.6034255783000004e-15,1.1364636663857244e-08
5.7653375864e-15,3.727593720314938e-08
6.0456541476e-15,1.0184424850756458e-07
6.3395999844e-15,2.586416205275971e-07
6.5538250705e-15,4.99358789347315e-07
6.9380450169e-15,9.909043753135176e-07
