x,y
0.002025461,1.12E-05
0.002100715,1.14E-05
0.002242902,1.16E-05
0.002409013,1.18E-05
0.002587427,1.22E-05
0.002773545,1.24E-05
0.002984874,1.26E-05
0.003199581,1.28E-05
0.003429731,1.31E-05
0.003683741,1.34E-05
0.003956562,1.36E-05
0.004249589,1.40E-05
0.004555268,1.45E-05
0.004882936,1.50E-05
0.005244571,1.54E-05
0.005632989,1.57E-05
0.006038178,1.64E-05
0.006459681,1.73E-05
0.006924335,1.81E-05
0.007437158,1.87E-05
0.007972124,1.96E-05
0.008528628,2.09E-05
0.009123979,2.22E-05
0.009760889,2.37E-05
0.01044226,2.52E-05
0.011126941,2.72E-05
0.01148401,2.84E-05
0.011980698,2.95E-05
0.012680302,3.14E-05
0.013462312,3.52E-05
0.014345012,3.83E-05
0.015225038,4.27E-05
0.01615905,4.74E-05
0.016620565,5.06E-05
0.017014752,5.39E-05
0.017769655,6.28E-05
0.018170948,6.80E-05
0.018579636,7.33E-05
0.019128399,8.65E-05
0.019166399,0.000104428
0.018944267,0.000113904
0.018641194,0.000124797
0.018313479,0.00013465
0.017915767,0.000146286
0.017598602,0.00015588
0.017155599,0.000168701
0.016777909,0.000180817
0.016293228,0.000192948
0.015870997,0.000205402
0.015412515,0.000218312
0.01463556,0.000245918
0.014226508,0.000261202
0.013866907,0.000277805
0.013405054,0.000287489
0.012938423,0.000301115
0.012582303,0.000317521
0.012243099,0.000335837
0.011548796,0.000378473
0.011221243,0.000399914
0.010865077,0.000416346
0.010216766,0.000448596
0.009703237,0.00049559
0.009376345,0.000517616
0.009018959,0.000546024
0.008518418,0.000607225
0.008255273,0.000633722
0.007972124,0.000661888
0.00748157,0.000720254
0.007036913,0.000789146
0.006796162,0.000817045
0.00656306,0.000852879
0.006183707,0.000935737
0.005793146,0.001001346
0.005594948,0.001034912
0.005403046,0.001076396
0.005090744,0.001180969
0.004758566,0.00126846
0.004491149,0.001374422
0.004324909,0.001437046
0.004174358,0.00149263
0.003956562,0.001612269
0.003791933,0.001669267
0.003682697,0.001728411
0.003546381,0.001785412
0.003434597,0.001850578
0.00332816,0.001929387
0.003223254,0.002023929
0.003123366,0.002100535
0.003034651,0.002207648
0.002929623,0.002303979
0.002845227,0.002389839
0.002739911,0.00245379
0.002644534,0.002570966
0.002495919,0.002770976
0.00241279,0.002867577
0.002319866,0.003004939
0.002184314,0.003243025
0.002041093,0.003508541
0.002025461,1.12E-05
