x,y
0.101338393,2.59E-07
0.104088164,2.68E-07
0.107642132,2.76E-07
0.109781647,2.80E-07
0.113793188,2.89E-07
0.115920681,2.93E-07
0.120295738,3.00E-07
0.122544803,3.04E-07
0.126875753,3.09E-07
0.129397559,3.06E-07
0.134125887,3.02E-07
0.136791798,3.00E-07
0.14179032,2.96E-07
0.144441251,2.95E-07
0.149892726,2.92E-07
0.152695141,2.90E-07
0.158091657,2.87E-07
0.161233915,2.84E-07
0.167125579,2.78E-07
0.170447398,2.76E-07
0.176675733,2.69E-07
0.179978886,2.67E-07
0.186339658,2.63E-07
0.190043379,2.62E-07
0.196987772,2.58E-07
0.200903137,2.55E-07
0.207762739,2.45E-07
0.211892269,2.40E-07
0.219635044,2.31E-07
0.223741371,2.26E-07
0.231648786,2.22E-07
0.23625308,2.20E-07
0.244886026,2.15E-07
0.249753425,2.13E-07
0.258879689,2.11E-07
0.263719739,2.10E-07
0.273673001,2.08E-07
0.278789628,2.07E-07
0.289311654,2.05E-07
0.294720664,2.05E-07
0.305136613,2.05E-07
0.311201564,2.04E-07
0.32257321,2.05E-07
0.328984734,2.05E-07
0.341006197,2.06E-07
0.347784098,2.06E-07
0.360492511,2.07E-07
0.367232327,2.08E-07
0.381092342,2.10E-07
0.388217295,2.10E-07
0.402869321,2.12E-07
0.41040142,2.12E-07
0.424905731,2.14E-07
0.433351235,2.14E-07
0.449186364,2.15E-07
0.458114474,2.13E-07
0.474854479,2.09E-07
0.483732423,2.07E-07
0.501989362,2.01E-07
0.511374623,1.97E-07
0.528223021,1.87E-07
0.538722077,1.83E-07
0.55711611,1.73E-07
0.567532028,1.67E-07
0.586230659,1.55E-07
0.599037434,1.48E-07
0.616866716,1.36E-07
0.632361519,1.27E-07
0.649103795,1.16E-07
0.665848696,1.04E-07
0.678297493,9.59E-08
0.699025118,8.12E-08
0.712094186,7.23E-08
0.72289251,6.43E-08
0.731310209,5.74E-08
0.738969913,5.12E-08
0.743546801,4.56E-08
0.750051725,3.95E-08
0.753948711,3.56E-08
0.761331201,3.05E-08
0.766687603,2.74E-08
0.774578486,2.33E-08
0.78019658,2.71E-08
0.783915235,3.04E-08
0.788466164,3.70E-08
0.793962165,4.47E-08
0.802278082,5.06E-08
0.811620185,6.00E-08
0.822022191,6.55E-08
0.839332003,7.68E-08
0.85998801,8.76E-08
0.87911447,9.60E-08
0.908078891,1.10E-07
0.927916752,1.16E-07
0.955534541,1.25E-07
0.976107721,1.30E-07
