x,y
0.010113896,9.65E-07
0.010768814,9.43E-07
0.011404369,9.11E-07
0.012077432,8.86E-07
0.012790219,8.63E-07
0.013545072,8.40E-07
0.014344476,8.18E-07
0.015191059,7.97E-07
0.016087606,7.75E-07
0.017037065,7.55E-07
0.018042559,7.36E-07
0.019107396,7.17E-07
0.020235077,6.98E-07
0.021429312,6.80E-07
0.022694028,6.63E-07
0.024033386,6.46E-07
0.025451789,6.30E-07
0.026953904,6.14E-07
0.028544671,5.99E-07
0.030229322,5.84E-07
0.032013398,5.71E-07
0.033902766,5.58E-07
0.035903641,5.45E-07
0.038022604,5.32E-07
0.040266624,5.20E-07
0.042643082,5.10E-07
0.045159793,5.00E-07
0.047825036,4.90E-07
0.050647577,4.81E-07
0.053636698,4.74E-07
0.056802231,4.68E-07
0.060154588,4.62E-07
0.063704795,4.56E-07
0.067464528,4.56E-07
0.071446153,4.56E-07
0.075662765,4.55E-07
0.080128234,4.56E-07
0.084857246,4.66E-07
0.089865356,4.79E-07
0.095169034,4.92E-07
0.100785725,5.04E-07
0.106733902,5.61E-07
0.113033129,5.91E-07
0.11945478,5.93E-07
0.126768827,5.85E-07
0.134250477,5.83E-07
0.141526657,5.64E-07
0.151351421,5.61E-07
0.160283887,5.56E-07
0.16974353,5.39E-07
0.179761462,5.29E-07
0.190370633,5.18E-07
0.201605937,5.06E-07
0.213504326,4.88E-07
0.226104935,4.73E-07
0.239449208,4.54E-07
0.253581033,4.37E-07
0.268546892,4.35E-07
0.284396006,4.30E-07
0.301180504,4.37E-07
0.31895559,4.34E-07
0.337779727,4.41E-07
0.357714828,4.45E-07
0.37882646,4.48E-07
0.401184059,4.51E-07
0.42486116,4.56E-07
0.449935638,4.45E-07
0.476489962,4.31E-07
0.504611471,3.99E-07
0.534392656,3.64E-07
0.56298899,3.38E-07
0.586963963,3.06E-07
0.608778117,2.75E-07
0.630804818,2.46E-07
0.648076595,2.22E-07
0.66365115,2.03E-07
0.679206473,1.85E-07
0.693517755,1.69E-07
0.706287275,1.52E-07
0.719291915,1.38E-07
0.72737184,1.24E-07
0.730491061,1.12E-07
0.736075179,1.03E-07
0.761599136,1.01E-07
0.790170515,1.01E-07
0.809955789,1.04E-07
0.826770122,1.22E-07
0.834067374,1.38E-07
0.847971125,1.49E-07
0.867272436,1.67E-07
0.886572815,1.84E-07
0.907090462,2.07E-07
0.946335494,2.24E-07
1.004147406,2.40E-07
1.060642101,2.63E-07
1.120315265,2.86E-07
1.186434089,3.01E-07
1.254075627,3.19E-07
1.293000403,3.58E-07
1.30996145,3.86E-07
1.324457261,4.40E-07
1.337057504,4.91E-07
1.345176029,5.38E-07
1.359416093,5.92E-07
1.341053966,8.38E-07
1.330608648,9.23E-07
1.306929975,9.98E-07
1.282929369,1.10865E-06
1.263022016,1.23457E-06
1.242613599,1.3416E-06
1.186434089,1.45918E-06
1.126383538,1.58078E-06
1.055478072,1.40232E-06
1.007587372,1.22837E-06
0.978497813,1.45586E-06
0.963760065,1.65395E-06
0.955121566,1.83298E-06
0.913347445,1.91151E-06
0.886059449,1.81642E-06
0.836680213,1.69235E-06
0.799170227,1.6591E-06
0.783342572,1.56914E-06
0.762878511,1.91632E-06
0.759903893,2.19774E-06
0.721378051,2.21496E-06
0.679206473,2.28642E-06
0.646389609,2.46478E-06
0.618373485,2.71758E-06
0.590311431,2.99829E-06
0.57785598,3.30568E-06
0.551371271,3.56416E-06
0.520643884,3.78762E-06
0.491628904,4.06852E-06
0.464230902,4.34254E-06
0.43950382,4.73425E-06
0.416093817,5.21781E-06
0.392905312,5.53614E-06
0.371009079,5.75602E-06
0.350333102,6.21986E-06
0.331672744,6.72242E-06
0.315647485,7.44618E-06
0.299614559,8.06294E-06
0.28291733,8.46353E-06
0.267150621,8.99058E-06
0.252262575,9.81209E-06
0.240074137,1.07673E-05
0.227026283,1.24485E-05
0.213262298,1.36466E-05
0.207169647,1.51162E-05
0.201605937,1.64844E-05
0.197594997,1.77652E-05
0.185578022,1.93699E-05
0.172418973,2.03711E-05
0.162810231,2.14428E-05
0.153736974,2.25977E-05
0.145169362,2.38718E-05
0.137079214,2.56605E-05
0.130456029,2.76648E-05
0.124152853,2.99651E-05
0.117233935,3.12322E-05
0.11041244,3.24946E-05
0.104531364,3.41103E-05
0.098705932,3.64657E-05
0.093205146,3.86442E-05
0.088010914,4.15597E-05
0.082213111,4.6581E-05
0.077458655,4.87325E-05
0.073332849,5.04751E-05
0.06924608,5.29407E-05
0.065387063,5.63942E-05
0.061743105,6.04802E-05
0.058302222,6.45794E-05
0.055053096,7.0117E-05
0.05198504,7.45131E-05
0.049087964,7.79048E-05
0.046352339,8.15482E-05
0.043769168,8.58723E-05
0.041329955,9.18018E-05
0.039026676,9.91207E-05
0.036851758,0.000106683
0.034798045,0.000113733
0.032858783,0.000119005
0.031027595,0.000124917
0.029298457,0.000130915
0.027665683,0.000138516
0.026123901,0.000149381
0.024668041,0.000162578
0.023293315,0.00017408
0.021995201,0.000181787
0.02076943,0.00019196
0.01961197,0.000202219
0.018519014,0.000210034
0.017486967,0.000226647
0.016512435,0.000245209
0.015592213,0.000265707
0.014723274,0.000277582
0.01392452,0.000288825
0.013127973,0.000301073
0.012396364,0.000319237
0.011705527,0.0003391
0.011053189,0.000362707
0.010581009,0.000387447
0.010113896,0.000420032
0.010113896,9.65E-07
