x,y
1.6636343351214429e-09,1.0
1.6636343351214429e-09,2.232069104231721e-09
1.8308836160261761e-09,8.044921941764863e-12
1.928683492596584e-09,3.1032573741680493e-12
2.022235734883256e-09,1.97176216233955e-12
2.1167259355822282e-09,1.5021250421920396e-12
2.213749613745782e-09,1.253040353043666e-12
2.3152205346846728e-09,1.045259270869052e-12
2.472534988706888e-09,9.334164644061144e-13
2.698084062802859e-09,8.336116670538928e-13
2.9448335553098563e-09,7.277802373699883e-13
3.350782276373672e-09,7.448580255300067e-13
3.7297886593528474e-09,7.976521731809436e-13
4.062253695305555e-09,8.73712519776493e-13
4.423414272501794e-09,9.78983604060854e-13
4.818730955669324e-09,1.0482830685375446e-12
5.2538385930289016e-09,1.0251190670118048e-12
5.851826998883463e-09,1.0255546379795308e-12
6.23618658119872e-09,1.1490231112265068e-12
6.641558235692665e-09,1.3780160782759357e-12
7.070276171329442e-09,1.7293524439114849e-12
7.204438407713029e-09,2.322707392393296e-12
7.246643435716128e-09,1.2447110316563026e-09
7.501132518828323e-09,1.0
