x,y
0.001034242,4.23E-08
0.00134385,3.30E-08
0.001746142,2.50E-08
0.002085704,2.06E-08
0.002377481,1.89E-08
0.002659854,1.69E-08
0.003147525,1.36E-08
0.003554444,1.15E-08
0.004013972,1.00E-08
0.004930972,9.46E-09
0.006407096,8.75E-09
0.008170835,8.42E-09
0.010918937,8.05E-09
0.013539428,8.01E-09
0.016788825,8.28E-09
0.020624269,8.51E-09
0.022603911,8.85E-09
0.02756084,9.05E-09
0.032920428,9.20E-09
0.036147882,9.36E-09
0.038020362,9.73E-09
0.039617576,1.09E-08
0.039593388,2.4105E-06
0.036481262,2.59377E-06
0.033993128,2.75107E-06
0.031674692,2.91333E-06
0.029514381,3.07281E-06
0.027425824,3.27944E-06
0.025567023,3.54782E-06
0.023877976,3.76116E-06
0.022249425,3.92756E-06
0.020731945,4.19242E-06
0.019349002,4.51163E-06
0.018000419,4.8649E-06
0.016772735,5.21217E-06
0.015628783,5.57634E-06
0.014562852,5.98243E-06
0.013569621,6.30345E-06
0.012644131,6.67417E-06
0.011781762,7.10851E-06
0.01097821,7.57889E-06
0.010229462,8.25006E-06
0.009531782,8.89554E-06
0.008881685,9.56664E-06
0.008275927,1.02085E-05
0.007711483,1.09674E-05
0.007185536,1.16849E-05
0.006695461,1.26737E-05
0.00623881,1.3618E-05
0.005813304,1.44986E-05
0.005416819,1.5552E-05
0.005036582,1.67804E-05
0.004703128,1.7804E-05
0.004382361,1.91245E-05
0.00408347,2.03867E-05
0.003813119,2.17885E-05
0.003545455,2.3631E-05
0.003303644,2.48911E-05
0.003078325,2.65842E-05
0.002868374,2.8818E-05
0.002672742,3.08266E-05
0.002490453,3.29752E-05
0.002320596,3.54266E-05
0.002162325,3.81714E-05
0.002014847,4.04577E-05
0.001877429,4.40406E-05
0.001749382,4.75686E-05
0.001630069,5.17812E-05
0.001518893,5.68571E-05
0.0014153,6.28344E-05
0.001333656,6.98351E-05
0.001256423,7.71891E-05
0.001187453,8.66253E-05
0.001116006,0.000103421
0.001068639,0.000126287
0.001036207,0.00016405
0.001034242,4.23E-08
