x,y
4.887139393421729e-07,1.0
4.887139393421729e-07,9.825104194915347e-14
5.000402632290238e-07,1.1314616715507623e-14
5.087069390473439e-07,1.063701871555544e-14
5.325595282075702e-07,9.568479084140931e-15
5.575305334261898e-07,8.760496806274378e-15
6.180801214239723e-07,7.088832467204204e-15
7.683730771377937e-07,5.251779860330861e-15
8.765689232101449e-07,4.402285060364777e-15
1.0000000000000002e-06,3.755888090680099e-15
1.1874815363065986e-06,3.2044029762451704e-15
1.3164458054677558e-06,2.832091494405889e-15
1.4101123990690802e-06,2.3739902294045778e-15
1.4762306867176125e-06,2.0614663269717758e-15
1.5454491725946376e-06,1.8543821309108488e-15
1.6179132208557952e-06,1.6681005372000626e-15
1.674482438011535e-06,1.3738237958832665e-15
1.773193860398799e-06,1.0543589908346837e-15
1.835192357756444e-06,8.683550174041039e-16
2.0113265529181095e-06,5.786981676954279e-16
2.1792570404067487e-06,3.856620421163488e-16
2.204365381849708e-06,3.5622478902624516e-16
2.2554532561047323e-06,3.290344562312671e-16
2.334313619803178e-06,3.1207061265801717e-16
2.443766468723535e-06,3.012501023016069e-16
2.5583514155912934e-06,2.986041129993284e-16
2.6783090976269684e-06,3.012501023016069e-16
2.803891435209056e-06,3.1483593124105643e-16
2.8688737898795453e-06,3.348915692940429e-16
2.8853533438541656e-06,3.5622478902624516e-16
2.9019275606543754e-06,3.8227463202108674e-16
2.935362160926235e-06,4.21231725225263e-16
2.986237728613191e-06,4.850916005351269e-16
3.0554460997984573e-06,5.994842503189421e-16
3.1262584285642662e-06,7.215020142863036e-16
3.162277660168383e-06,7.811245842304731e-16
3.2170861172938463e-06,8.30883682163997e-16
3.291644578600288e-06,8.683550174041039e-16
3.367930989967652e-06,9.15557919836425e-16
3.485688368472943e-06,9.825104194915346e-16
3.607563052301218e-06,1.035918694379656e-15
3.7984113068091783e-06,1.1314616715507622e-15
3.953802078431884e-06,1.1721022975334842e-15
4.139190578880293e-06,1.1516027200366104e-15
4.358163133372778e-06,1.035918694379656e-15
4.588719831843954e-06,9.236708571873883e-16
4.776441660217941e-06,8.382463045751949e-16
4.915212387674564e-06,7.674630429274326e-16
5.145680133874396e-06,7.215020142863036e-16
5.386954204979262e-06,6.843039425453433e-16
5.704517351559665e-06,6.37672519032331e-16
6.040800975097672e-06,5.942187619386586e-16
6.470610730737345e-06,5.537261313624362e-16
6.852055871304992e-06,5.298316906283723e-16
7.173339622431383e-06,5.20565156619189e-16
7.552825531918276e-06,5.069683449892611e-16
7.952387105332865e-06,4.981016813043258e-16
8.373086390756662e-06,4.981016813043258e-16
8.917615771792867e-06,4.937266729305222e-16
9.443312857145444e-06,4.8083086443633345e-16
9.886097188561874e-06,4.766075519335857e-16
1.029053160768701e-05,5.069683449892611e-16
1.065033293056349e-05,5.685769795014151e-16
1.1086031784226933e-05,6.547747961440298e-16
1.140811604794098e-05,7.151647994711414e-16
1.1739557877549783e-05,7.950293134140207e-16
1.2011631219653634e-05,8.531678524172849e-16
1.2360607072572577e-05,9.236708571873925e-16
1.2574840569939081e-05,1.000000000000004e-15
1.2719721777050769e-05,1.1414877741680033e-15
1.2792787152846157e-05,1.3029943385750276e-15
1.29401794346583e-05,1.5005318244952996e-15
1.3014511176328858e-05,1.728016530590285e-15
1.316445805467757e-05,2.0614663269717758e-15
1.3316132548149266e-05,2.733893605522637e-15
1.3546927170972963e-05,3.960054376977461e-15
1.3781721916034177e-05,5.440416936083295e-15
1.4182124498530218e-05,1.0268198434168908e-14
1.4510806213011723e-05,1.7433288221999945e-14
1.501816651960131e-05,3.120706126580172e-14
1.536622415515111e-05,4.766075519335856e-14
1.572234829585691e-05,7.950293134140207e-14
1.5812661535938578e-05,1.0000000000000041e-13
1.5812661535938578e-05,1.0000000000000041e-13
3e-05,1e-08
