x,y
4.47991504576169e-11,1.0
4.47991504576169e-11,3.542361793484893e-10
4.5145532004035504e-11,3.242599013110066e-10
4.57948349719328e-11,2.900751609259782e-10
4.6097351659629606e-11,2.6199961527528567e-10
4.66791133846679e-11,2.3007350592600048e-10
4.68550693984783e-11,2.091118140658309e-10
4.76073268779198e-11,1.8250341520000858e-10
4.76103122634918e-11,1.6612817143622743e-10
4.8668960737360804e-11,1.6757340494122338e-10
4.9041357992494307e-11,1.4924692930330708e-10
4.9292007347036305e-11,1.359469525929091e-10
4.9762292115892905e-11,1.2731675540697196e-10
5.0453542140627005e-11,1.5338458657444844e-10
5.1235495615212e-11,1.7897931343415148e-10
5.147617381652861e-11,2.0239772954739457e-10
5.2060486166637e-11,1.5091662565000637e-10
5.2322305071895404e-11,1.747541254190376e-10
5.28366451871177e-11,1.3469953092619546e-10
5.34115144560691e-11,1.182405340313219e-10
5.36176510227067e-11,1.5359600796435895e-10
5.4156043297486506e-11,1.3811901514320266e-10
5.5510708995854603e-11,1.210547787500592e-10
5.5568754087665105e-11,1.3358702685878556e-10
5.6759093741150403e-11,1.1045080371883835e-10
5.6932571143659806e-11,1.2793202996444234e-10
5.7374583836588804e-11,1.1656125646934712e-10
5.7458593086741e-11,9.724146489365265e-11
5.846746178216761e-11,1.0789367701428704e-10
5.899549271343621e-11,9.574199590156914e-11
6.033733694544601e-11,1.0322945248704995e-10
6.16416467768681e-11,9.439424860791683e-11
6.189728758807251e-11,1.09575016246335e-10
6.25998912762338e-11,9.498417950955832e-11
6.273894511422412e-11,8.125667807065285e-11
6.32707829277948e-11,7.506909945150601e-11
6.459369621137271e-11,6.500467814596899e-11
6.48223981583936e-11,7.322810081139226e-11
6.539248287054891e-11,8.135687625305688e-11
6.67346453314227e-11,6.257624854669985e-11
6.68404478611986e-11,7.169452905761635e-11
6.73090120056491e-11,8.152600836984695e-11
6.85155684392631e-11,6.220912613825886e-11
6.85327560987101e-11,7.21887948766179e-11
6.86015498638865e-11,8.348409948809612e-11
6.8802593031789e-11,5.519061135802011e-11
6.89898034892215e-11,4.883337104103752e-11
6.978166618207641e-11,3.8676276402227066e-11
6.978166618207641e-11,3.499125500629857e-11
7.01426599666249e-11,4.4357899719799946e-11
7.12317799660865e-11,4.381944391344333e-11
7.21609054572654e-11,3.6983259849921945e-11
7.2657334491e-11,3.3707385544559436e-11
7.35466144345473e-11,3.942349726039015e-11
7.444677860366571e-11,3.446580543924776e-11
7.4681897994559e-11,3.180459611349868e-11
7.530442426595732e-11,3.961695461279428e-11
7.593667457642141e-11,2.9893069713456585e-11
7.675584606798801e-11,3.403901219695287e-11
7.7594666324125e-11,3.814638343762319e-11
7.84437466514846e-11,3.123750690752603e-11
7.964320752150291e-11,3.070687175776535e-11
7.991176640859151e-11,3.663407767531679e-11
8.07977730178619e-11,4.261731882725694e-11
8.19739713136429e-11,4.041830670518847e-11
8.21798416428939e-11,3.475705254653309e-11
8.278458570731191e-11,4.346058291663404e-11
8.313673261412352e-11,2.9915736994540815e-11
8.363548359024641e-11,3.357763357987456e-11
8.69511046929255e-11,2.6985743077724463e-11
8.706022120504642e-11,3.226895310882903e-11
8.72451919545199e-11,3.514800562777321e-11
8.99192820150383e-11,3.4861427707737153e-11
9.21643568747088e-11,3.474299412980878e-11
9.246205831936021e-11,4.5138127386203794e-11
9.44545354500959e-11,4.2230745307694233e-11
9.48105799920552e-11,3.415764708809833e-11
9.609889794231411e-11,3.0822591026720376e-11
9.74629099869723e-11,4.1545648883881694e-11
9.77076794064263e-11,3.080953046610457e-11
9.84456821434925e-11,3.419912855375231e-11
9.95631511320834e-11,4.129708204893168e-11
1.010939947587346e-10,3.3503003996969355e-11
1.013351737658266e-10,3.015839678232082e-11
1.0240835261408341e-10,2.791127949071156e-11
1.0338047009495061e-10,3.308322534638277e-11
1.034939784628354e-10,2.2995990102624676e-11
1.036282854045042e-10,2.5848322076198502e-11
1.040307702928268e-10,2.912088429399152e-11
1.0504876641385281e-10,2.043199422817197e-11
1.063614334331461e-10,2.490780949538271e-11
1.0650603878236151e-10,1.839656034674935e-11
1.0705605568547331e-10,2.152070231033196e-11
1.0734414766437641e-10,3.0265955481039157e-11
1.0734414766437641e-10,2.7443252992758785e-11
1.0774877934992811e-10,4.4818680902246136e-11
1.099327155044176e-10,4.6782154455311456e-11
1.1040247453714331e-10,3.497568686042085e-11
1.128143120204877e-10,3.118706459684387e-11
1.1421370179018011e-10,4.4805045400413294e-11
1.1529862379619191e-10,3.4393375793639234e-11
1.179638888406273e-10,3.258803920093913e-11
1.19933934691857e-10,4.563651479873045e-11
1.203213350582375e-10,3.0265955481039157e-11
1.203213350582375e-10,2.7565651546764703e-11
1.203746052307678e-10,3.5571242855781525e-11
1.233774779584513e-10,4.742186558258069e-11
1.23446266709402e-10,3.782707546556199e-11
1.25720419918853e-10,4.856248079915652e-11
1.2635268413948313e-10,3.337898978018185e-11
1.2635268413948313e-10,3.0265955481039157e-11
1.2635268413948313e-10,2.667069130313115e-11
1.268926081685705e-10,3.624329163952815e-11
1.3026805285544322e-10,3.4949755341340255e-11
1.343609065229407e-10,3.5618255128986974e-11
1.3686560317245552e-10,3.249953538254655e-11
1.372906992729634e-10,4.0925085811085094e-11
1.384034008480906e-10,3.60604726441967e-11
1.3958608481857222e-10,4.807865954477436e-11
1.405661559777782e-10,3.3490581869520574e-11
1.411480719606113e-10,4.1664460648331735e-11
1.4272515074698412e-10,3.749389393086315e-11
1.4420883871650082e-10,4.3016545718048096e-11
1.442168770214308e-10,4.676563457161741e-11
1.4486139526644983e-10,5.440730646150296e-11
1.489138989406488e-10,5.5012277457188885e-11
1.4920149566037822e-10,4.437764401406994e-11
1.515515934592602e-10,3.6812218251080136e-11
1.515515934592602e-10,3.221156361514276e-11
