x,y
1.0000000000000003e-21,8.94421630521846e-07
1.0520686710236229e-21,8.502015048859652e-07
1.1068484885494121e-21,8.081676183173456e-07
1.1644806183726859e-21,7.682118833515075e-07
1.2251135766041178e-21,7.302315563585623e-07
1.2889036123908915e-21,6.941289733445309e-07
1.3560151105656321e-21,6.598112988145749e-07
1.4266210152607358e-21,6.271902870524464e-07
1.5009032755797337e-21,5.961820552022361e-07
1.5790533144741728e-21,5.667068675689496e-07
1.6612725220342898e-21,5.386889305832404e-07
1.7477727744646846e-21,5.120561979030685e-07
1.838776980082331e-21,4.867401851511239e-07
1.9345196537440485e-21,4.6267579381159706e-07
2.0352475211835803e-21,4.3980114383349516e-07
2.1412201548157322e-21,4.180574145100271e-07
2.2527106426459828e-21,3.973886932248992e-07
2.3700062920093305e-21,3.777418316765805e-07
2.4934093699518805e-21,3.590663092108268e-07
2.6232378821631243e-21,3.4131410291003397e-07
2.759826392466181e-21,3.2443956410536044e-07
2.903526884977814e-21,3.08399300994081e-07
3.0547096711599682e-21,2.9315206706032657e-07
3.213764344100276e-21,2.78658655012294e-07
3.3811007824806822e-21,2.6488179596318957e-07
3.557150206821383e-21,2.5178606359665844e-07
3.7423662907219775e-21,2.393377830702668e-07
3.937226329963475e-21,2.2750494442278705e-07
4.1422324724838894e-21,2.1625712026261946e-07
4.3579130123970214e-21,2.0556538752569123e-07
4.584823751389106e-21,1.9540225310163653e-07
4.823549431001477e-21,1.857415831370165e-07
5.074705239490476e-21,1.765585358337727e-07
5.338938397147361e-21,1.6782949757012778e-07
5.616929824163817e-21,1.5953202217965887e-07
5.9093958953409775e-21,1.5164477323240906e-07
6.217090286163834e-21,1.4414746916961528e-07
6.54080591499826e-21,1.370208311509709e-07
6.88137698641567e-21,1.3024653348031436e-07
7.239681140910878e-21,1.2380715648226782e-07
7.616641716552894e-21,1.1768614170865032e-07
8.013230128396887e-21,1.1186774935948221e-07
8.430468371788967e-21,1.0633701780909101e-07
8.869431656014705e-21,1.0107972513324217e-07
9.331251175078241e-21,9.608235253836832e-08
9.817117022752186e-21,9.133204959884858e-08
1.0328281259410275e-20,8.681660121296013e-08
1.0866061138545956e-20,8.25243961925184e-08
1.143184250129148e-20,7.844439740544834e-08
1.2027083347685145e-20,7.456611339449864e-08
1.2653317593889405e-20,7.08795713991312e-08
1.3312159025043105e-20,6.737529171119616e-08
1.4005305453932226e-20,6.404426329847214e-08
1.4734543096198376e-20,6.087792063336491e-08
1.5501751173357718e-20,5.786812166720181e-08
1.6308906755493344e-20,5.500712689346932e-08
1.7158089856100064e-20,5.228757944616657e-08
1.8051488792211103e-20,4.970248618209072e-08
1.8991405823619356e-20,4.724519969841595e-08
1.9980263085725508e-20,4.490940123931855e-08
2.1020608831301588e-20,4.268908444769953e-08
2.2115123997254888e-20,4.057853992021903e-08
2.3266629113314582e-20,3.857234052592908e-08
2.4478091570444405e-20,3.66653274507517e-08
2.5752633267711986e-20,3.485259693191682e-08
2.7093538657320487e-20,3.312948764824829e-08
2.850426320853432e-20,3.1491568733873173e-08
2.998844231231025e-20,2.9934628384532103e-08
3.154990064958095e-20,2.845466302719246e-08
3.3192662047331834e-20,2.704786702511577e-08
3.4920959847872786e-20,2.5710622891903647e-08
3.673924781802081e-20,2.4439491989363373e-08
3.865221162631269e-20,2.3231205685267337e-08
4.0664780917818626e-20,2.2082656948273815e-08
4.278214201767622e-20,2.099089235839351e-08
4.5009751296080516e-20,1.995310451245794e-08
4.735334922917121e-20,1.896662480506089e-08
4.981897519205165e-20,1.8028916566409395e-08
5.2412983022060616e-20,1.7137568539438804e-08
5.514205739240302e-20,1.6290288679418668e-08
5.801323103833378e-20,1.5484898260105577e-08
6.10339028802862e-20,1.4719326271287266e-08
6.421185709064758e-20,1.3991604093311641e-08
6.75552831533164e-20,1.3299860434906645e-08
7.107279696773412e-20,1.2642316521273696e-08
7.477346305177581e-20,1.2017281520081783e-08
7.866681790071575e-20,1.1423148193599328e-08
8.276289456246336e-20,1.0858388765785032e-08
8.707224849239904e-20,1.0321550993708632e-08
9.16059847544373e-20,9.81125443320094e-09
9.637578663841108e-20,9.326186889129312e-09
1.0139394576752937e-19,8.86510104117147e-09
1.0667339377348593e-19,8.426811236410496e-09
1.1222773562085094e-19,8.010190440504083e-09
1.1807128466661915e-19,7.614167339587142e-09
1.2421909954526187e-19,7.237723585456644e-09
1.3068702297433474e-19,6.879891176953776e-09
1.3749172258064203e-19,6.539749970810783e-09
1.4465073385216473e-19,6.216425315560889e-09
1.5218250532643873e-19,5.90908580242793e-09
1.6010644613183178e-19,5.6169411274113735e-09
1.6844297600423153e-19,5.339240059070082e-09
1.7721357790803583e-19,5.0752685067782715e-09
1.864408533970485e-19,4.824347684487086e-09
1.9614858085794292e-19,4.585832365269305e-09
2.0636177678638564e-19,4.359109222159514e-09
2.171067602537272e-19,4.143595251022674e-09
2.284112207303821e-19,3.938736271396319e-09
2.4030428944069744e-19,3.7440055014504475e-09
2.5281661443314957e-19,3.5589022034018846e-09
2.659804395593764e-19,3.3829503958986953e-09
2.798296875655121e-19,3.21569763006463e-09
2.94400047510004e-19,3.056713826055444e-09
3.097290667331413e-19,2.905590167136045e-09
3.25856247615323e-19,2.761938048434285e-09
3.4282314937339744e-19,2.6253880776682328e-09
3.606734951574032e-19,2.495589125277404e-09
3.7945328472369427e-19,2.3722074215154686e-09
3.992109129748053e-19,2.2549256981826057e-09
4.1999729467153057e-19,2.143442372790493e-09
4.418659956385941e-19,2.0374707730621134e-09
4.648733708020257e-19,1.9367383997722565e-09
4.890787094139589e-19,1.8409862260331195e-09
5.145443878390925e-19,1.7499680312231245e-09
5.413360302965376e-19,1.6634497678462515e-09
5.695226779712819e-19,1.5812089596938066e-09
5.991769669310612e-19,1.503034129761026e-09
6.303753153071295e-19,1.4287242564473895e-09
6.631981202212662e-19,1.3580882566423894e-09
6.977299649665552e-19,1.2909444943674192e-09
7.340598369757198e-19,1.2271203137105127e-09
7.722813571388658e-19,1.1664515948525292e-09
8.124930210614064e-19,1.1087823320436035e-09
8.547984528840423e-19,1.0539642324441894e-09
8.993066723187632e-19,1.0018563347995247e-09
9.46132375589078e-19,9.523246469666916e-10
9.953962309984243e-19,9.052418013623843e-10
1.0472251898884353e-18,8.604867274452391e-10
1.101752813788387e-18,8.179443403906732e-10
1.1591196185988855e-18,7.775052451575524e-10
1.2194734366967384e-18,7.390654551858293e-10
1.2829697978941477e-18,7.025261250017121e-10
1.3497723302339414e-18,6.677932960427999e-10
1.4200531816536816e-18,6.347776550496537e-10
1.4939934636052558e-18,6.033943044024112e-10
1.571783717773161e-18,5.735625438119592e-10
1.6536244070941854e-18,5.45205662804278e-10
1.739726432343799e-18,5.182507434643549e-10
1.8303116756206166e-18,4.926284729323763e-10
1.9256135721291944e-18,4.682729651701476e-10
2.025877711735021e-18,4.451215915393106e-10
2.1313624718414416e-18,4.2311481975582044e-10
2.2423396832198493e-18,4.0219606080643037e-10
2.3590953305086384e-18,3.823115234336688e-10
2.4819302891862577e-18,3.6341007581503487e-10
2.6111611009174624e-18,3.454431140807689e-10
2.7471207892708144e-18,3.2836443733209687e-10
2.8901597179095115e-18,3.1213012883856247e-10
3.0406464934670683e-18,2.9669844310894525e-10
3.1989689154345376e-18,2.8202969854538533e-10
3.3655349755070943e-18,2.6808617540468144e-10
3.54077390896527e-18,2.548320188043741e-10
3.72513730080021e-18,2.4223314652419474e-10
3.919100249433401e-18,2.3025716136580248e-10
4.123162591029748e-18,2.1887326784545326e-10
4.337850187559002e-18,2.0805219300537415e-10
4.563716281924753e-18,1.9776611114021354e-10
4.8013429236534644e-18,1.8798857224500727e-10
5.051342468816756e-18,1.7869443400068358e-10
5.314359158053253e-18,1.6985979712217574e-10
5.591070776755305e-18,1.6146194390294394e-10
5.882190401699968e-18,1.534792797978322e-10
6.188468238624396e-18,1.4589127789407135e-10
6.510693555481468e-18,1.3867842612762755e-10
6.849696716357453e-18,1.318221771091725e-10
7.20635132129306e-18,1.2530490043065303e-10
7.581576457522117e-18,1.1910983732981756e-10
7.976339067929282e-18,1.1322105759612435e-10
8.391656442830161e-18,1.0762341860722022e-10
8.82859884149515e-18,1.0230252639065124e-10
9.288292250172497e-18,9.724469861067772e-11
9.771921283717997e-18,9.243692938501775e-11
1.0280732238308648e-17,8.78668558410495e-11
1.0816036303107117e-17,8.352272632547151e-11
1.1379212939153163e-17,7.939337018567307e-11
1.197171343418968e-17,7.546816904511244e-11
1.2595064642583588e-17,7.17370294988364e-11
1.3250872919979538e-17,6.819035715893238e-11
1.3940828262825784e-17,6.481903198317131e-11
1.4666708663439683e-17,6.16143848233976e-11
1.5430384691835648e-17,5.856817513336728e-11
1.6233824316122783e-17,5.5672569778708194e-11
1.7079097973894304e-17,5.292012289451258e-11
1.7968383907677232e-17,5.030375673876985e-11
1.890397377819224e-17,4.781674349240264e-11
1.9888278569888122e-17,4.5452687959108775e-11
2.0923834803969793e-17,4.320551112052119e-11
2.2013311074930325e-17,4.106943450439868e-11
2.3159514927431546e-17,3.9038965325651855e-11
2.4365400091254657e-17,3.710888236199628e-11
2.563407409296515e-17,3.527422252791187e-11
2.6968806263906927e-17,3.3530268112383924e-11
2.837303616516218e-17,3.187253464760913e-11
2.985038245118736e-17,3.029675937747291e-11
3.140465219496756e-17,2.879889029614228e-11
3.303985069871862e-17,2.7375075728591567e-11
3.476019181541981e-17,2.602165442626485e-11
3.657010880777493e-17,2.4735146152407985e-11
3.847426577258506e-17,2.3512242732861566e-11
4.0477569659973217e-17,2.2349799549301796e-11
4.258518291843415e-17,2.124482745305424e-11
4.4802536798294895e-17,2.01944850786882e-11
4.7135345347869177e-17,1.91960715376264e-11
4.958962013837222e-17,1.824701947298212e-11
5.217168575554354e-17,1.7344888457764028e-11
5.488819609789677e-17,1.6487358719473634e-11
5.774615152359827e-17,1.567222517495774e-11
6.075291689016078e-17,1.4897391760177562e-11
6.391624053344006e-17,1.4160866040313558e-11
6.72442742348425e-17,1.3460754086345951e-11
7.07455942281988e-17,1.2795255604936656e-11
7.442922330043759e-17,1.216265930908966e-11
7.8304654043012e-17,1.1561338517685492e-11
8.238187331399619e-17,1.0989746972574092e-11
8.667138797389244e-17,1.044641486247046e-11
9.11842519614658e-17,9.92994504342834e-12
9.59320947793825e-17,9.439009446173571e-12
1.0092715146305718e-16,8.972345661058528e-12
1.0618229410993847e-16,8.52875369185596e-12
1.1171106505048244e-16,8.107092870044987e-12
1.1752771174629453e-16,7.706278921654667e-12
1.236472235053715e-16,7.325281179122529e-12
1.3008537010905734e-16,6.963119930998439e-12
1.3685874245025206e-16,6.618863902678989e-12
1.4398479528760099e-16,6.291627861694052e-12
1.5148189222583475e-16,5.980570341387867e-12
1.5936935303817763e-16,5.684891477141153e-12
1.676675034527701e-16,5.40383094956999e-12
1.7639772753140456e-16,5.136666029412988e-12
1.8558252277555191e-16,4.8827097190790175e-12
1.952455581016861e-16,4.64130898607658e-12
2.0541173483530648e-16,4.411843083782264e-12
2.1610725088083812e-16,4.19372195523036e-12
2.2735966823277203e-16,3.98638471581895e-12
2.3919798400202424e-16,3.789298211030784e-12
2.5165270514053943e-16,3.6019556454604106e-12
2.6475592705670694e-16,3.423875279621988e-12
2.785414163241769e-16,3.254599191186887e-12
2.9304469769721445e-16,3.093692097465593e-12
3.0830314565682775e-16,2.9407402361059313e-12
3.243560807235812e-16,2.79535030112949e-12
3.4124487078528895e-16,2.6571484315703507e-12
3.5901303770070765e-16,2.5257792501154266e-12
3.777063694539372e-16,2.40090494927428e-12
3.9737303814856133e-16,2.282204422728681e-12
4.1806372414557623e-16,2.1693724396281114e-12
4.3983174666502295e-16,2.0621188597080795e-12
4.627332011878694e-16,1.96016788721291e-12
4.868271040122284e-16,1.8632573617044857e-12
5.121755443364242e-16,1.771138083933352e-12
5.388438442608225e-16,1.6835731750387219e-12
5.669007271207446e-16,1.6003374674295705e-12
5.964184945842472e-16,1.5212169257804828e-12
6.274732129711589e-16,1.4460080966534485e-12
6.601449092734898e-16,1.3745175853302716e-12
6.945177773823705e-16,1.3065615585103764e-12
7.306803950529507e-16,1.2419652715951817e-12
7.687259521663736e-16,1.1805626193434725e-12
8.087524908770458e-16,1.1221957087423345e-12
8.508631582640581e-16,1.0667144529953288e-12
8.951664721378302e-16,1.0139761855838558e-12
9.41776600686954e-16,9.638452934092645e-13
9.90813656685869e-16,9.161928680724098e-13
1.0424040070215578e-15,8.664774963948242e-13
1.0966805983368696e-15,8.185340251496754e-13
1.1537832996296621e-15,7.732433365152644e-13
1.2138592626906287e-15,7.304586481373565e-13
1.2770633013086446e-15,6.900412993447391e-13
1.343558290220826e-15,6.518603017645928e-13
1.4135155848353958e-15,6.157919148029722e-13
1.4871154628089538e-15,5.817192446145469e-13
1.564547588616099e-15,5.495318652619747e-13
1.6460115023085531e-15,5.191254608370442e-13
1.7317171337233566e-15,4.904014873838151e-13
1.821885343465169e-15,4.63266853528013e-13
1.916748492056817e-15,4.376336187777013e-13
2.0165510387247486e-15,4.134187085173909e-13
2.1215501713624526e-15,3.905436447719618e-13
2.2320164692952346e-15,3.6893429186781174e-13
2.3482346005542764e-15,3.4852061616693105e-13
2.4705040554568253e-15,3.2923645909526613e-13
2.5991399183829388e-15,3.1129192012155237e-13
2.734473679737585e-15,2.946261669901623e-13
2.876854090190597e-15,2.788526545803687e-13
3.0266480593956954e-15,2.639236146635775e-13
3.184241601504656e-15,2.497938363968952e-13
3.3500408299131363e-15,2.364205294074046e-13
3.524473003801588e-15,2.2345402006053613e-13
3.707987629168172e-15,2.092858754991737e-13
3.901057617190993e-15,1.9601606483333606e-13
4.1041805029047084e-15,1.8358762903184137e-13
4.317879727332032e-15,1.7194722056169437e-13
4.542705986374053e-15,1.604769881134847e-13
4.779238649935605e-15,1.4954647635808497e-13
5.0280872549424855e-15,1.393604706445761e-13
5.2898930760981566e-15,1.2986826069892737e-13
5.565330778427653e-15,4.2704242839611734e-13
5.855110155867244e-15,3.4137280669300424e-12
6.159977960380169e-15,1.0159269107042407e-11
6.4807198263119705e-15,1.9304357169681988e-11
6.818162294944479e-15,3.883926287798641e-11
7.173174944465628e-15,1.0650600036848798e-10
7.546672630843902e-15,2.5961181128354923e-10
7.939617845382292e-15,4.5008006011006757e-10
8.353023195026788e-15,7.802883062490278e-10
8.787954011821327e-15,1.504586008557421e-09
9.245531098233581e-15,3.943490848420424e-09
9.72693361542618e-15,8.064108025039273e-09
1.0233402121916425e-14,7.286061993637122e-09
1.0766241770454932e-14,6.58308385878363e-09
1.1326825671361537e-14,5.9479308753649575e-09
1.1916598430985612e-14,5.374059097077407e-09
1.2537079874409226e-14,4.8555559545080405e-09
1.3189868961986718e-14,4.387079338256653e-09
1.3876647909813099e-14,3.9638025594761256e-09
1.4599186524739802e-14,3.581364620762244e-09
1.5359346765108986e-14,3.235825285037068e-09
1.615908753895919e-14,2.923624479502651e-09
1.700046975206718e-14,2.6415456164065506e-09
1.788566161883462e-14,2.3866824527148848e-09
1.88169442497056e-14,2.1564091472499662e-09
1.9796717529513368e-14,1.9483532067928738e-09
2.0827506301905186e-14,1.7603710424161183e-09
2.191196687578152e-14,1.5905258842046547e-09
2.3052893870517106e-14,1.4370678268218235e-09
2.4253227417603558e-14,1.2984158003307735e-09
2.5516060737271867e-14,1.1731412805177475e-09
2.684464810961965e-14,1.0599535708855434e-09
2.824241326078436e-14,9.576865046784264e-10
2.9712958185773346e-14,8.652864299300705e-10
3.12600724306871e-14,7.913193098242945e-10
3.288774285825517e-14,7.237515521685689e-10
3.460016392185116e-14,6.589037673836585e-10
3.640174847446145e-14,5.984329026594039e-10
3.8297139140462846e-14,5.469213458152313e-10
4.0291220279513524e-14,5.008897383443687e-10
4.2389130573387836e-14,4.5996696016891774e-10
4.4596276268190956e-14,4.2525739941004536e-10
4.6918345106078e-14,3.9469756853381396e-10
4.936132098237917e-14,3.647685259907007e-10
5.193149936590224e-14,3.416615867405095e-10
5.463550352214887e-14,3.23055156114569e-10
5.748030158125363e-14,3.0832433032377315e-10
6.047322449462656e-14,3.0496094092912757e-10
6.362198492657496e-14,3.0449574249956856e-10
6.693469712958668e-14,3.0449574249956856e-10
7.041989785449296e-14,3.046483080982317e-10
7.408656834939566e-14,3.1048640285591155e-10
7.79441575040495e-14,3.320943414515178e-10
8.200260619934132e-14,3.764644855114769e-10
8.627237292461469e-14,4.651192298524471e-10
9.076446072885377e-14,6.651933753531622e-10
9.549044557518096e-14,6.244455201253106e-10
1.0046250617173405e-13,3.8791629978340565e-10
1.0569345535579871e-13,3.1406941614430885e-10
1.1119677311207024e-13,3.0459531758503467e-10
1.1698664131013104e-13,3.0584107399253417e-10
1.2307798025066683e-13,3.216865392366401e-10
1.2948648711459076e-13,3.9230150750260316e-10
1.3622867641416495e-13,3.3276081538569e-10
1.433219225503577e-13,3.1402726417556647e-10
1.5078450458610541e-13,3.133390269254051e-10
1.586356533508593e-13,3.1577143806286247e-10
1.6689560099780265e-13,3.144427541774297e-10
1.7558563314144706e-13,3.148226659451732e-10
1.847281437099636e-13,3.11410838362045e-10
1.9434669265360227e-13,3.2744161691804967e-10
2.0446606665791179e-13,3.270183374287751e-10
2.1511234301821672e-13,3.267996674635045e-10
2.2631295683995298e-13,3.1672545250483173e-10
2.3809677173803584e-13,3.162360990009134e-10
2.504941542174503e-13,3.170463791906799e-10
2.635370519267393e-13,3.2001703415345796e-10
2.772590759860481e-13,3.333836214042625e-10
2.916955876018805e-13,4.74430412403362e-10
3.068837891917652e-13,3.285573307824428e-10
3.22862820253674e-13,3.0868344163555846e-10
3.396738582272216e-13,2.9031227744283754e-10
3.573602246065796e-13,2.882282232806241e-10
3.7596749657854757e-13,3.4180852080276276e-10
3.95543624473471e-13,8.354182642474839e-10
4.1613905533167154e-13,3.529766108741776e-10
4.3780686290381755e-13,2.9505421922064285e-10
4.606028844202408e-13,2.9472936013153936e-10
4.845858644816501e-13,2.8426333008539637e-10
5.09817606442043e-13,2.546257982170401e-10
5.363631316739247e-13,3.088404495013961e-10
5.642908471262542e-13,2.1514393067254755e-09
5.936727216069127e-13,2.382203220322715e-09
6.245844712439619e-13,2.2104200528966834e-09
6.57105754603627e-13,1.98406834569502e-09
6.913203779678128e-13,2.2862138473808766e-09
7.273165113001455e-13,2.465811075822604e-09
7.651869154570818e-13,2.465811075822604e-09
8.050291812296006e-13,2.423361869855341e-09
8.46945980831461e-13,2.0303386241305333e-09
8.910453324821539e-13,2.3542864143224204e-09
9.374408787663022e-13,2.3542864143224204e-09
9.862521794868805e-13,2.2287516253757934e-09
1.037605019766914e-12,2.266494238202188e-09
1.0916317341936168e-12,2.3004301197729213e-09
1.1484715478402915e-12,2.290443008753347e-09
1.2082709350447785e-12,2.2656819641024565e-09
1.27118399686903e-12,2.2168353273960508e-09
1.3373728582124977e-12,2.1062946069966278e-09
1.4070080856026864e-12,2.0936078326434457e-09
1.48026912673951e-12,2.193442384100177e-09
1.5573447729261353e-12,2.073486693097052e-09
1.6384336455779847e-12,2.1216223700618896e-09
1.72374470806362e-12,2.108339441283631e-09
1.8134978041964953e-12,2.142355939060788e-09
1.907924224765265e-12,2.057147056024488e-09
2.0072673035625686e-12,2.0904272636218177e-09
2.1117830444482423e-12,2.0713043424061075e-09
2.2217407810628924e-12,2.1181695762705455e-09
2.337423870891822e-12,2.1102453530256447e-09
2.459130425468052e-12,2.1023507748642726e-09
2.5871740785959287e-12,2.0944857308820687e-09
2.721884794575185e-12,2.0866501105895663e-09
2.8636097185081218e-12,2.078843803910645e-09
3.0127140708811704e-12,2.07267935521235e-09
3.169582088726122e-12,2.071664788895899e-09
3.3346180157863694e-12,2.070650719204652e-09
3.5082471442397962e-12,2.0696371458955164e-09
3.690916910662781e-12,2.0686240687255128e-09
3.883098049059609e-12,2.0676114874517765e-09
4.085285803928565e-12,2.066599401831586e-09
4.2980012064907986e-12,2.0655878116223118e-09
4.5217924173707024e-12,2.0645767165814534e-09
4.757236139187889e-12,2.0635661164666283e-09
5.004939102700954e-12,2.0625560110355637e-09
5.2655396303327554e-12,2.0615464000461317e-09
5.539709281106401e-12,2.0605372832562964e-09
5.82815458123084e-12,2.0595286604241506e-09
6.131618844795794e-12,2.0585205313079038e-09
6.450884089267713e-12,2.0575128956658767e-09
6.786773050723316e-12,2.0565057532565318e-09
7.140151304013418e-12,2.0554991038384265e-09
7.511929493320983e-12,2.0544929471702446e-09
7.903065678861364e-12,2.053487283010786e-09
8.314567805772081e-12,2.0524821111189632e-09
8.747496301554433e-12,2.0514774312538288e-09
9.202966808760429e-12,2.050473243174531e-09
9.682153059967096e-12,2.0494695466403425e-09
1.0186289902446884e-11,2.049074689815854e-09
1.0716676480328645e-11,2.049074689815854e-09
1.1274679582449472e-11,2.049074689815854e-09
1.1861737164524793e-11,2.049074689815854e-09
1.2479362054713112e-11,2.049074689815854e-09
1.3129145852124653e-11,2.049074689815854e-09
1.3812763028320098e-11,2.049074689815854e-09
1.4531975242368954e-11,2.049074689815854e-09
1.5288635880587296e-11,2.049074689815854e-09
1.6084694832653617e-11,2.049074689815854e-09
1.6922203516410427e-11,2.049074689815854e-09
1.7803320164301192e-11,2.049074689815854e-09
1.8730315385064428e-11,2.049074689815854e-09
1.9705578015018045e-11,2.049074689815854e-09
2.0731621274012358e-11,2.049074689815854e-09
2.1811089241915244e-11,2.049074689815854e-09
2.2946763672319407e-11,2.049074689815854e-09
2.4141571161030228e-11,2.049074689815854e-09
2.539859068780729e-11,2.049074689815854e-09
2.6721061550794377e-11,2.049074689815854e-09
2.811239171408467e-11,2.049074689815854e-09
2.9576166589932566e-11,2.049074689815854e-09
3.111615827824363e-11,2.049074689815854e-09
