x,y
1.1182623143008118e-09,1.0
1.1182623143008118e-09,5.7796928841533255e-09
1.1371696040754856e-09,5.99484250318941e-08
1.1435428088501086e-09,2.2346337269165923e-08
1.1628775346833692e-09,3.4648348557303665e-08
1.1759486273695522e-09,1.861406687355125e-09
1.1958312623948666e-09,4.314402261443776e-09
1.2366107276689884e-09,1.389495494373136e-09
1.2787808279267725e-09,1.037225095407057e-08
1.3076901556727952e-09,8.329806647658273e-10
1.3372530349989444e-09,1.3894954943731362e-08
1.344747596405607e-09,1.339627724518014e-09
1.3598629631986589e-09,6.218001087320915e-08
1.3598629631986589e-09,4.01027913949522e-10
1.4141173049727712e-09,1.037225095407057e-09
1.4141173049727712e-09,7.742636826811278e-09
1.4623406198710485e-09,7.196856730011529e-10
1.478777767559441e-09,6.449466771037633e-09
1.5037805593069874e-09,7.464760408417128e-10
1.5122084151045852e-09,2.6826957952797275e-09
1.5377764435880993e-09,3.2205979187210827e-10
1.5463948274575358e-09,2.154434690031886e-09
1.6080912158121792e-09,6.938567878737196e-11
1.6352804058730817e-09,2.317818180600894e-09
1.6629293037222604e-09,1.79460244029732e-10
1.738966685946135e-09,7.196856730011528e-09
1.738966685946135e-09,1.037225095407057e-08
1.738966685946135e-09,1.4412195967188521e-08
1.7683686845820693e-09,3.464834855730366e-10
1.7982678046009332e-09,1e-09
1.7982678046009332e-09,1.6681005372000554e-09
1.8083460980386564e-09,1.2005080577484067e-08
1.8083460980386564e-09,2.154434690031886e-09
1.828672451202403e-09,9.6411088049075e-09
1.880493534878981e-09,2.0025681360431208e-09
1.9016308468977084e-09,8.639884494839691e-09
1.9122884328458227e-09,1.4412195967188516e-09
1.923005748650774e-09,8.96150501946605e-10
1.9555194321247975e-09,1.0758358985421786e-09
1.9555194321247975e-09,1e-08
1.988582848543607e-09,6.689548786914153e-09
2.0222052926495506e-09,5.372281118324042e-10
2.044935487379736e-09,1.7946024402973164e-08
2.0679211763242587e-09,1.9306977288832496e-08
2.1146705564633253e-09,1.0758358985421786e-09
2.1990393952470112e-09,6.938567878737194e-10
2.2867742907131213e-09,1.4948691337092312e-09
2.338471271155489e-09,2.4935920049841607e-09
2.3647563904544624e-09,4.159562163071843e-09
2.4047390794434863e-09,5.572264795507185e-09
2.4047390794434863e-09,1.441219596718852e-07
2.4317690688069412e-09,2.7825594022071253e-09
2.4591028833675804e-09,1.2005080577484067e-08
2.5006807584394404e-09,4.814372420784339e-09
2.5146956868128115e-09,1.6082338776670387e-09
2.5572135106164524e-09,3.5938136638046253e-09
2.5715452737036653e-09,4.475006297250444e-08
2.5715452737036653e-09,8.030857221391505e-08
2.6004502147802407e-09,1.389495494373136e-09
2.629680056074277e-09,1.550515779832622e-09
2.6592384495617857e-09,2.4935920049841607e-09
2.6891290882680766e-09,5.179474679231223e-09
2.7193557067291787e-09,3.5938136638046254e-07
2.7653338691782023e-09,1.2915496650148824e-09
2.8120894184975628e-09,1.9306977288832494e-07
2.8436981479937643e-09,2.8861404414300902e-09
2.8917786602566137e-09,3.5938136638046253e-09
2.8917786602566137e-09,1.245197084735032e-07
2.957152941159658e-09,2.9935772947204903e-09
2.957152941159658e-09,1.8614066873551213e-07
3.024005134830484e-09,1.389495494373136e-09
3.0751342309586063e-09,5.572264795507185e-09
3.0751342309586063e-09,3.5938136638046266e-08
3.0751342309586063e-09,1.0
