x,y
0.009983954,1.57386E-06
0.010003148,1.46917E-06
0.010014361,1.37124E-06
0.010051995,1.31806E-06
0.010241283,1.28689E-06
0.010444889,1.25966E-06
0.010661072,1.22734E-06
0.010895671,1.2171E-06
0.011111523,1.20052E-06
0.011263768,1.14923E-06
0.011461806,1.16262E-06
0.01162069,1.12459E-06
0.011856443,1.11002E-06
0.012040014,1.08412E-06
0.012297082,1.06607E-06
0.012559638,1.04119E-06
0.0128278,1.03005E-06
0.013101688,1.00892E-06
0.013381423,9.86E-07
0.013667131,9.70E-07
0.013958939,9.48E-07
0.014256978,9.31E-07
0.01456138,9.19E-07
0.014872282,9.07E-07
0.015189822,8.90E-07
0.015502685,8.73E-07
0.015845385,8.60E-07
0.016183701,8.41E-07
0.016529241,8.30E-07
0.016854743,8.26E-07
0.017067719,7.99E-07
0.017294363,8.07E-07
0.017509575,7.80E-07
0.017986769,7.77E-07
0.018370807,7.69E-07
0.018763044,7.59E-07
0.019163655,7.47E-07
0.019572821,7.37E-07
0.019990722,7.24E-07
0.020417546,7.14E-07
0.020856821,7.02E-07
0.021298728,6.89E-07
0.021753479,6.74E-07
0.02221794,6.69E-07
0.022692317,6.63E-07
0.023176823,6.53E-07
0.023671674,6.47E-07
0.024187808,6.35E-07
0.024693298,6.27E-07
0.025220527,6.23E-07
0.025759013,6.13E-07
0.026308996,6.09E-07
0.026870722,5.99E-07
0.027444442,5.91E-07
0.028030411,5.83E-07
0.028628891,5.74E-07
0.02924015,5.61E-07
0.029864459,5.61E-07
0.030502098,5.56E-07
0.031153352,5.50E-07
0.03181851,5.43E-07
0.03249787,5.41E-07
0.033191736,5.32E-07
0.033900416,5.22E-07
0.034665814,5.25E-07
0.035025497,5.03E-07
0.035842108,5.10E-07
0.036607376,4.97E-07
0.037317238,4.93E-07
0.038260698,4.91E-07
0.03930343,4.83E-07
0.040142602,4.79E-07
0.040999691,4.74E-07
0.041875079,4.70E-07
0.042769158,4.66E-07
0.043682327,4.65E-07
0.044614993,4.59E-07
0.045567572,4.58E-07
0.04654049,4.52E-07
0.047534181,4.45E-07
0.048549088,4.42E-07
0.049585665,4.36E-07
0.050553672,4.26E-07
0.051725686,4.26E-07
0.052830087,4.22E-07
0.053958067,4.20E-07
0.055110132,4.20E-07
0.056286794,4.16E-07
0.057488579,4.14E-07
0.058716023,4.10E-07
0.059969675,4.06E-07
0.061250094,4.05E-07
0.062557851,4.03E-07
0.06389353,4.02E-07
0.065257727,3.99E-07
0.066651052,3.96E-07
0.068074125,3.96E-07
0.069527583,3.93E-07
0.071012073,3.91E-07
0.072528259,3.92E-07
0.074076817,3.93E-07
0.075658439,3.90E-07
0.07727383,3.91E-07
0.078923712,3.91E-07
0.08060882,3.89E-07
0.082329907,3.91E-07
0.084087741,3.92E-07
0.085883107,3.92E-07
0.087716806,3.92E-07
0.089589657,3.95E-07
0.091502495,3.97E-07
0.093456174,3.99E-07
0.095451566,4.01E-07
0.097489562,4.03E-07
0.099571072,4.07E-07
0.101697024,4.12E-07
0.103868368,4.16E-07
0.106133101,4.17E-07
0.108351126,4.26E-07
0.110629125,4.31E-07
0.112943891,4.36E-07
0.115440611,4.43E-07
0.117905395,4.46E-07
0.120422805,4.50E-07
0.122993965,4.51E-07
0.125620021,4.52E-07
0.128302147,4.51E-07
0.13104154,4.43E-07
0.133839421,4.41E-07
0.13669704,4.34E-07
