x,y
0.001277393,0.012134059
0.001326849,3.32E-06
0.001555284,3.25E-06
0.001816762,3.24E-06
0.002129542,3.25E-06
0.00249617,3.31E-06
0.002925919,3.38E-06
0.003417831,3.49E-06
0.004006256,3.60E-06
0.004695985,3.73E-06
0.005504461,3.87E-06
0.006452127,4.05E-06
0.007510891,4.26E-06
0.00880399,4.50E-06
0.010319713,4.75E-06
0.012013131,5.07E-06
0.01408135,5.41E-06
0.016392035,5.82E-06
0.019147903,6.28E-06
0.022289986,6.82E-06
0.025947671,7.46E-06
0.030205566,8.20E-06
0.035162162,9.06E-06
0.040791007,1.01E-05
0.04732093,1.15E-05
0.0543304,1.33E-05
0.061948821,1.60E-05
0.06918704,2.01E-05
0.074906376,2.67E-05
0.077004607,3.64E-05
0.073878798,4.97E-05
0.068473973,6.59E-05
0.061522442,8.44E-05
0.055086079,0.000105624
0.048983598,0.000130273
0.04325736,0.000159322
0.037937601,0.000193892
0.033502653,0.000233977
0.02928123,0.000279725
0.025591717,0.000332902
0.022444466,0.000397229
0.019684262,0.000473986
0.017144685,0.000558847
0.014932753,0.000659366
0.013096334,0.000777965
0.011406702,0.000915959
0.00993506,0.001073131
0.008653282,0.001267045
0.007562945,0.001490743
0.006609994,0.001756406
0.005717576,0.002047679
0.00497992,0.002393985
0.004337432,0.002790991
0.003777836,0.003256125
0.003279093,0.003736341
0.002865918,0.004444358
0.00249617,0.005195995
0.002174125,0.006057671
0.001893629,0.007112125
0.001660752,0.008438752
0.001456514,0.010095097
0.001277393,0.012134059
