x,y
1.4890085662874278e-22,9.9108054142e-06
2.078533408421847e-22,7.851301122145353e-08
2.7792347649241173e-22,4.5864704443915924e-08
3.7563526296605265e-22,3.9739444305667534e-08
4.915738648921746e-22,3.9033697192086826e-08
6.502556166530138e-22,4.1189449936288846e-08
9.274483216258702e-22,4.5864704443915924e-08
1.078227192483293e-21,4.9272772939479474e-08
1.3959176968365666e-21,5.894242717251106e-08
1.6581589837441666e-21,6.742078026301719e-08
1.9277323210841334e-21,8.359474711699483e-08
2.1934184656456536e-21,1.0180804577672409e-07
2.390587657316083e-21,1.164522435296125e-07
2.662156880863386e-21,1.356112502308018e-07
3.196486666459636e-21,2.1416046424098897e-07
3.540506699878568e-21,3.176475611903656e-07
4.3436064293145514e-21,7.374019473296422e-07
4.7340587675328e-21,1.1135061166e-06
5.022669241382637e-21,1.6814382932e-06
5.474163404426364e-21,2.878352432e-06
5.902391838749424e-21,5.0163647229e-06
6.50255616653011e-21,9.734795849e-06
6.50255616653011e-21,1.0
