x,y
4.081898994621749e-08,1.0
4.081898994621749e-08,6.241793454090093e-15
4.31723535053389e-08,5.865821619898867e-15
4.481616648623467e-08,5.142522257769649e-15
4.652256862191966e-08,4.460519799055606e-15
4.829394303160681e-08,3.9105045864420826e-15
5.013276357318742e-08,3.4283103336571333e-15
5.204159829815999e-08,2.973647045956948e-15
5.4023113038108085e-08,2.6069742845075168e-15
5.6080075127734683e-08,2.293665528864564e-15
5.931329587553596e-08,2.0109547898353344e-15
6.273292358481509e-08,1.7381629045493185e-15
6.512151687995497e-08,1.556732093363478e-15
6.802339734235455e-08,1.3672329309320857e-15
7.149850464633178e-08,1.2029634843983777e-15
7.562065405737916e-08,1.0641177673328108e-15
8.088213264548637e-08,9.18489919940762e-16
8.40664174899306e-08,8.877365850492408e-16
9.05900503198324e-08,9.399827393431637e-16
9.761992317482468e-08,8.897259406584544e-16
1.0389311363005033e-07,1.0070780946867545e-15
1.1056942792729193e-07,1.1059333175915913e-15
1.18409948765692e-07,1.2374270222880566e-15
1.252367139264609e-07,1.3697951323985621e-15
1.308173881909788e-07,1.5712133849950033e-15
1.3579833788158616e-07,1.7862465131432577e-15
1.4096894018767107e-07,2.059831365601453e-15
1.5867744748799605e-07,2.5017676888165545e-15
1.6992932657370378e-07,2.427711872130691e-15
1.7972637165765872e-07,2.1590038185243717e-15
1.889080422484625e-07,1.810473528675269e-15
2.02303584484282e-07,1.6750422963571919e-15
2.1664900979366379e-07,1.497142218545727e-15
2.3201167475221773e-07,1.4368802728582542e-15
2.4824274521924983e-07,1.3042798564711796e-15
2.6443033191091387e-07,1.51144933150727e-15
2.8388754081495883e-07,1.3835424011353205e-15
2.939634806987578e-07,1.2996581088733558e-15
2.9764804963538407e-07,1.503945913293961e-15
3.0013005043807173e-07,1.7527573954822947e-15
3.1480854464955294e-07,1.9962497125030297e-15
3.3713174013587045e-07,1.6920631339427498e-15
3.383337009336709e-07,1.845815019918833e-15
3.587962891909487e-07,1.8965833177361537e-15
3.6784703768583765e-07,1.6217375569783084e-15
3.8423867263162384e-07,1.421159910829631e-15
3.8663921769082625e-07,1.2687384568249765e-15
3.996977133447251e-07,1.7050431457715502e-15
4.166427835518026e-07,1.994413598147173e-15
4.2982138011811414e-07,2.1686426769252324e-15
4.4479979621949007e-07,1.876838420364859e-15
4.546021494177468e-07,2.448088368419076e-15
