x,y
2.116933190450021e-09,1.0
2.116933190450021e-09,1.5333392964498957e-11
2.189592335290929e-09,1.1871855799245048e-11
2.266318863859936e-09,9.784026128283884e-12
2.3676251819965345e-09,8.166120045467333e-12
2.5467310782051783e-09,6.765897424581517e-12
2.871912898957256e-09,5.573190101639561e-12
3.219247522473828e-09,4.931940335281921e-12
3.911203413309566e-09,5.345660244768187e-12
4.352000843510285e-09,6.609284950941162e-12
4.631308550925872e-09,8.227059297820713e-12
4.657017529062063e-09,9.743194353643045e-12
4.79012264901392e-09,1.301182374398328e-11
4.79012264901392e-09,1.0
