x,y
5.000000000000001e-13,2.8960520599666864e-09
1.57164643079623e-11,9.213433769895318e-11
1.84125586456582e-11,7.951893022268986e-11
2.1232880473156302e-11,6.889288526156287e-11
2.4485115624596004e-11,5.977408631713191e-11
2.82354451863256e-11,5.190018229262333e-11
3.2560032416491805e-11,4.5162389527782886e-11
3.7547772974714106e-11,3.8956198737048476e-11
4.3299108556719207e-11,3.3750516038158766e-11
4.9931222510932504e-11,2.928323079013516e-11
5.75790744838242e-11,2.542581760366241e-11
6.639914802560172e-11,2.196389282007349e-11
7.656922009006701e-11,1.9084580436261767e-11
8.829699837324061e-11,1.6582725722248592e-11
1.0182142819514391e-10,1.4387803253292348e-11
1.174178046668905e-10,1.2465173712965496e-11
1.354031376025188e-10,1.079946347326166e-11
1.5614335257433452e-10,9.35634063318373e-12
1.8005820862365571e-10,8.147632233783407e-12
2.0763804594198242e-10,7.064031488180291e-12
2.413461572391278e-10,6.071001092368833e-12
2.8275501193581213e-10,5.18671268434699e-12
3.286564522412292e-10,4.464433313343283e-12
3.7899668130613166e-10,3.873512064644883e-12
4.370490483566545e-10,3.3558980419069404e-12
5.039917450748771e-10,2.9117047205505407e-12
5.811870162511039e-10,2.52815250035119e-12
6.702072905469922e-10,2.1935212207344946e-12
7.728668564741315e-10,1.899014675465584e-12
8.912513878336031e-10,1.644049167860848e-12
1.0277569164434297e-09,1.4306151855715565e-12
1.1851802784493243e-09,1.2403493957966259e-12
1.3667116505038817e-09,1.076960999568465e-12
1.5760616299874629e-09,9.316849774669306e-13
1.8174666075344644e-09,8.083653058228734e-13
2.0958401548314574e-09,7.023942807970937e-13
2.397818717017669e-09,6.122209973411109e-13
3.0648796662982003e-09,4.779693034483416e-13
3.534351405287632e-09,4.13493914720765e-13
4.043637475376235e-09,3.5893119398192813e-13
4.589895457033668e-09,3.1205621679456333e-13
5.210102461275806e-09,2.67977885674504e-13
5.867730149156486e-09,2.2778902716705414e-13
6.5044381433711025e-09,1.9806325212663642e-13
7.153576955513358e-09,1.715457657443101e-13
7.562881875446495e-09,1.4830261127381314e-13
8.004664604575952e-09,1.2799788324584618e-13
8.63331266267587e-09,1.0929569410628533e-13
9.140089567346005e-09,9.403484058267941e-14
9.804502150571832e-09,7.717120421070771e-14
1.0475884947465187e-08,6.498778920358976e-14
1.1232525373754417e-08,5.4887748169497205e-14
1.1990710633682728e-08,4.6958635604607e-14
1.2799808196262145e-08,4.052141043565834e-14
1.3808433032526951e-08,3.4676619006381733e-14
1.4740512403816034e-08,2.9648253101245473e-14
1.570811642201825e-08,2.5212856847384562e-14
1.67394019834709e-08,2.1353045909309782e-14
1.7718008719843518e-08,1.8094936086696413e-14
1.9043228766415402e-08,1.5533354891980875e-14
2.1708024558017453e-08,1.3828262113393396e-14
2.3952797491363294e-08,1.520392143569993e-14
2.7330274990679202e-08,1.717830981875619e-14
3.251281494561862e-08,1.8112436566226862e-14
3.868361137665012e-08,1.7999765056227838e-14
4.6028579612566164e-08,1.7412936989372374e-14
5.477012831360649e-08,1.6595321993254198e-14
6.517455381308848e-08,1.5544227898023325e-14
7.755724505821573e-08,1.4421088524313923e-14
9.228671429229697e-08,1.3735739194048791e-14
1.0981056350579812e-07,1.3232429770528286e-14
1.3066982328599378e-07,1.2431438242401048e-14
1.5548942692856618e-07,1.1741946825071428e-14
1.8501744252502028e-07,1.1237543723467291e-14
2.201339303702825e-07,1.1147625466453136e-14
2.5815341171098225e-07,1.2273307667419008e-14
2.7879686214622344e-07,1.4955936304705047e-14
2.9737942422565557e-07,1.7790364470970256e-14
3.1220858488946444e-07,2.1748428279952335e-14
3.286450968259314e-07,2.6461004282350702e-14
3.4022356111519533e-07,3.066039054775367e-14
3.557943492240262e-07,3.5967887654444414e-14
3.6623047896142274e-07,4.2955150515989876e-14
3.750426707080756e-07,6.636228346833625e-14
3.783054949598193e-07,4.8317096746796224e-14
3.788920324374199e-07,5.765831802282196e-14
3.809274375819909e-07,7.295270330468616e-14
3.841031846739738e-07,8.882465587861424e-14
3.9121127314564433e-07,1.056307061115821e-13
4.148900019782876e-07,1.135457152102772e-13
4.3045839998142676e-07,4.064604424777468e-13
4.313587342681138e-07,1.7060423386334544e-13
4.315089729567299e-07,1.4762221746176606e-13
4.316592639722418e-07,1.277360977206736e-13
4.3652809773226235e-07,4.95865152714576e-13
4.385521256860029e-07,6.468466328682902e-13
4.6051094969236525e-07,7.675333623241818e-13
5.277572611150295e-07,7.819965312682114e-13
