x,y
1.87e-10,1.0
1.87e-10,3.88794512467479e-16
2.0000000000000003e-10,3.95400428795231e-16
2.0921180445041703e-10,2.2460078771478e-16
2.18847895606999e-10,2.29868191509719e-16
2.28927815700584e-10,2.2187392910374098e-16
2.39472007058059e-10,2.2054495315474499e-16
2.5050185355989805e-10,2.16941520093373e-16
2.6203972400720203e-10,2.21985483699654e-16
2.7410901748618103e-10,2.19473053063141e-16
2.86734210822074e-10,1.22408386939125e-16
2.9994090821876304e-10,1.19559240165248e-16
3.1375589318472203e-10,1.21072551134055e-16
3.28207182850641e-10,1.5380975131547499e-16
3.4332408478885306e-10,1.60548870944368e-16
3.59137256449821e-10,1.72826382893062e-16
3.75678767336196e-10,1.80474335930644e-16
3.9298216404057104e-10,1.96252370429923e-16
4.11082538278789e-10,2.13072834604667e-16
4.3001659805681603e-10,2.05746684412297e-16
4.4982274211548206e-10,2.12365773921227e-16
4.70541137804074e-10,2.22444397732943e-16
4.922138025407141e-10,2.31108237968566e-16
5e-10,2.18449741479475e-16
5.14884689024721e-10,2.13654906975689e-16
5.385997743737701e-10,2.0759658588823003e-16
5.6340715336662e-10,2.1472394587101002e-16
5.89357135980519e-10,2.19500401773804e-16
6.16502349421072e-10,2.25339816217482e-16
6.44897844851521e-10,2.34236837636158e-16
6.746012090378601e-10,2.44702803129479e-16
7.0567268113622e-10,8.82366004764898e-17
7.38175274859363e-10,1.07210939708448e-16
7.721749062700511e-10,1.21603791794391e-16
8.077405274604471e-10,1.4026744709668002e-16
8.449442663886601e-10,1.63602665642838e-16
8.83861573156029e-10,1.55920744102716e-16
9.245713730217871e-10,1.74246475609106e-16
9.6715622646544e-10,1.51875087218037e-16
1e-09,1.58163139770212e-16
1.01170249662146e-09,1.67406510335995e-16
1.0583005244258402e-09,3.04322041894778e-16
1.10704481182976e-09,4.14819092135294e-16
1.15803421345189e-09,4.63205685345275e-16
1.2113721370579501e-09,5.854680917771229e-16
1.2671667532742601e-09,5.92328340374452e-16
1.32553121496042e-09,6.306425883468279e-16
1.38658388668612e-09,6.482076652925129e-16
1.4504485847773802e-09,6.84763831117377e-16
1.5172548284191502e-09,7.3212249794817e-16
1.58713810232339e-09,7.377284512588701e-16
1.6602401314954402e-09,7.762517477055229e-16
1.7367091686558002e-09,8.46910003915873e-16
1.81670029490032e-09,9.39110714812801e-16
1.90037573420851e-09,1.0505349640996001e-15
1.98790518243774e-09,1.2130180578578702e-15
2.07946615147068e-09,1.3756914876913601e-15
2.1752443292137298e-09,1.5966845822634201e-15
2.27543395617671e-09,1.7670002509727e-15
2.38023821939741e-09,1.6271285035428802e-15
2.4898696645099003e-09,1.78401646473649e-15
2.60455062679236e-09,2.0679701026768002e-15
2.72451368206848e-09,2.29012396648594e-15
2.85000211837699e-09,2.7703110327951902e-15
2.98127042936581e-09,3.655843112547241e-15
3.11858483041146e-09,4.3193658845312705e-15
3.2622237985104002e-09,3.6201484676154704e-15
3.41247863703728e-09,4.32770482483374e-15
3.5696540665153504e-09,4.551744992503261e-15
3.734068842597241e-09,5.4370556016838e-15
3.90605640250925e-09,6.71801896494355e-15
4.08596554127033e-09,8.444366665935431e-15
4.274161119056961e-09,1.07545029684612e-14
4.47102480114861e-09,1.41582434454723e-14
4.6769558319543505e-09,1.93313752760474e-14
4.89237184469036e-09,1.59939707218316e-14
5.11770970835044e-09,2.29530145709693e-14
5.35342641368708e-09,3.05805450323186e-14
5.6e-09,4.6038017971809e-14
5.6e-09,1.0
