x,y
1.176290784,1
1.176290784,1.13E-07
1.18194653,8.89E-08
1.189045427,7.94E-08
1.19617938,8.89E-08
1.21049987,1.57E-07
1.224743236,1.68E-07
1.236110819,1.49E-07
1.248919215,1.48E-07
1.256047325,1.59E-07
1.267407897,1.35E-07
1.274588591,2.04E-07
1.278844424,1.87E-07
1.28879807,1.76E-07
1.302908222,7.94E-08
1.317129386,7.36E-08
1.331385606,8.56E-08
1.338496188,8.25E-08
1.345659355,1.12E-07
1.359909732,1.25E-07
1.381206422,8.89E-08
1.395632081,3.10E-07
1.402777719,3.74E-07
1.411313923,3.66E-07
1.421286266,3.89E-07
1.431231733,3.47E-07
1.445452897,3.22E-07
1.449670167,2.29E-07
1.456784255,2.25E-07
1.463873803,1.89E-07
1.473813427,1.63E-07
1.487982006,1.07E-07
1.502121372,5.87E-08
1.51643602,9.96E-08
1.523562961,1.07E-07
1.530668869,9.96E-08
1.544960146,1.45E-07
1.552111627,1.82E-07
1.55924558,2.04E-07
1.573618654,5.06E-07
1.580752607,5.67E-07
1.594944557,4.35E-07
1.60905471,1.97E-07
1.623223289,1.30E-07
1.630316343,1.12E-07
1.63886657,1.19E-07
1.65167146,1.16E-07
1.665910152,1.20E-07
1.680119631,1.03E-07
1.680143002,1.20E-07
1.687247741,1.12E-07
1.701486433,1.16E-07
1.70160913,2.56E-07
1.708789825,3.89E-07
1.715888721,3.47E-07
1.723028517,4.04E-07
1.737267209,4.19E-07
1.741520704,3.77E-07
1.751470845,3.47E-07
1.758505471,2.04E-07
1.786912743,1.40E-07
1.815466083,2.47E-07
1.829722303,2.87E-07
1.836885469,3.89E-07
1.851118319,3.89E-07
1.858275642,5.06E-07
1.865403753,5.46E-07
1.890938746,3.17E-07
1.915008388,1.40E-07
1.922130655,1.45E-07
1.93643946,2.38E-07
1.945014226,2.98E-07
1.950724894,3.34E-07
1.980502866,1.63E-07
1.990475209,1.73E-07
2.000539867,3.34E-07
2.007679662,3.89E-07
2.021918354,4.04E-07
2.036139518,3.74E-07
2.043191673,2.47E-07
2.057424523,2.47E-07
2.064476678,1.63E-07
2.094301391,1.07E-07
2.104276071,1.16E-07
2.114279965,1.51E-07
2.128547871,1.89E-07
2.135728565,2.87E-07
2.142891732,3.89E-07
2.157136267,4.19E-07
2.171392487,4.88E-07
2.185601965,4.19E-07
2.19978223,2.98E-07
2.206851913,2.20E-07
2.213939125,1.82E-07
2.235270871,1.63E-07
2.242398981,1.76E-07
2.256678572,2.38E-07
2.285196855,3.34E-07
2.313691767,4.04E-07
2.327907089,3.60E-07
2.334965086,2.47E-07
2.337782443,2.04E-07
2.349139509,1.69E-07
2.361972444,1.97E-07
2.370500468,1.82E-07
2.379086919,2.47E-07
2.391902327,2.56E-07
2.420438138,4.04E-07
2.441752356,3.22E-07
2.455991048,3.34E-07
2.484369106,1.89E-07
2.491479688,1.82E-07
2.505759279,2.47E-07
2.512939974,3.74E-07
2.525798617,5.14E-07
2.555726163,6.60E-07
2.577063751,6.12E-07
2.588059738,0.00048939
2.588059738,1.00E+00
4.197797344,1.00E+00
4.197797344,0.000496848
4.20241075,4.59E-07
4.22085269,3.10E-07
4.242190279,2.87E-07
4.263545396,2.98E-07
4.284918041,3.47E-07
4.327692544,5.67E-07
4.349041818,5.67E-07
4.370431992,7.39E-07
4.39176958,6.85E-07
4.413142225,7.97E-07
4.438771871,8.53E-07
4.462927985,6.60E-07
4.484265573,6.12E-07
4.505591477,5.26E-07
4.534039647,4.69E-07
4.569586715,3.74E-07
4.598064099,4.04E-07
4.619413373,4.04E-07
4.640774332,4.35E-07
