x,y
0.009966239,0.00010119
0.010021382,1.84E-08
0.010757545,1.88E-08
0.011434854,1.92E-08
0.012154805,1.96E-08
0.012920081,2.00E-08
0.013733528,2.06E-08
0.014598188,2.12E-08
0.015517273,2.19E-08
0.016494213,2.27E-08
0.017532651,2.37E-08
0.01863645,2.48E-08
0.019809728,2.60E-08
0.021056846,2.76E-08
0.022382459,2.94E-08
0.023791506,3.14E-08
0.025289211,3.40E-08
0.026881175,3.70E-08
0.028573321,4.05E-08
0.030371927,4.50E-08
0.032283714,5.03E-08
0.034315777,5.69E-08
0.036475672,6.52E-08
0.038664041,7.48E-08
0.040870074,8.63E-08
0.042962858,9.90E-08
0.044912829,1.13E-07
0.046951219,1.31E-07
0.048946071,1.51E-07
0.051224276,1.77E-07
0.053193568,2.05E-07
0.054841422,2.36E-07
0.056383591,2.73E-07
0.057969039,3.19E-07
0.059433903,3.72E-07
0.060766879,4.34E-07
0.061982123,5.06E-07
0.063699615,5.98E-07
0.064677911,6.97E-07
0.065716884,8.08E-07
0.066772345,9.54E-07
0.067750518,1.14333E-06
0.06911504,1.36735E-06
0.069895593,1.61394E-06
0.070576194,1.88087E-06
0.071192821,2.19095E-06
0.072290928,2.56582E-06
0.073001172,3.10553E-06
0.073772858,3.79736E-06
0.074552862,4.57962E-06
0.075424398,5.71582E-06
0.076263374,7.37736E-06
0.077177556,9.52821E-06
0.078127036,1.22255E-05
0.078326602,1.38013E-05
0.078836624,1.5974E-05
0.079272794,1.97954E-05
0.079712106,2.31442E-05
0.079915179,0.000100657
0.079917424,8.41943E-05
0.079919214,7.30177E-05
0.079921004,6.33248E-05
0.079922794,5.49186E-05
0.079924584,4.76283E-05
0.079926375,4.13058E-05
0.079928165,3.58225E-05
0.079929955,3.10672E-05
0.079931746,2.69431E-05
