x,y
0.009063115,1
0.009063115,1.13416E-06
0.009219204,1.49013E-06
0.009306171,1.23153E-06
0.009392698,1.28481E-06
0.009556728,1.11826E-06
0.00962118,9.51E-07
0.009687261,6.52E-07
0.009751154,7.17E-07
0.009882214,6.08E-07
0.010013611,6.60E-07
0.010096035,4.32E-07
0.010176035,4.80E-07
0.010260422,2.83E-07
0.01035397,4.03E-07
0.010492279,3.93E-07
0.010516286,7.43E-07
0.010627827,8.16E-07
0.010699518,6.92E-07
0.010813296,7.25E-07
0.010957815,7.00E-07
0.011073514,8.35E-07
0.011207253,7.34E-07
0.011356807,7.34E-07
0.011432872,6.76E-07
0.011585358,6.84E-07
0.011742788,4.50E-07
0.011975003,7.60E-07
0.012135459,6.92E-07
0.012216127,6.95E-07
0.012281524,6.52E-07
0.012383287,3.89E-07
0.0124979,4.36E-07
0.012631982,3.89E-07
0.012800288,4.03E-07
0.0128848,4.37E-07
0.01291666,5.99E-07
0.013055059,5.47E-07
0.013141074,6.08E-07
0.013230166,4.86E-07
0.013317426,5.34E-07
0.013538207,2.11E-07
0.013607879,2.83E-07
0.013771759,2.64E-07
0.014002946,7.29E-07
0.014134005,6.84E-07
0.014227708,7.08E-07
0.01432339,6.22E-07
0.014436888,6.92E-07
0.014614118,4.32E-07
0.014999537,9.96E-07
0.015099898,9.29E-07
0.015200005,9.62E-07
0.015301915,8.76E-07
0.015505899,8.96E-07
0.015719628,4.22E-07
0.015824594,4.03E-07
0.016031744,6.22E-07
0.01613934,5.60E-07
0.016355153,5.34E-07
0.016462131,6.45E-07
0.016683842,5.22E-07
0.016925303,7.55E-07
0.01712953,6.76E-07
0.017237487,1.23153E-06
0.017469758,9.85E-07
0.017586767,9.07E-07
0.01770348,9.29E-07
0.017946406,4.86E-07
0.018184535,5.53E-07
0.018304967,5.80E-07
0.018453339,4.71E-07
0.018545793,8.01E-07
0.018792689,8.45E-07
0.018918302,7.97E-07
0.019041272,1.03228E-06
0.019168287,9.96E-07
0.019296019,9.73E-07
0.01943105,5.34E-07
0.019686878,7.25E-07
0.019823167,4.53E-07
0.019954587,4.69E-07
0.020089872,3.75E-07
