x,y
14088.5737,1.47146E-06
15977.11773,1.59794E-06
18118.75372,1.7038E-06
20547.36114,1.77016E-06
23301.48822,1.8363E-06
26424.67273,1.86749E-06
29966.3118,1.84775E-06
33982.53948,1.80329E-06
38536.65875,1.67091E-06
43700.59417,1.4588E-06
49557.77264,1.45666E-06
56200.98751,1.59642E-06
63734.33416,1.69441E-06
72276.9245,1.72845E-06
81962.09972,1.51134E-06
92943.87151,1.23343E-06
105396.8437,9.97E-07
117947.6045,7.20E-07
129611.5905,4.50E-07
135511.1103,2.92E-07
142490.4752,1.83E-07
146777.6782,1.17E-07
151022.2713,7.81E-08
151076.6096,3.22E-08
153592.6713,1.86E-08
157422.0263,1.05E-08
160030.7822,6.02E-09
163808.442,2.28E-09
168332.2018,1.55E-09
175250.5283,2.98E-09
175281.4578,7.49E-09
179426.2147,1.45E-08
180266.6793,2.44E-08
185791.847,4.30E-08
193738.657,6.95E-08
204722.8425,1.16E-07
210834.0428,1.65E-07
218791.2334,2.44E-07
225410.5383,3.64E-07
238690.5152,5.32E-07
255658.9092,7.69E-07
272555.6625,1.11104E-06
306147.4509,1.53277E-06
346204.9403,1.93892E-06
392624.8132,2.46458E-06
445256.9129,2.72588E-06
504944.1506,3.00571E-06
572632.2018,3.30415E-06
649392.3588,3.58816E-06
736442.7002,3.91446E-06
835161.8016,4.26392E-06
947115.1644,4.67301E-06
1074085.581,5.36944E-06
1214867.098,6.15164E-06
1376469.962,7.2397E-06
1566568.172,8.35654E-06
1776594.616,9.94872E-06
2014805.755,1.27007E-05
2284962.292,1.6413E-05
2591340.676,2.11136E-05
2938821.139,2.82166E-05
3332900.166,3.79399E-05
3779822.926,5.1014E-05
4286680.463,6.90132E-05
4861508.192,9.36486E-05
5513418.157,0.000127078
6302462.396,0.000175607
7039024.522,0.000248321
7764814.885,0.000370236
8544256.578,0.000619098
9440128.888,0.000884629
10169162.89,0.001256315
