x,y
2.781582376184329e-19,0.8977318515830095
2.7543825276000003e-15,3.799631460379249e-08
2.9948719898000002e-15,3.204857392369505e-08
3.4802835176e-15,2.4563318679959505e-08
3.919404129e-15,1.936190778601872e-08
4.3306045941e-15,1.5642507194823525e-08
4.7919552206000004e-15,1.2937729205251746e-08
5.3093599776e-15,1.0501326578578356e-08
5.7041102443000006e-15,8.953691379729772e-09
6.1659739424e-15,7.487440861861661e-09
6.9646442287e-15,5.913771202013307e-09
7.86331065e-15,4.610935540778125e-09
8.732518318600001e-15,3.87034137829193e-09
9.523186047500001e-15,3.4073425065285022e-09
1.02352991693e-14,3.2817166461602953e-09
1.06987128278e-14,3.788974430214346e-09
1.0824716152e-14,6.1181511625491885e-09
1.1142722702e-14,9.340411057611108e-09
1.1418703739800002e-14,1.1433172716624325e-08
1.3188198868400002e-14,1.995223094711327e-08
1.42214382773e-14,2.566384429166333e-08
1.5785491385e-14,3.3049879414423336e-08
1.6931282492200002e-14,4.1402875822106846e-08
1.8234965819600004e-14,5.094827261441526e-08
1.97764105488e-14,6.483468534879302e-08
2.1419827922200002e-14,8.102189751013392e-08
2.3183388190300003e-14,1.024987391859378e-07
2.5099765056700002e-14,1.2898944094754214e-07
2.6963945099800004e-14,1.6247977788956842e-07
2.90992792708e-14,2.074612711182805e-07
3.108945369e-14,2.529663317786348e-07
3.2613000793900006e-14,3.0442049624010845e-07
3.44893999641e-14,3.873019250462069e-07
3.70823684545e-14,5.237086415941017e-07
3.92003928402e-14,6.67087457802048e-07
4.1176095814800006e-14,8.30078421165036e-07
4.3212008627600007e-14,1.0492933023e-06
4.5355467955900003e-14,1.3229226113e-06
4.75547039328e-14,1.6988445616e-06
4.9845446748100004e-14,2.1930741965e-06
5.22069058771e-14,2.8684956521e-06
5.46138935133e-14,3.8315718236e-06
5.63629256212e-14,4.5237782248e-06
5.90016402714e-14,6.482472168e-06
