x,y
3.065607589201474e-08,1.0
3.065607589201474e-08,1.138184477472901e-16
3.207176299594841e-08,1.2519813987250303e-16
3.3523848213547284e-08,1.3723018953307535e-16
3.5109487986681026e-08,1.4826266669589367e-16
3.6660550846546494e-08,1.6584861902294822e-16
3.8419164794063445e-08,1.838964882645081e-16
4.002872917579856e-08,2.0776435473414986e-16
4.1534912240997383e-08,2.3408141766693686e-16
4.331308528745381e-08,2.613092734771045e-16
4.471943281670403e-08,2.8997021641084313e-16
4.633200687016071e-08,3.2412489040444463e-16
4.834612432272321e-08,3.3058691336198987e-16
5.057873181527841e-08,3.3515455715869913e-16
5.2914440358551576e-08,3.149247451155821e-16
5.5358011123816456e-08,3.057771011429229e-16
5.7857860736516995e-08,2.9129034377163144e-16
6.024451078186843e-08,2.7854965555647143e-16
6.312725490472389e-08,2.7517268270279844e-16
6.604244995415386e-08,2.7225143243391473e-16
6.909226771431388e-08,2.6582527926722004e-16
7.228292501596041e-08,2.718366502898245e-16
7.562092578096876e-08,2.758728259520035e-16
7.911307428010294e-08,2.784081244396838e-16
8.276648900302452e-08,2.8132393822969366e-16
8.658861716881402e-08,2.8326076527284234e-16
9.023937657379185e-08,2.782578264214441e-16
9.477053813712164e-08,2.75032867426365e-16
9.90453340289844e-08,2.573397716535433e-16
1.037255841756809e-07,2.527812654886106e-16
1.0851559619100694e-07,2.508615297523665e-16
1.1352680932358201e-07,2.4908293243206765e-16
1.1876943856537597e-07,2.4769431402427313e-16
1.2425417063319562e-07,2.4769431402427313e-16
1.299921857527761e-07,2.4643865257043834e-16
1.3638213308909965e-07,2.441165291252826e-16
1.4182196126749872e-07,2.496905287905874e-16
1.4709966848724482e-07,2.403620494994297e-16
1.531837787381103e-07,2.4246315295999433e-16
1.6087554786038636e-07,2.406982216891186e-16
1.676911707744166e-07,2.457894159708039e-16
1.7514903815201286e-07,2.5592896715873807e-16
1.8362631912911649e-07,2.676100633113789e-16
1.9197476088744208e-07,2.8118099749951434e-16
2.0084008971251503e-07,3.0099730218318873e-16
2.1011481639183373e-07,3.2212829823191336e-16
2.1981784677834134e-07,3.4685168403520442e-16
2.2996895979080721e-07,3.790178382861045e-16
2.4058884773170604e-07,4.1154419355903567e-16
2.4805859814557824e-07,2.373243780319747e-16
2.486191621880487e-07,3.9837339268364473e-16
2.595138594011795e-07,2.389218510092044e-16
2.7653994280037055e-07,2.0519918584297224e-16
2.8771196014939733e-07,1.9760006676667915e-16
2.8938963093054214e-07,1.8102188372407718e-16
3.0275354514981813e-07,1.9407512705387952e-16
3.1755666155317605e-07,2.087720752525961e-16
3.311670756958278e-07,2.2595844115612744e-16
3.4618952428457747e-07,2.414282085986511e-16
3.5051514622046686e-07,2.6363121185128377e-16
3.5953390635653784e-07,2.961682346282954e-16
