x,y
6.965442604119565e-10,1.0
6.965442604119565e-10,9.961180524686879e-12
7.147705767941859e-10,2.0615277690911087e-12
7.20065154310198e-10,1.2776706511849012e-12
7.28080646814713e-10,8.492861740628581e-13
7.334738170816793e-10,6.197688288953797e-13
7.416385697403583e-10,7.212870054543273e-13
7.526664608345768e-10,8.492861740628581e-13
7.624502979319339e-10,9.543984596408217e-13
7.680980572767754e-10,1.029600912789478e-12
7.752166233340912e-10,1.110728992601136e-12
7.838460410979081e-10,1.1982496127186253e-12
7.940351784842166e-10,1.285146692069999e-12
7.999168990522077e-10,1.3864106693148033e-12
8.028740772746443e-10,1.539926526059492e-12
8.058421877614819e-10,1.7305162256443961e-12
8.073303552279137e-10,1.922134543989913e-12
8.103149399361762e-10,2.2110297929051047e-12
8.133105582266933e-10,2.5433457613046586e-12
8.163172508890378e-10,3.02983458671548e-12
8.193350588635772e-10,4.00904139498026e-12
8.208481439281538e-10,4.8602141489435966e-12
8.22364023242028e-10,5.689414399097786e-12
8.223640232420278e-10,6.699054538802248e-12
8.238827019654046e-10,8.027139506700742e-12
8.254041852680187e-10,9.073404452957335e-12
8.254041852680187e-10,9.90323368225565e-12
8.254041852680187e-10,1.0
