x,y
4.355437020969e-13,8.655264711434974e-07
4.893508661187e-13,6.539761802769669e-07
5.483558739965e-13,5.09662699827586e-07
6.227190905508001e-13,3.9873832095005e-07
6.960443951539e-13,3.150888688234005e-07
7.831372660608001e-13,2.509361667705346e-07
8.81921007113e-13,1.979061465851484e-07
9.931651786914e-13,1.5593988913957997e-07
1.1184415205099e-12,1.232109806151007e-07
1.2595200291343e-12,9.74405421884018e-08
1.4183939657991e-12,7.67781476661838e-08
1.5973080186729002e-12,6.049724094979412e-08
1.7987900174683e-12,4.7756190578537964e-08
2.0256866484849e-12,3.773304639428414e-08
2.2812036746932e-12,2.9731704513238498e-08
2.5689512291182e-12,2.3470044661000804e-08
2.8929948214622004e-12,1.8527124677433143e-08
3.2579127786245e-12,1.4638622690320824e-08
3.6688609306808005e-12,1.15450612211053e-08
4.1316454562541004e-12,9.096915876507334e-09
4.691942993599e-12,7.098995731882806e-09
5.244420273333e-12,5.623988049900421e-09
5.9006307406928005e-12,4.478933224379573e-09
6.6449273083493e-12,3.5324059766152473e-09
7.4831083105638e-12,2.783354665300267e-09
8.427016186809001e-12,2.1991798224526073e-09
9.4899871638221e-12,1.7392059798549515e-09
1.0687039679653201e-11,1.3716617975825255e-09
1.2136322314723701e-11,1.0704090681735122e-09
1.3565376833834501e-11,8.48851124221062e-10
1.52627507680531e-11,6.772074182696588e-10
1.7332551228667203e-11,5.294447095306423e-10
1.9373462801277402e-11,4.19857931197129e-10
2.1980931165213503e-11,3.3244208358491315e-10
2.4569190458377002e-11,2.653202629456417e-10
2.7918437797969603e-11,2.094124452265397e-10
3.20687138894911e-11,1.6044655758307258e-10
3.6835958299960103e-11,1.2428975662388987e-10
4.2311887796693104e-11,9.711663878952798e-11
4.86018535025295e-11,7.612316044602179e-11
5.58268677406059e-11,5.96677935780825e-11
6.44897129179005e-11,4.7212579968748607e-11
7.51316201104576e-11,3.725471400038968e-11
8.9564441090838e-11,2.861098411452868e-11
1.058227641993808e-10,2.2999001648910198e-11
1.2822887729942508e-10,1.8086630865723063e-11
1.5324049111078002e-10,1.4164515187750433e-11
1.8313073162949952e-10,1.1229322424520252e-11
2.1885119673044832e-10,8.956932228542657e-12
2.64141072872587e-10,7.073146123205701e-12
3.219750843342612e-10,5.546774717452419e-12
3.9247192344850105e-10,4.364168697483044e-12
4.784041318410032e-10,3.441263563910352e-12
5.83151302522601e-10,2.7314959026055094e-12
7.179048618930013e-10,2.127954019630628e-12
8.837970326056772e-10,1.6724207233885478e-12
1.0880232692434637e-09,1.3115155298432825e-12
1.3527674491167635e-09,1.0296248991618389e-12
