x,y
1.022997694,6.36E-09
1.152139319,6.38E-09
1.306560232,6.37E-09
1.481676839,6.33E-09
1.680268025,6.37E-09
1.905475826,6.40E-09
2.160866221,6.39E-09
2.450487234,6.39E-09
2.77892495,6.37E-09
3.120647496,6.36E-09
3.573765782,6.39E-09
4.088955165,6.34E-09
4.595943953,6.35E-09
5.211930624,6.30E-09
5.863886581,6.32E-09
6.77490837,6.31E-09
7.601024035,6.28E-09
8.619797938,6.32E-09
9.775111022,6.32E-09
11.08525195,6.27E-09
12.57102831,6.32E-09
14.25590807,6.28E-09
16.16662714,6.28E-09
18.33345382,6.30E-09
20.56999308,6.31E-09
23.57727605,6.32E-09
26.73731165,6.29E-09
30.32092362,6.30E-09
34.3848646,6.32E-09
38.99365848,6.49E-09
44.21998168,6.49E-09
50.54512642,6.35E-09
56.867786,6.38E-09
64.4897352,6.36E-09
70.66708465,6.33E-09
90.87957289,6.33E-09
103.060483,6.43E-09
116.8734563,6.37E-09
132.5378518,6.33E-09
150.3021674,6.39E-09
170.446911,6.33E-09
191.0943192,6.33E-09
224.2698423,6.40E-09
254.3282279,6.34E-09
288.4157486,6.32E-09
327.0720466,6.32E-09
370.9091818,6.29E-09
420.6221589,6.29E-09
479.4590464,6.30E-09
538.1533104,6.24E-09
615.4394145,6.34E-09
691.4524423,6.36E-09
788.8882254,6.33E-09
894.6214689,6.27E-09
1012.353424,6.23E-09
1157.929671,6.31E-09
1272.285259,6.01E-09
1446.07761,5.29E-09
1565.25655,4.43E-09
1748.874795,4.00E-09
1947.98735,3.75E-09
2232.845472,3.43E-09
2539.139689,4.42E-09
2875.265442,4.28E-09
3135.423664,3.50E-09
3264.196854,2.69E-09
3506.641847,1.82E-09
3667.001774,1.45E-09
3993.59238,1.49E-09
4216.958179,1.28E-09
4501.988529,1.90E-09
5071.60901,2.78E-09
5240.8169,4.47E-09
5263.000891,7.07E-09
5344.783667,1.79E-08
5468.043387,1.25E-08
5583.549648,8.24E-09
5748.780371,5.53E-09
5917.801316,1.11E-08
6169.515013,1.84E-08
6369.705787,1.21E-08
6438.39109,8.45E-09
6520.983226,4.63E-09
7094.264994,5.86E-09
7307.075332,8.89E-09
7316.051485,1.21E-08
7353.508046,1.60E-08
7359.030948,2.30E-08
7376.623774,1.50E-07
7381.3305,9.57E-08
7381.487315,6.30E-08
7391.744994,3.41E-08
7430.064468,3.34E-07
7461.970661,2.08E-06
7475.418498,6.61E-07
7477.342265,3.51E-06
7492.324056,0.001188337
7493.596567,1.06E-06
7508.513484,0.000723754
7513.596631,5.13E-06
7514.127249,7.41E-06
7514.657904,1.07E-05
7515.188596,1.55E-05
7518.026949,0.001926279
7525.821597,6.72E-05
7528.712253,0.00050028
7531.136062,3.86E-05
7544.443593,2.28E-05
7547.115167,9.60E-05
7551.261375,0.000378676
7552.948316,0.000161414
7554.170619,0.002838295
7556.791931,0.004524942
7566.386295,0.012216562
7570.214854,0.000266008
7574.547704,0.005890732
7576.50162,0.007825951
7587.796922,0.020961677
7612.572309,0.029020986
7612.965514,0.038020124
7613.503149,0.055003669
7614.040822,0.079573744
7614.578534,0.115119243
7615.116283,0.166542876
7615.65407,0.240937386
7637.199016,0.411970801
7641.102431,0.5955216
7644.332424,0.871107429
