x,y
1.093990794,1.11E-09
1.219518379,1.10E-09
1.38296928,1.10E-09
1.568329183,1.10E-09
1.778523603,1.07E-09
2.016904512,1.08E-09
2.287238673,1.10E-09
2.593797771,1.11E-09
2.920281288,1.11E-09
3.335691953,1.12E-09
3.782774921,1.12E-09
4.323862772,1.10E-09
4.864700902,1.07E-09
5.516716215,1.07E-09
6.437591722,1.12E-09
7.217422418,1.12E-09
8.045589751,1.12E-09
9.123940568,1.12E-09
10.42898974,1.08E-09
11.73360801,1.12E-09
15.8411114,1.12E-09
18.01572231,1.12E-09
20.78380443,1.12E-09
23.97700478,1.07E-09
28.43620187,1.10E-09
31.78106632,1.07E-09
37.88172154,1.07E-09
44.71318823,1.08E-09
50.51318876,1.08E-09
57.5021061,1.07E-09
65.20938915,1.09E-09
72.27789899,1.13E-09
96.19417259,1.08E-09
109.0870826,1.08E-09
123.70803,1.08E-09
139.4884107,1.06E-09
165.1145698,1.07E-09
191.0298626,1.08E-09
226.1240768,1.07E-09
245.6684084,1.07E-09
278.5937261,1.04E-09
315.9349442,1.06E-09
358.2811888,1.08E-09
404.3702714,1.08E-09
460.7604786,1.11E-09
579.1445242,1.04E-09
654.7192963,1.01E-09
740.5422693,9.98E-10
854.3316356,1.04E-09
968.8368826,1.03E-09
1096.188014,1.07E-09
1429.186003,1.02E-09
1620.745081,1.03E-09
1838.011174,1.15E-09
2084.424382,1.35E-09
2363.906811,1.71E-09
2680.846192,2.10E-09
3036.711788,2.20E-09
3426.263095,2.32E-09
3948.356189,2.50E-09
4433.858545,2.42E-09
5173.962392,2.48E-09
5702.104399,2.54E-09
6456.065849,3.15E-09
7127.005257,3.99E-09
