x,y
0.010495974,7.23E-07
0.012380039,6.66E-07
0.01459967,6.13E-07
0.017882327,5.48E-07
0.02190278,5.09E-07
0.026827336,4.63E-07
0.032859221,4.17E-07
0.040246921,3.87E-07
0.049295542,3.59E-07
0.060378767,3.30E-07
0.073951989,3.26E-07
0.090575916,3.28E-07
0.110933291,3.60E-07
0.135869264,3.71E-07
0.166416822,3.42E-07
0.203834549,3.07E-07
0.249661324,2.88E-07
0.305785993,2.83E-07
0.374524747,2.84E-07
0.458722013,2.75E-07
0.561880228,2.25E-07
0.663366396,1.55E-07
0.718054053,1.07E-07
0.768949817,6.19E-08
0.826975512,1.17E-07
0.941561887,1.70E-07
1.153106986,2.25E-07
1.323886291,3.38E-07
1.361328124,5.34E-07
1.3484839,6.36E-07
1.292826136,1.03E-06
1.176201923,1.41E-06
1.040265026,1.52E-06
0.903321896,1.86E-06
0.749512905,1.47E-06
0.649674358,2.35E-06
0.568981717,3.42E-06
0.48931571,4.31E-06
0.403550329,5.67E-06
0.330671383,7.61E-06
0.26842714,1.01E-05
0.225871019,1.32E-05
0.203536926,1.88E-05
0.175888945,2.22E-05
0.15024364,2.71E-05
0.124998796,3.32E-05
0.099330988,4.22E-05
0.088260974,4.99E-05
0.072466257,6.17E-05
0.059161789,7.53E-05
0.048032878,9.59E-05
0.037290244,0.000126958
0.030459237,0.000157648
0.024867057,0.00019269
0.020301461,0.00023931
0.016652394,0.000294311
0.013531195,0.000361922
0.010341791,0.000491299
0.010495974,7.23E-07
