x,y
0.003036349,2.42E-08
0.003160329,2.44E-08
0.003298434,2.48E-08
0.003480664,2.49E-08
0.003632767,2.50E-08
0.003791517,2.53E-08
0.003957203,2.55E-08
0.004130131,2.56E-08
0.004310615,2.58E-08
0.004498986,2.58E-08
0.004695588,2.60E-08
0.004900783,2.61E-08
0.005114943,2.61E-08
0.005338463,2.61E-08
0.005571751,2.65E-08
0.005815232,2.69E-08
0.006069354,2.71E-08
0.006334581,2.72E-08
0.006611398,2.72E-08
0.006900312,2.72E-08
0.007201851,2.74E-08
0.007516567,2.77E-08
0.007845036,2.79E-08
0.008187859,2.81E-08
0.008545663,2.81E-08
0.008919103,2.83E-08
0.009308862,2.86E-08
0.009715653,2.88E-08
0.010140221,2.91E-08
0.010583342,2.93E-08
0.011045827,2.98E-08
0.011528522,3.03E-08
0.012032311,3.06E-08
0.012558115,3.06E-08
0.013106897,3.08E-08
0.01367966,3.09E-08
0.014277452,3.12E-08
0.014901367,3.14E-08
0.015552547,3.16E-08
0.016232183,3.19E-08
0.016941519,3.19E-08
0.017681852,3.19E-08
0.018454538,3.24E-08
0.019260989,3.29E-08
0.020102682,3.32E-08
0.020981156,3.35E-08
0.021898018,3.42E-08
0.022854947,3.49E-08
0.023853694,3.51E-08
0.024896085,3.51E-08
0.025984027,3.54E-08
0.027119512,3.61E-08
0.028304617,3.67E-08
0.029302982,3.73E-08
0.030219463,3.55E-08
0.030849442,3.23E-08
0.031709891,2.89E-08
0.032864453,2.64E-08
0.03373467,1.64E-08
0.033967479,2.30E-08
0.033967479,1.94E-08
0.033967479,1.43E-08
0.034675593,1.33E-08
0.035398468,1.43E-08
0.036636903,1.36E-08
0.038709149,1.33E-08
0.040618289,1.33E-08
0.042915728,1.33E-08
0.044723691,1.36E-08
0.047253338,1.33E-08
0.049244036,1.41E-08
0.051672759,1.43E-08
0.054595458,1.46E-08
0.057683469,1.55E-08
0.061366746,1.58E-08
0.064393362,1.67E-08
0.068505087,1.73E-08
0.070901775,1.83E-08
0.075429083,1.87E-08
0.080245475,2.05E-08
0.084784295,2.17E-08
0.088356104,2.30E-08
0.093353676,2.48E-08
0.097957891,2.62E-08
0.101385002,2.83E-08
0.10565617,3.05E-08
0.110107274,3.23E-08
0.114745895,3.55E-08
0.119579932,3.82E-08
0.12291524,4.36E-08
0.127215498,4.89E-08
0.129867535,5.58E-08
0.132552361,5.84E-08
0.135758974,6.08E-08
0.140472354,6.15E-08
0.146610904,6.26E-08
0.153017704,6.42E-08
0.159704478,6.60E-08
0.166683459,6.78E-08
0.173967417,6.97E-08
0.181569679,7.19E-08
0.189504155,7.44E-08
0.197785363,7.71E-08
0.206428454,8.12E-08
0.215449242,8.61E-08
0.224864233,9.10E-08
0.234690653,9.62E-08
0.24494648,1.03E-07
0.255650481,1.09E-07
0.26682224,1.16E-07
0.27325049,1.25E-07
0.283971389,1.33E-07
0.295445887,1.47E-07
0.306071065,1.55E-07
0.325164516,1.66E-07
0.335882497,1.75E-07
0.351307392,1.86E-07
0.367737237,2.02E-07
0.379356036,2.38E-07
0.379356036,2.87E-07
0.369169899,3.41E-07
0.353712877,3.94E-07
0.334972719,4.46E-07
0.318461312,5.04E-07
0.30100306,5.66E-07
0.283397796,6.27E-07
0.267341489,6.98E-07
0.252194875,7.74E-07
0.237906414,8.62E-07
0.224864233,9.40E-07
0.217131243,9.95E-07
0.210305712,1.04407E-06
0.201668244,1.12991E-06
0.193224462,1.20292E-06
0.185134218,1.27047E-06
0.177871361,1.37151E-06
0.171723364,1.47218E-06
0.162787007,1.54676E-06
0.156021716,1.65488E-06
0.14907846,1.76278E-06
0.143624646,1.84785E-06
0.139496695,1.91961E-06
0.137834703,2.08194E-06
0.135811473,2.2903E-06
0.130803883,2.4027E-06
0.125853342,2.46723E-06
0.120382452,2.54184E-06
0.115653072,2.57699E-06
0.11036316,2.65336E-06
0.106177382,2.76775E-06
0.102452849,2.90615E-06
0.097466536,3.03184E-06
0.093796607,3.20271E-06
0.089722104,3.33253E-06
0.085965469,3.49655E-06
0.082593025,3.70287E-06
0.079134882,3.91402E-06
0.075821531,4.095E-06
0.072447332,4.31867E-06
0.069223291,4.53032E-06
0.06669086,4.78265E-06
0.063722992,5.07967E-06
0.061054932,5.3742E-06
0.058821328,5.62556E-06
0.056358499,5.97224E-06
0.054147542,6.43916E-06
0.051880402,6.75676E-06
0.049673777,7.07108E-06
0.04785714,7.35295E-06
0.045755803,7.69363E-06
0.043950414,7.97289E-06
0.042006938,8.51757E-06
0.040027284,8.8163E-06
0.038245996,9.21E-06
0.036543978,9.79684E-06
0.034917703,1.00278E-05
0.03345571,1.02273E-05
0.032054931,1.06639E-05
0.030712801,1.13316E-05
0.029426867,1.20821E-05
0.028194773,1.25126E-05
0.027014268,1.29962E-05
0.025883189,1.35774E-05
0.024799469,1.41914E-05
0.023761123,1.50873E-05
0.022766253,1.59543E-05
0.021813037,1.69615E-05
0.020899733,1.79102E-05
0.020024668,1.87111E-05
0.019186242,1.96048E-05
0.01838292,2.08222E-05
0.017613233,2.1785E-05
0.016875773,2.25066E-05
0.01616919,2.36045E-05
0.015492191,2.47199E-05
0.014843538,2.56256E-05
0.014222044,2.71904E-05
0.013626572,2.90476E-05
0.013056032,3.05979E-05
0.01250938,3.17805E-05
0.011985617,3.32178E-05
0.011483783,3.50247E-05
0.011002961,3.69298E-05
0.01054227,3.86E-05
0.010100869,4.01308E-05
0.009677949,4.18847E-05
0.009272737,4.35247E-05
0.00888449,4.49445E-05
0.0085125,4.74352E-05
0.008156084,4.98216E-05
0.007814591,5.20748E-05
0.007487397,5.48009E-05
0.007173902,5.71127E-05
0.006873533,5.93778E-05
0.006585741,6.18226E-05
0.006309998,6.48699E-05
0.0060458,6.76392E-05
0.005792665,7.09732E-05
0.005550128,7.51978E-05
0.005317746,7.77262E-05
0.005095094,8.13202E-05
0.004881764,8.54113E-05
0.004677366,8.87987E-05
0.004481526,9.4542E-05
0.004293886,9.98298E-05
0.004114103,0.000104193
0.003941846,0.000107227
0.003776803,0.00011175
0.003618669,0.000118115
0.003467157,0.000124298
0.003321988,0.000130109
0.003182897,0.000135335
0.003032898,0.000141015
