x,y
0.001039347,2.27E-09
0.001132239,1.96E-09
0.001228828,1.80E-09
0.001318772,1.69E-09
0.0014153,1.63E-09
0.001518893,1.57E-09
0.001630069,1.51E-09
0.001749382,1.49E-09
0.001877429,1.44E-09
0.002014847,1.39E-09
0.002162325,1.37E-09
0.002320596,1.32E-09
0.002490453,1.29E-09
0.002672742,1.28E-09
0.002868374,1.29E-09
0.003078325,1.30E-09
0.003303644,1.33E-09
0.003532216,1.37E-09
0.003804965,1.46E-09
0.003979912,1.75E-09
0.004018313,2.5053E-06
0.003663104,2.74941E-06
0.003411443,2.97851E-06
0.003161323,3.15766E-06
0.002969906,3.33159E-06
0.002759954,3.58118E-06
0.002571717,3.87141E-06
0.002396318,4.15041E-06
0.002232882,4.52899E-06
0.002080592,4.88333E-06
0.001936616,5.32554E-06
0.001801638,5.67942E-06
0.001690759,6.06838E-06
0.001568455,6.57979E-06
0.001461482,7.1836E-06
0.001361804,7.84293E-06
0.001266599,8.6268E-06
0.001195977,9.66631E-06
0.001132078,1.08429E-05
0.001069502,1.25525E-05
0.001031038,1.53589E-05
0.001039347,2.27E-09
