x,y
0.045107612,2.35523E-06
0.049458691,2.27027E-06
0.055067819,2.17651E-06
0.061664441,2.07421E-06
0.069051278,1.97989E-06
0.07732299,1.88683E-06
0.086585578,1.79527E-06
0.09695774,1.68638E-06
0.108572392,1.59557E-06
0.121578373,1.51571E-06
0.136142352,1.441E-06
0.152450963,1.37217E-06
0.170713197,1.30558E-06
0.191163079,1.23825E-06
0.21406267,1.17816E-06
0.239705424,1.12098E-06
0.268419945,1.0683E-06
0.300574203,1.01727E-06
0.336580248,9.71E-07
0.376899489,9.29E-07
0.422048606,8.88E-07
0.472606176,8.55E-07
0.529220081,8.24E-07
0.592615814,8.01E-07
0.663605778,7.87E-07
0.743099691,7.85E-07
0.832116249,8.07E-07
0.931796178,8.57E-07
1.043416853,9.34E-07
1.168408665,9.59E-07
1.308373354,9.17E-07
1.465104536,8.71E-07
1.640610682,8.28E-07
1.837140862,7.85E-07
2.07432648,7.44E-07
2.229825222,6.31E-07
2.501222026,5.90E-07
2.800845587,5.68E-07
3.136361315,5.57E-07
3.512068764,5.47E-07
3.932782534,5.40E-07
4.403893974,5.27E-07
4.931440262,5.13E-07
5.422369891,4.99E-07
5.857950654,4.74E-07
6.247570897,5.13E-07
6.495063657,5.69E-07
6.740896942,5.00E-07
6.948967576,5.84E-07
7.273177421,5.46E-07
7.563024896,4.36E-07
7.635209804,3.41E-07
7.767226387,6.07E-07
8.089715972,4.39E-07
8.213619362,6.16E-07
8.662186743,5.49E-07
9.355755401,5.38E-07
9.990062266,5.34E-07
10.15026373,8.08E-07
10.30521664,3.96E-07
10.61200599,5.38E-07
11.00747193,6.00E-07
11.65103339,5.40E-07
12.96794352,5.43E-07
14.58125246,5.56E-07
16.27378482,5.80E-07
18.20882308,6.01E-07
20.39007383,6.42E-07
22.41992533,6.84E-07
24.13888237,7.29E-07
25.61838096,8.14E-07
26.79673004,9.22E-07
27.29211441,1.06358E-06
27.54180743,1.18588E-06
26.52443786,1.42362E-06
25.62895054,1.7035E-06
23.5909262,2.07381E-06
22.00184028,2.4943E-06
20.32028528,2.88747E-06
18.91320681,3.33568E-06
17.48685481,3.66639E-06
16.52701117,4.12447E-06
15.13889396,4.43393E-06
14.41393738,5.21496E-06
13.5345783,6.01204E-06
12.58252874,7.16581E-06
11.67810639,8.10139E-06
10.63546918,8.55733E-06
10.15119108,4.44784E-06
9.971397162,5.39784E-06
9.854536607,7.142E-06
9.614153054,1.00546E-05
8.850681394,9.13624E-06
8.48035776,7.84023E-06
8.098449223,6.56464E-06
7.709034225,9.61265E-06
7.608553636,5.62429E-06
7.243937033,6.71778E-06
7.085155283,8.02284E-06
6.746339002,9.90342E-06
6.429221369,1.29779E-05
5.970630134,1.63233E-05
5.578564735,1.92507E-05
5.134499707,2.28806E-05
4.67702832,2.61945E-05
4.303997637,2.98919E-05
3.930042351,3.40332E-05
3.589405508,3.82423E-05
3.2346483,4.53211E-05
2.894302152,5.17266E-05
2.584433749,5.96203E-05
2.370167831,6.82365E-05
2.170558805,8.47074E-05
2.073642784,0.000105002
1.818341556,0.00012053
1.623822453,0.00013692
1.450112246,0.000153433
1.294984881,0.000174996
1.156452438,0.000195944
1.032739657,0.000222588
0.922261187,0.000250837
0.823601274,0.000282217
0.735495615,0.00032085
0.656815156,0.000359258
0.586551627,0.000409091
0.523804617,0.000458429
0.467770037,0.000518267
0.417729819,0.000586385
0.373042709,0.000658688
0.333136051,0.000747056
0.297498453,0.000837154
0.265673226,0.000950989
0.237252538,0.001071678
0.211872185,0.001207684
0.189206923,0.001366415
0.168966303,0.001539825
0.150890945,0.001735243
0.134749219,0.001949202
0.120334272,0.002191298
0.10746138,0.00245361
0.09596558,0.002747322
0.085699555,0.003068805
0.076531751,0.003427907
0.068344682,0.003835174
0.061523655,0.004237644
0.054960295,0.004904021
0.04959226,0.005626534
0.045107612,2.35523E-06
