x,y
0.004510761,2.36E-07
0.004945869,2.27E-07
0.005506782,2.18E-07
0.006166444,2.07E-07
0.006905128,1.98E-07
0.007732299,1.89E-07
0.008658558,1.80E-07
0.009695774,1.69E-07
0.010857239,1.60E-07
0.012157837,1.52E-07
0.013614235,1.44E-07
0.015245096,1.37E-07
0.01707132,1.31E-07
0.019116308,1.24E-07
0.021406267,1.18E-07
0.023970542,1.12E-07
0.026841994,1.07E-07
0.03005742,1.02E-07
0.033658025,9.71E-08
0.037689949,9.29E-08
0.042204861,8.88E-08
0.047260618,8.55E-08
0.052922008,8.24E-08
0.059261581,8.01E-08
0.066360578,7.87E-08
0.074309969,7.85E-08
0.083211625,8.07E-08
0.093179618,8.57E-08
0.104341685,9.34E-08
0.116840866,9.59E-08
0.130837335,9.17E-08
0.146510454,8.71E-08
0.164061068,8.28E-08
0.183714086,7.85E-08
0.207432648,7.44E-08
0.222982522,6.31E-08
0.250122203,5.90E-08
0.280084559,5.68E-08
0.313636131,5.57E-08
0.351206876,5.47E-08
0.393278253,5.40E-08
0.440389397,5.27E-08
0.493144026,5.13E-08
0.542236989,4.99E-08
0.585795065,4.74E-08
0.62475709,5.13E-08
0.649506366,5.69E-08
0.674089694,5.00E-08
0.694896758,5.84E-08
0.727317742,5.46E-08
0.75630249,4.36E-08
0.76352098,3.41E-08
0.776722639,6.07E-08
0.808971597,4.39E-08
0.821361936,6.16E-08
0.866218674,5.49E-08
0.93557554,5.38E-08
0.999006227,5.34E-08
1.015026373,8.08E-08
1.030521664,3.96E-08
1.061200599,5.38E-08
1.100747193,6.00E-08
1.165103339,5.40E-08
1.296794352,5.43E-08
1.458125246,5.56E-08
1.627378482,5.80E-08
1.820882308,6.01E-08
2.039007383,6.42E-08
2.241992533,6.84E-08
2.413888237,7.29E-08
2.561838096,8.14E-08
2.679673004,9.22E-08
2.729211441,1.06E-07
2.754180743,1.17E-07
2.652443786,1.35E-07
2.578524977,1.74E-07
2.35909262,2.07E-07
2.173591708,2.44E-07
2.032028528,2.89E-07
1.85713559,3.20E-07
1.748685481,3.67E-07
1.589345452,4.12E-07
1.449505072,5.03E-07
1.328994459,6.01E-07
1.258252874,7.17E-07
1.139751964,7.93E-07
1.034182694,9.44E-07
1.02168753,5.40E-07
1.015871566,7.14E-07
1.008965887,4.45E-07
0.923549854,9.43E-07
0.832707767,7.76E-07
0.824752085,5.98E-07
0.7898817,9.03E-07
0.774860755,5.74E-07
0.742226993,6.72E-07
0.708515528,8.02E-07
0.6746339,9.90E-07
0.642922137,1.29779E-06
0.593443871,1.63234E-06
0.547773374,1.92509E-06
0.513449971,2.28806E-06
0.459249234,2.5923E-06
0.430399764,2.98919E-06
0.388254226,3.40334E-06
0.358940551,3.82423E-06
0.32346483,4.53211E-06
0.287675812,5.11903E-06
0.258443375,5.96203E-06
0.235580088,6.7529E-06
0.217055881,8.47074E-06
0.203616227,1.05003E-05
0.181834156,1.2053E-05
0.162382245,1.3692E-05
0.145011225,1.53433E-05
0.129498488,1.74996E-05
0.115645244,1.95944E-05
0.103273966,2.22588E-05
0.092226119,2.50837E-05
0.082360127,2.82217E-05
0.073549562,3.2085E-05
0.065681516,3.59258E-05
0.058655163,4.09091E-05
0.052380462,4.58429E-05
0.046777004,5.18267E-05
0.041772982,5.86385E-05
0.037304271,6.58688E-05
0.033313605,7.47056E-05
0.029749845,8.37154E-05
0.026567323,9.50989E-05
0.023725254,0.000107168
0.021187219,0.000120768
0.018920692,0.000136641
0.01689663,0.000153983
0.015089095,0.000173524
0.013474922,0.00019492
0.012033427,0.00021913
0.010746138,0.000245361
0.009596558,0.000274732
0.008569956,0.000306881
0.007653175,0.000342791
0.006834468,0.000383517
0.006152366,0.000423764
0.005597197,0.000480281
0.005124234,0.000262745
0.005019899,0.000556816
0.004994148,0.000324668
0.00496853,0.00046514
0.004936115,0.000378381
0.004510761,2.36E-07
