x,y
0.009983954,4.33E-06
0.010003148,3.99E-06
0.010014361,3.67E-06
0.010051995,3.50E-06
0.010241283,3.40E-06
0.010444889,3.31E-06
0.010661072,3.21E-06
0.010895671,3.18E-06
0.011111523,3.13E-06
0.011263768,2.97E-06
0.011461806,3.01E-06
0.01162069,2.89E-06
0.011856443,2.85E-06
0.012040014,2.77E-06
0.012297082,2.71E-06
0.012559638,2.64E-06
0.0128278,2.60E-06
0.013101688,2.54E-06
0.013381423,2.47E-06
0.013667131,2.42E-06
0.013958939,2.36E-06
0.014256978,2.31E-06
0.01456138,2.27E-06
0.014872282,2.23E-06
0.015189822,2.18E-06
0.015502685,2.13E-06
0.015845385,2.10E-06
0.016183701,2.04E-06
0.016529241,2.01E-06
0.016854743,2.00E-06
0.017067719,1.92E-06
0.017294363,1.94E-06
0.017509575,1.86E-06
0.017986769,1.86E-06
0.018370807,1.83E-06
0.018763044,1.81E-06
0.019163655,1.77E-06
0.019572821,1.74E-06
0.019990722,1.70E-06
0.020417546,1.68E-06
0.020856821,1.64E-06
0.021298728,1.61E-06
0.021753479,1.56E-06
0.02221794,1.55E-06
0.022692317,1.53E-06
0.023176823,1.50E-06
0.023671674,1.49E-06
0.024187808,1.46E-06
0.024693298,1.44E-06
0.025220527,1.42E-06
0.025759013,1.40E-06
0.026308996,1.38E-06
0.026870722,1.36E-06
0.027444442,1.34E-06
0.028030411,1.31E-06
0.028628891,1.29E-06
0.02924015,1.25E-06
0.029864459,1.25E-06
0.030502098,1.24E-06
0.031153352,1.22E-06
0.03181851,1.21E-06
0.03249787,1.20E-06
0.033191736,1.18E-06
0.033900416,1.15E-06
0.034665814,1.16E-06
0.035025497,1.10E-06
0.035842108,1.12E-06
0.036607376,1.09E-06
0.037317238,1.08E-06
0.038260698,1.07E-06
0.03930343,1.05E-06
0.040142602,1.04E-06
0.040999691,1.02E-06
0.041875079,1.02E-06
0.042769158,1.01E-06
0.043682327,1.00E-06
0.044614993,9.86E-07
0.045567572,9.85E-07
0.04654049,9.69E-07
0.047534181,9.50E-07
0.048549088,9.42E-07
0.049585665,9.29E-07
0.050553672,9.03E-07
0.051725686,9.01E-07
0.052830087,8.91E-07
0.053958067,8.86E-07
0.055110132,8.88E-07
0.056286794,8.76E-07
0.057488579,8.72E-07
0.058716023,8.62E-07
0.059969675,8.52E-07
0.061250094,8.49E-07
0.062557851,8.43E-07
0.06389353,8.41E-07
0.065257727,8.35E-07
0.066651052,8.26E-07
0.068074125,8.26E-07
0.069527583,8.20E-07
0.071012073,8.15E-07
0.072528259,8.16E-07
0.074076817,8.18E-07
0.075658439,8.12E-07
0.07727383,8.13E-07
0.078923712,8.13E-07
0.08060882,8.09E-07
0.082329907,8.13E-07
0.084087741,8.16E-07
0.085883107,8.15E-07
0.087716806,8.17E-07
0.089589657,8.25E-07
0.091502495,8.28E-07
0.093456174,8.34E-07
0.095451566,8.40E-07
0.097489562,8.45E-07
0.099571072,8.53E-07
0.101697024,8.66E-07
0.103868368,8.77E-07
0.106133101,8.80E-07
0.108351126,9.03E-07
0.110629125,9.14E-07
0.112943891,9.28E-07
0.115440611,9.46E-07
0.117905395,9.54E-07
0.120422805,9.64E-07
0.122993965,9.65E-07
0.125620021,9.69E-07
0.128302147,9.65E-07
0.13104154,9.46E-07
0.133839421,9.39E-07
0.13669704,9.22E-07
0.139615673,9.08E-07
0.142596621,9.02E-07
0.145641216,8.96E-07
0.148750817,8.78E-07
0.15192681,8.75E-07
0.155170615,8.69E-07
0.158483679,8.60E-07
0.16186748,8.50E-07
0.165323529,8.40E-07
0.168853369,8.34E-07
0.172458574,8.29E-07
0.176140755,8.28E-07
0.179901554,8.21E-07
0.183742651,8.16E-07
0.187665759,8.07E-07
0.19167263,7.97E-07
0.195765052,7.88E-07
0.199944851,7.78E-07
0.204213894,7.64E-07
0.208574086,7.62E-07
0.214670358,7.67E-07
0.217961883,7.39E-07
0.218962331,6.76E-07
0.221057712,6.24E-07
0.225295508,6.03E-07
0.229800063,5.77E-07
0.234498591,5.65E-07
0.239505395,5.58E-07
0.244619099,5.45E-07
0.249841986,5.37E-07
0.254874975,5.20E-07
0.260553145,5.24E-07
0.263803467,5.00E-07
0.267050417,5.21E-07
0.272090395,5.10E-07
0.277220788,5.00E-07
0.283606249,5.00E-07
0.289661555,5.01E-07
0.295846148,5.00E-07
0.302162789,4.99E-07
0.308614298,4.84E-07
0.315343286,4.72E-07
0.321933497,4.72E-07
0.328807132,4.68E-07
0.336026041,4.57E-07
0.342997814,4.50E-07
0.350735483,4.42E-07
0.357800939,4.36E-07
0.365440384,4.28E-07
0.373242939,4.18E-07
0.381212087,4.14E-07
0.389351385,4.03E-07
0.399914441,3.93E-07
0.407875101,3.83E-07
0.413403659,4.26E-07
0.416977572,3.82E-07
0.424444062,3.71E-07
0.432474384,3.65E-07
0.439008327,3.51E-07
0.447951269,3.51E-07
0.457808514,3.40E-07
0.467283983,3.32E-07
0.477261011,3.24E-07
0.48745106,3.17E-07
0.497858677,3.08E-07
0.508488509,2.96E-07
0.519498774,2.86E-07
0.530433894,2.77E-07
0.541759242,2.70E-07
0.553326399,2.61E-07
0.561046683,2.53E-07
0.566295124,2.42E-07
0.573189871,2.46E-07
0.582002092,2.36E-07
0.592368311,2.26E-07
0.606313571,2.21E-07
0.61763716,2.10E-07
0.627891449,1.99E-07
0.641799402,1.90E-07
0.653364108,1.79E-07
0.666361688,1.71E-07
0.674362379,1.63E-07
0.687521732,1.55E-07
0.69665995,1.46E-07
0.708982394,1.39E-07
0.71701595,1.31E-07
0.729704288,1.25E-07
0.736886823,1.19E-07
0.747865216,1.11E-07
0.754308437,1.01E-07
0.762563242,9.20E-08
0.764363546,8.16E-08
0.771739633,7.11E-08
0.779186899,6.08E-08
0.782937438,5.29E-08
0.78670603,4.69E-08
0.798120995,5.03E-08
0.801962672,5.98E-08
0.80582284,6.98E-08
0.812067583,7.92E-08
0.813706856,8.55E-08
0.81826083,9.55E-08
0.82384953,1.05E-07
0.831522524,1.13E-07
0.837811356,1.23E-07
0.848173034,1.33E-07
0.86178124,1.42E-07
0.875276178,1.53E-07
0.892544183,1.63E-07
0.910355433,1.77E-07
0.929367446,1.90E-07
0.948501773,1.97E-07
0.964334654,2.11E-07
0.98448783,2.18E-07
0.995898163,2.25E-07
1.009843918,2.47E-07
1.014704702,2.89E-07
1.019588884,3.38E-07
1.034382937,3.15E-07
1.044364704,2.79E-07
1.0661673,2.62E-07
1.089977338,2.66E-07
1.113249556,2.69E-07
1.137018661,2.71E-07
1.161295262,2.75E-07
1.186090196,2.73E-07
1.211414529,2.71E-07
1.235635532,2.68E-07
1.263696847,2.66E-07
1.292395435,2.57E-07
1.316637523,2.51E-07
1.341058625,2.40E-07
1.365838277,2.40E-07
1.396419555,2.42E-07
1.426234652,2.36E-07
1.455205962,2.36E-07
1.47678045,2.57E-07
1.498753811,2.76E-07
1.513504844,3.04E-07
1.51955411,3.24E-07
1.52540218,3.45E-07
1.523938056,3.65E-07
1.520721928,3.86E-07
1.510098777,4.10E-07
1.501423006,4.44E-07
1.49403563,4.80E-07
1.484933521,5.23E-07
1.476184226,5.67E-07
1.462292454,6.15E-07
1.449012995,6.54E-07
1.430074685,6.94E-07
1.407357523,6.98E-07
1.389464137,7.33E-07
1.366290248,7.63E-07
1.345807065,8.05E-07
1.322292639,8.35E-07
1.296682642,8.75E-07
1.268560239,9.09E-07
1.245226151,9.36E-07
1.226867933,9.63E-07
1.20214372,1.02E-06
1.176071673,1.06E-06
1.155647362,1.11E-06
1.135863154,1.13E-06
1.113249556,1.18E-06
1.089977338,1.19E-06
1.070866031,1.20E-06
1.05597784,1.09E-06
1.05091943,9.99E-07
1.046372586,8.91E-07
1.034382937,7.49E-07
1.029427888,8.17E-07
1.019588884,9.22E-07
1.014704702,1.02E-06
1.009843918,1.15E-06
1.005006419,1.30E-06
0.993987298,1.41E-06
0.987984708,1.52E-06
0.969477155,1.60E-06
0.949210465,1.63E-06
0.929367446,1.64E-06
0.90993924,1.60E-06
0.890119032,1.53E-06
0.872292764,1.48E-06
0.853511105,1.44E-06
0.836203818,1.39E-06
0.818723176,1.39E-06
0.801962672,1.37E-06
0.794297721,1.26E-06
0.782937438,1.18E-06
0.768042735,1.14E-06
0.749926797,1.13E-06
0.737817034,1.19E-06
0.725665032,1.29E-06
0.714541476,1.38E-06
0.704818921,1.50E-06
0.695406713,1.61E-06
0.686120196,1.74E-06
0.67678436,1.89E-06
0.666635987,2.04E-06
0.656741888,2.18E-06
0.648534928,2.33E-06
0.636442576,2.48E-06
0.625295836,2.61E-06
0.61773602,2.79E-06
0.605597297,2.98E-06
0.593181504,3.08E-06
0.585902771,3.30E-06
0.57389075,3.47E-06
0.5618937,3.60E-06
0.549242533,3.71E-06
0.539841737,3.91E-06
0.530094422,4.11E-06
0.519345299,4.30E-06
0.508488509,4.42E-06
0.497858677,4.52E-06
0.487825679,4.67E-06
0.479327862,4.86E-06
0.469082346,5.03E-06
0.459276291,5.19E-06
0.449675229,5.34E-06
0.440274875,5.51E-06
0.431071033,5.71E-06
0.418829351,6.00E-06
0.412944178,5.60E-06
0.409468908,6.16E-06
0.398747913,6.35E-06
0.390099884,6.53E-06
0.381944938,6.73E-06
0.37396047,7.01E-06
0.366424306,7.22E-06
0.359868444,7.47E-06
0.35234548,7.69E-06
0.344979781,7.87E-06
0.337768061,8.04E-06
0.3307071,8.30E-06
0.323793746,8.62E-06
0.316822023,8.85E-06
0.311178135,9.09E-06
0.304493038,9.41E-06
0.298127683,9.64E-06
0.291895395,9.94E-06
0.285835616,1.03E-05
0.279818948,1.09E-05
0.273969399,1.12E-05
