x,y
0.021664888,2.64E-15
0.022578162,2.55E-15
0.023529935,2.46E-15
0.024521829,2.37E-15
0.025555536,2.29E-15
0.026632818,2.21E-15
0.027755513,2.13E-15
0.028925535,2.06E-15
0.03014488,1.99E-15
0.031415625,1.92E-15
0.032739938,1.86E-15
0.034120083,1.81E-15
0.035558406,1.76E-15
0.037057361,1.72E-15
0.038619503,1.67E-15
0.040247496,1.62E-15
0.041944117,1.57E-15
0.04371226,1.53E-15
0.045554939,1.49E-15
0.047475292,1.44E-15
0.0494766,1.40E-15
0.051562285,1.38E-15
0.053735891,1.36E-15
0.056001128,1.34E-15
0.058361873,1.34E-15
0.060822136,1.34E-15
0.063386093,1.32E-15
0.06605813,1.29E-15
0.068842822,1.29E-15
0.071744865,1.24E-15
0.074769305,1.25E-15
0.07792127,1.29E-15
0.081206087,1.30E-15
0.084629417,1.35E-15
0.088197056,1.40E-15
0.091915113,1.46E-15
0.095789932,1.54E-15
0.099828103,1.64E-15
0.104036571,1.78E-15
0.108422428,1.92E-15
0.11299322,2.11E-15
0.117756657,2.26E-15
0.12272091,2.44E-15
0.127894168,2.36E-15
0.133285489,2.28E-15
0.138904079,2.20E-15
0.144759514,2.12E-15
0.150861796,2.05E-15
0.157221323,1.98E-15
0.163848923,1.92E-15
0.170755912,1.86E-15
0.177954075,1.80E-15
0.185455674,1.75E-15
0.193273507,1.70E-15
0.201420832,1.63E-15
0.209911378,1.48E-15
0.218759902,1.36E-15
0.227981574,1.30E-15
0.237591941,1.23E-15
0.247607465,1.17E-15
0.258045384,1.16E-15
0.26892352,1.19E-15
0.280260104,1.20E-15
0.292074654,1.22E-15
0.304387295,1.25E-15
0.317219016,1.28E-15
0.330591671,1.32E-15
0.34452805,1.35E-15
0.359052002,1.40E-15
0.374188076,1.43E-15
0.389962469,1.50E-15
0.406402014,1.60E-15
0.423534808,1.75E-15
0.441389727,1.89E-15
0.459997109,1.99E-15
0.479388432,1.99E-15
0.499597102,1.97E-15
0.520656649,1.77E-15
0.542603704,1.56E-15
0.565475471,1.32E-15
0.589311856,1.18E-15
0.614151417,9.20E-16
0.64003831,7.39E-16
0.667014844,5.30E-16
0.693824433,3.67E-16
0.717659124,2.50E-16
0.736562805,1.67E-16
0.74790041,1.14E-16
0.760634448,7.43E-17
0.770445207,4.64E-17
0.781606361,3.35E-17
0.798126307,6.75E-17
0.809411517,1.19E-16
0.823721708,1.76E-16
0.848132959,2.74E-16
0.880581606,4.06E-16
0.917709061,5.68E-16
0.956399894,7.17E-16
0.996720051,8.24E-16
1.038738274,8.71E-16
1.082527478,9.06E-16
1.128161727,9.05E-16
1.175719466,8.95E-16
1.225280496,8.32E-16
1.276929649,7.43E-16
1.330755833,6.60E-16
1.38685108,5.90E-16
1.445314176,5.89E-16
1.506244305,6.38E-16
1.569748604,8.23E-16
1.626747958,1.16E-15
1.67950208,1.71E-15
1.740489281,2.60E-15
1.810473444,3.85E-15
1.886807454,5.40E-15
1.966353352,6.43E-15
2.049248187,6.84E-15
2.135637803,7.32E-15
2.225669101,7.79E-15
2.319495661,8.26E-15
2.417277707,8.78E-15
2.519181743,9.30E-15
2.625381875,9.88E-15
2.736059316,1.06E-14
2.851403217,1.14E-14
2.971613619,1.31E-14
3.096887976,1.42E-14
3.227443096,1.53E-14
3.363501676,1.64E-14
3.50529523,1.74E-14
3.653065458,1.82E-14
3.807064496,1.89E-14
3.967558834,2.05E-14
4.134824633,2.37E-14
4.293005891,3.02E-14
4.374365448,4.00E-14
4.370280086,4.89E-14
4.316492828,7.01E-14
4.205383844,9.83E-14
4.0428852,1.40E-13
3.879376183,1.95E-13
3.722479943,2.72E-13
3.571928332,3.75E-13
3.427460826,4.81E-13
3.288831966,5.80E-13
3.15580911,6.86E-13
3.028166004,8.05E-13
2.905685683,9.44E-13
2.78815877,1.10E-12
2.675385227,1.27E-12
2.567172987,1.46E-12
2.463337398,1.68E-12
2.363701537,1.92E-12
2.268095547,2.19E-12
2.176356587,2.49E-12
2.088328454,2.86E-12
2.003861237,3.31E-12
1.922811449,3.92E-12
1.845037533,4.37E-12
1.770410243,4.98E-12
1.698803933,6.11E-12
1.6300948,7.71E-12
