x,y
1.671857197,7.94E-14
1.901455451,1.02E-13
2.156398237,1.27E-13
2.445521026,1.58E-13
2.773409258,1.96E-13
3.145250596,2.40E-13
3.566972114,3.05E-13
4.045207815,3.72E-13
4.58760209,4.75E-13
5.202682111,5.83E-13
5.900257177,7.34E-13
6.691387487,9.41E-13
7.588529902,1.15E-12
8.605980243,1.44E-12
9.759818312,1.76E-12
11.06835957,2.16E-12
12.55235419,2.66E-12
14.29656609,3.37E-12
16.09132047,4.11E-12
18.40180422,5.12E-12
20.88250437,6.66E-12
24.93330032,9.13E-12
28.20442848,1.11E-11
31.70286006,1.40E-11
35.95370467,1.79E-11
40.77425739,2.22E-11
46.24132067,2.81E-11
52.44119648,3.49E-11
59.47311303,4.63E-11
67.44689013,5.66E-11
76.48984193,6.97E-11
86.74575358,8.86E-11
98.37674105,1.12E-10
111.5671293,1.41E-10
126.5257754,1.76E-10
143.4904709,2.23E-10
162.7295616,2.79E-10
184.5494806,3.63E-10
215.3643333,4.72E-10
237.3426438,4.29E-10
269.1550261,4.41E-10
305.2411114,5.34E-10
346.1651192,6.45E-10
392.5752805,7.74E-10
445.205807,9.08E-10
504.8918472,1.06E-09
572.5778042,1.22E-09
649.3282629,1.30E-09
748.4826231,1.28E-09
797.6806054,1.01E-09
843.6105407,7.96E-10
892.1931109,6.58E-10
944.1964506,8.62E-10
985.6251808,1.20E-09
1006.399287,1.71E-09
1048.879011,2.35E-09
1089.53449,3.06E-09
1198.836852,3.02E-09
1309.610108,4.57E-09
1479.556649,5.84E-09
1677.880799,6.20E-09
1969.187536,6.49E-09
2157.907645,8.14E-09
2429.66689,1.11E-08
2775.427425,1.45E-08
3147.574786,1.88E-08
3585.875499,2.08E-08
4047.996606,2.25E-08
4590.675725,2.60E-08
5206.091845,2.95E-08
5904.014496,3.37E-08
6695.513527,3.89E-08
7593.117404,4.48E-08
8611.054504,5.16E-08
9765.459608,5.94E-08
11074.62198,6.84E-08
12559.29132,7.87E-08
14242.99617,9.06E-08
16152.41933,1.04E-07
18317.82071,1.20E-07
20773.52293,1.38E-07
23811.2555,1.61E-07
26716.68685,1.83E-07
30165.32548,2.09E-07
34360.14963,2.42E-07
38966.49977,2.79E-07
44664.70819,3.30E-07
49877.24427,4.06E-07
56834.79003,5.05E-07
64454.39122,5.96E-07
73095.69092,7.11E-07
82894.74213,8.08E-07
94005.64998,8.32E-07
107566.1068,7.85E-07
121678.4291,6.00E-07
129462.1053,4.26E-07
136481.7168,2.78E-07
141397.8899,1.78E-07
143907.1843,1.17E-07
147437.0651,7.27E-08
151860.349,3.00E-08
152030.1078,4.50E-08
153206.486,2.10E-08
154787.6101,1.46E-08
157924.2554,8.97E-09
160350.2472,5.55E-09
162313.1715,3.58E-09
167279.5912,2.35E-09
172149.1047,4.15E-09
173147.2444,5.81E-09
174152.6888,8.50E-09
177996.9843,1.50E-08
183839.105,2.74E-08
188544.4054,4.38E-08
194583.3034,6.74E-08
204324.5644,9.37E-08
222779.8011,7.38E-08
231016.7082,4.96E-08
238565.4563,3.44E-08
245249.7879,2.35E-08
250768.9112,1.68E-08
255243.4518,1.11E-08
268663.685,2.03E-08
276691.9477,3.36E-08
282999.8741,5.93E-08
288821.3283,1.04E-07
295986.4398,1.86E-07
303328.1357,3.28E-07
310654.3378,5.42E-07
320929.4033,8.09E-07
331730.7707,1.22178E-06
345073.9043,1.88543E-06
360367.1293,2.82873E-06
381235.2999,4.1792E-06
409507.5161,6.15031E-06
454561.441,8.62156E-06
506298.4675,1.24184E-05
572805.3445,1.6056E-05
649587.1945,1.72245E-05
736642.157,1.61315E-05
835358.9865,1.46537E-05
963686.9948,1.29113E-05
1092828.647,1.16572E-05
1219247.006,9.37231E-06
1351341.83,7.42899E-06
1494933.414,6.12444E-06
1660953.639,5.04768E-06
1859451.17,4.4381E-06
2108606.437,3.75825E-06
2391135.149,3.10105E-06
2711516.254,2.54319E-06
3074825.17,2.08888E-06
3486818.995,1.73151E-06
3954038.681,1.47975E-06
4483870.463,1.27429E-06
5084670.253,1.06599E-06
5765945.088,8.70E-07
6519842.527,7.14E-07
7414599.424,5.92E-07
8577941.399,4.69E-07
9782946.144,3.64E-07
