x,y
0.021665,2.64E-15
0.022578,2.55E-15
0.02353,2.46E-15
0.024522,2.37E-15
0.025556,2.29E-15
0.026633,2.21E-15
0.027756,2.13E-15
0.028926,2.06E-15
0.030145,1.99E-15
0.031416,1.92E-15
0.03274,1.86E-15
0.03412,1.81E-15
0.035558,1.76E-15
0.037057,1.72E-15
0.03862,1.67E-15
0.040247,1.62E-15
0.041944,1.57E-15
0.043712,1.53E-15
0.045555,1.49E-15
0.047475,1.44E-15
0.049477,1.40E-15
0.051562,1.38E-15
0.053736,1.36E-15
0.056001,1.34E-15
0.058362,1.34E-15
0.060822,1.34E-15
0.063386,1.32E-15
0.066058,1.29E-15
0.068843,1.29E-15
0.071745,1.24E-15
0.074769,1.25E-15
0.077921,1.29E-15
0.081206,1.30E-15
0.084629,1.35E-15
0.088197,1.40E-15
0.091915,1.46E-15
0.09579,1.54E-15
0.099828,1.64E-15
0.10404,1.78E-15
0.10842,1.92E-15
0.11299,2.11E-15
0.11776,2.26E-15
0.12272,2.44E-15
0.12789,2.36E-15
0.13329,2.28E-15
0.1389,2.20E-15
0.14476,2.12E-15
0.15086,2.05E-15
0.15722,1.98E-15
0.16385,1.92E-15
0.17076,1.86E-15
0.17795,1.80E-15
0.18546,1.75E-15
0.19327,1.70E-15
0.20142,1.63E-15
0.20991,1.48E-15
0.21876,1.36E-15
0.22798,1.30E-15
0.23759,1.23E-15
0.24761,1.17E-15
0.25805,1.16E-15
0.26892,1.19E-15
0.28026,1.20E-15
0.29207,1.22E-15
0.30439,1.25E-15
0.31722,1.28E-15
0.33059,1.32E-15
0.34453,1.35E-15
0.35905,1.40E-15
0.37419,1.43E-15
0.38996,1.50E-15
0.4064,1.60E-15
0.42353,1.75E-15
0.44139,1.89E-15
0.46,1.99E-15
0.47939,1.99E-15
0.4996,1.97E-15
0.52066,1.77E-15
0.5426,1.56E-15
0.56548,1.32E-15
0.58931,1.18E-15
0.61415,9.20E-16
0.64004,7.39E-16
0.66701,5.30E-16
0.69382,3.67E-16
0.71766,2.50E-16
0.73656,1.67E-16
0.7479,1.14E-16
0.76063,7.43E-17
0.77045,4.64E-17
0.78161,3.35E-17
0.79813,6.75E-17
0.80941,1.19E-16
0.82372,1.76E-16
0.84813,2.74E-16
0.88058,4.06E-16
0.91771,5.68E-16
0.9564,7.17E-16
0.99672,8.24E-16
1.0387,8.71E-16
1.0825,9.06E-16
1.1282,9.05E-16
1.1757,8.95E-16
1.2253,8.32E-16
1.2769,7.43E-16
1.3308,6.60E-16
1.3869,5.90E-16
1.4453,5.89E-16
1.5062,6.38E-16
1.5697,8.23E-16
1.6267,1.16E-15
1.6795,1.71E-15
1.7405,2.60E-15
1.8105,3.85E-15
1.8868,5.40E-15
1.9664,6.43E-15
2.0492,6.84E-15
2.1356,7.32E-15
2.2257,7.79E-15
2.3195,8.26E-15
2.4173,8.78E-15
2.5192,9.30E-15
2.6254,9.88E-15
2.7361,1.06E-14
2.8514,1.14E-14
2.9716,1.31E-14
3.0969,1.42E-14
3.2274,1.53E-14
3.3635,1.64E-14
3.5053,1.74E-14
3.6531,1.82E-14
3.8071,1.89E-14
3.9676,2.05E-14
4.1348,2.37E-14
4.293,3.02E-14
4.3744,4.00E-14
4.3703,4.89E-14
4.3397,6.32E-14
4.2054,9.83E-14
4.0429,1.40E-13
3.8794,1.95E-13
3.7225,2.72E-13
3.5719,3.75E-13
3.4275,4.81E-13
3.2888,5.80E-13
3.1558,6.86E-13
3.0282,8.05E-13
2.9057,9.44E-13
2.7882,1.10E-12
2.6754,1.27E-12
2.5672,1.46E-12
2.4633,1.68E-12
2.3637,1.92E-12
2.2681,2.19E-12
2.1764,2.49E-12
2.0883,2.86E-12
2.0039,3.31E-12
1.9228,3.92E-12
1.845,4.37E-12
1.7704,4.98E-12
1.6988,6.11E-12
1.6301,7.71E-12
1.5642,9.42E-12
1.5009,1.12E-11
1.4402,1.35E-11
1.3819,1.62E-11
1.326,1.87E-11
1.2724,2.12E-11
1.2209,2.39E-11
1.1716,2.65E-11
1.1242,2.87E-11
1.0787,3.18E-11
1.0351,3.61E-11
0.9932,4.07E-11
0.95303,4.29E-11
0.91448,4.16E-11
0.87749,3.77E-11
0.84199,3.31E-11
0.80793,2.73E-11
0.78276,1.82E-11
0.75514,2.26E-11
0.7246,2.85E-11
0.69529,3.92E-11
0.66717,5.32E-11
0.64019,7.24E-11
0.61429,8.99E-11
0.58945,1.11E-10
0.56561,1.30E-10
0.54273,1.54E-10
0.52078,1.75E-10
0.49971,1.99E-10
0.4795,2.21E-10
0.46011,2.48E-10
0.4415,2.77E-10
0.42364,3.06E-10
0.4065,3.42E-10
0.39006,3.80E-10
0.37428,4.20E-10
0.35914,4.69E-10
0.34462,5.23E-10
0.33068,5.77E-10
0.3173,6.41E-10
0.30447,7.17E-10
0.29215,7.99E-10
0.28034,8.80E-10
0.269,9.84E-10
0.25812,1.11E-09
0.24768,1.26E-09
0.23766,1.46E-09
0.22805,1.71E-09
0.21882,2.07E-09
0.20997,2.57E-09
0.20148,3.31E-09
0.19333,3.77E-09
0.18551,4.11E-09
0.17801,4.47E-09
0.17081,4.93E-09
0.1639,5.35E-09
0.15727,5.84E-09
0.15091,6.40E-09
0.1448,6.97E-09
0.13895,7.64E-09
0.13333,8.30E-09
0.12793,9.10E-09
0.12276,9.97E-09
0.11779,1.08E-08
0.11303,1.18E-08
0.10846,1.29E-08
0.10407,1.41E-08
0.099861,1.54E-08
0.095821,1.68E-08
0.091946,1.84E-08
0.088227,2.02E-08
0.084658,2.19E-08
0.081234,2.42E-08
0.077948,2.63E-08
0.074795,2.89E-08
0.07177,3.16E-08
0.068867,3.45E-08
0.066081,3.71E-08
0.063408,3.99E-08
0.060843,4.32E-08
0.058382,4.69E-08
0.056021,5.14E-08
0.053755,5.69E-08
0.051581,6.33E-08
0.049494,6.83E-08
0.047492,7.28E-08
0.045571,7.73E-08
0.043728,8.26E-08
0.041959,8.89E-08
0.040262,9.56E-08
0.038634,1.03E-07
0.037071,1.13E-07
0.035571,1.24E-07
0.034133,1.37E-07
0.032752,1.53E-07
0.031427,1.69E-07
0.030156,1.91E-07
0.028936,2.04E-07
0.027766,2.19E-07
0.026643,2.36E-07
0.025565,2.55E-07
0.024531,2.77E-07
0.023539,3.06E-07
0.022587,3.37E-07
0.021673,3.77E-07
