x,y
1.05323E-06,1.59955E-06
1.39531E-06,1.22297E-06
1.75911E-06,9.73E-07
2.21776E-06,7.75E-07
2.79599E-06,6.19E-07
3.52499E-06,4.92E-07
4.44407E-06,3.91E-07
5.60277E-06,3.11E-07
7.06358E-06,2.47E-07
8.90527E-06,1.97E-07
1.12271E-05,1.58E-07
1.41544E-05,1.26E-07
1.78448E-05,1.01E-07
2.24975E-05,8.09E-08
2.83632E-05,6.49E-08
3.57583E-05,5.20E-08
4.50815E-05,4.16E-08
5.68355E-05,3.33E-08
7.16541E-05,2.67E-08
9.03364E-05,2.14E-08
0.00011389,1.71E-08
0.000143584,1.37E-08
0.00018102,1.10E-08
0.000228217,8.82E-09
0.00028772,7.05E-09
0.000362737,5.65E-09
0.000457313,4.52E-09
0.000576547,3.63E-09
0.000726869,2.91E-09
0.000916385,2.33E-09
0.001155309,1.89E-09
0.001456529,1.52E-09
0.001836286,1.22E-09
0.002315051,9.91E-10
0.002918652,7.92E-10
0.003679652,6.16E-10
0.004639143,4.48E-10
0.005848925,3.03E-10
0.007374331,1.88E-10
0.009200183,1.17E-10
0.011357878,7.32E-11
0.013729459,4.52E-11
0.01476513,2.97E-11
0.015889875,1.60E-11
0.016774639,3.58E-11
0.017824573,6.61E-11
0.020915372,1.20E-10
0.026088793,1.77E-10
0.032887361,2.27E-10
0.041458072,2.77E-10
0.052262428,3.36E-10
0.06588204,4.20E-10
0.083049966,5.53E-10
0.104689717,7.89E-10
0.130583338,1.22E-09
0.161327265,2.02E-09
0.179035299,3.59E-09
0.177964284,5.41E-09
0.16414557,8.06E-09
0.140499652,1.15E-08
0.111439094,1.69E-08
0.088390571,2.34E-08
0.070109768,3.10E-08
0.055610057,4.01E-08
0.044109382,5.05E-08
0.034987072,6.42E-08
0.027751241,8.32E-08
0.022011884,1.08E-07
0.016224844,1.53E-07
0.014903255,1.31E-07
0.010985141,1.84E-07
0.008713271,2.36E-07
0.006911225,3.09E-07
0.005481866,4.07E-07
0.004348155,5.17E-07
0.003448904,6.62E-07
0.002735619,8.59E-07
0.002169854,1.11348E-06
0.001721091,1.46332E-06
0.001365128,1.99905E-06
0.001103695,2.95694E-06
0.001016347,5.27091E-06
0.001016218,9.21355E-06
0.001012926,2.59517E-05
0.000997931,1.48608E-05
0.000984244,4.92606E-05
0.000822905,5.87495E-05
0.000652721,7.38212E-05
0.000517732,9.31386E-05
0.00041066,0.000117751
0.000325732,0.000147959
0.000258367,0.000187058
0.000204934,0.000236006
0.000162552,0.000296552
0.000128935,0.000375682
0.00010227,0.000473024
8.11194E-05,0.000595589
6.4343E-05,0.000754511
5.10363E-05,0.000948076
4.04815E-05,0.001196167
3.21095E-05,0.001512257
2.535E-05,0.001919273
2.03661E-05,0.002363088
1.60238E-05,0.003037183
1.271E-05,0.003777092
1.00814E-05,0.004819917
7.9739E-06,0.006130345
6.40125E-06,0.007551926
5.13753E-06,0.00943661
1.05323E-06,0.06
