x,y
0.001216344,6.60E-07
0.001353972,6.09E-07
0.001460869,5.76E-07
0.001576205,5.52E-07
0.001700648,5.25E-07
0.001834916,5.02E-07
0.001979784,4.84E-07
0.002136089,4.66E-07
0.002304735,4.49E-07
0.002486696,4.32E-07
0.002683022,4.15E-07
0.002894849,3.97E-07
0.003123399,3.81E-07
0.003369994,3.67E-07
0.003636058,3.53E-07
0.003923128,3.39E-07
0.004232862,3.27E-07
0.004567049,3.15E-07
0.004927621,3.03E-07
0.005316661,2.92E-07
0.005736415,2.81E-07
0.00618931,2.73E-07
0.006677961,2.63E-07
0.007205191,2.53E-07
0.007774046,2.44E-07
0.008387813,2.35E-07
0.009050038,2.26E-07
0.009764545,2.18E-07
0.010535464,2.09E-07
0.011367247,2.02E-07
0.0122647,1.94E-07
0.013233007,1.87E-07
0.014277763,1.80E-07
0.015405004,1.73E-07
0.016621241,1.67E-07
0.017933501,1.60E-07
0.019349365,1.55E-07
0.020877012,1.49E-07
0.022525268,1.43E-07
0.024303656,1.39E-07
0.026222448,1.34E-07
0.028292731,1.29E-07
0.030526464,1.24E-07
0.032936552,1.21E-07
0.035536918,1.17E-07
0.038342586,1.13E-07
0.041369763,1.09E-07
0.044635938,1.06E-07
0.04815998,1.03E-07
0.051962248,1.01E-07
0.056064707,9.88E-08
0.06049106,9.77E-08
0.065266876,9.77E-08
0.070419746,9.77E-08
0.07597944,9.77E-08
0.081978076,9.85E-08
0.088450309,1.01E-07
0.09543353,1.07E-07
0.102968081,1.17E-07
0.111097491,1.30E-07
0.118360179,1.54E-07
0.123897841,1.93E-07
0.130451538,2.14E-07
0.137869826,2.25E-07
0.149055632,2.19E-07
0.161148978,2.12E-07
0.17197297,2.06E-07
0.189833913,1.93E-07
0.211740839,1.89E-07
0.2230441,1.73E-07
0.247493022,1.54E-07
0.285545132,1.45E-07
0.329447762,1.37E-07
0.385074615,1.33E-07
0.438540961,1.29E-07
0.505966735,1.25E-07
0.576218555,1.29E-07
0.622968953,1.49E-07
0.622968953,2.69E-07
0.606978556,3.20E-07
0.583759238,3.82E-07
0.539951313,4.98E-07
0.480325734,6.49E-07
0.432876128,7.97E-07
0.380100431,9.79E-07
0.329447762,1.20277E-06
0.289281917,1.47761E-06
0.264116538,1.76266E-06
0.234950757,2.1027E-06
0.217318993,2.58318E-06
0.211740839,3.17345E-06
0.195850852,3.46606E-06
0.17197297,4.01492E-06
0.152982391,4.6507E-06
0.130882963,5.54787E-06
0.119497116,6.24021E-06
0.109101754,6.81559E-06
0.103477418,7.64741E-06
0.09543353,8.56052E-06
0.088450309,9.32851E-06
0.081978076,1.02233E-05
0.07597944,1.12039E-05
0.070419746,1.21918E-05
0.065266876,1.33328E-05
0.06049106,1.44774E-05
0.056064707,1.59451E-05
0.051962248,1.72282E-05
0.04815998,1.8694E-05
0.044635938,2.05454E-05
0.041369763,2.21357E-05
0.038342586,2.4173E-05
0.035536918,2.63604E-05
0.032936552,2.84007E-05
0.030526464,3.1125E-05
0.028292731,3.38692E-05
0.026222448,3.65426E-05
0.024303656,4.01047E-05
0.022525268,4.35478E-05
0.020877012,4.70186E-05
0.019349365,5.1492E-05
0.017933501,5.60717E-05
0.016621241,6.04548E-05
0.015405004,6.54123E-05
0.014277763,7.18906E-05
0.013233007,7.77306E-05
0.0122647,8.37473E-05
0.011367247,9.08725E-05
0.010535464,9.96598E-05
0.009764545,0.000107679
0.009050038,0.000116096
0.008387813,0.000126692
0.007774046,0.000137471
0.007205191,0.000149379
0.006677961,0.000161055
0.00618931,0.000175504
0.005736415,0.000190572
0.005316661,0.000207079
0.004927621,0.000223584
0.004567049,0.000243815
0.004232862,0.000263248
0.003923128,0.000287068
0.003636058,0.000309728
0.003369994,0.000337035
0.003123399,0.000364932
0.002894849,0.000397954
0.002683022,0.000429977
0.002486696,0.000468884
0.002304735,0.000506614
0.002136089,0.000552456
0.001979784,0.000602875
0.001834916,0.000659297
0.001700648,0.000721512
0.001576205,0.000790159
0.001460869,0.000878336
0.001353972,0.000979131
0.001210034,0.001174048
0.001216344,6.60E-07
